#高校摄影大赛##摄影新生# ​​​
#微博影像年#哇！好运来袭！我抽中了@微博影像年 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
#高校摄影大赛##摄影新生# 美丽校园 ​​​
