#闫妮檀健次金风玉露#天呐‼️也太有感觉了吧！谁想出来的这个舞台啊 ​​​
生日快乐健次，岁岁平安，身体康健！
今晚好六的大哥也太水灵灵了檀健次超话 ​​​
因为两次都没抢到票已经变成emo小狗了 ​​​
啊啊啊啊啊啊我没抢到票大哥
提前10分钟开始蹲，秒没啊啊啊啊啊檀健次超话 ​​​
这辈子忘不了了
哎，后劲太大了。即使看过原著知道那是结局。依然每天洗完澡躺上床后就开始为相柳大人难过檀健次超话 ​​​
#长相思2 定档#望眼欲穿啊啊啊啊啊啊 ​​​
哈哈哈终于带美瞳成功！黑点-1
太帅了！！！！
