先生千古
#S家已经给大S申请树葬#祝好，永远美丽骄傲的徐熙媛~ ​​​
【初五迎财神 | 财源滚滚来💰】 正月初五财门开，八方福气踏春来！ 🧨一迎金玉满堂，事业蒸蒸日上； 🎊二接财源广进，日子红火兴旺； ✨三纳吉星高照，好运整年围绕！ 转发这条锦鲤祥云，财神爷到你家串门啦～ #初五迎财神##财运亨通##新年暴富计划# ​​​
真的是…
👏👏👏
加油！加油！大难不死是有后福啦✧٩(ˊωˋ*)و✧！康女士实乃女性楷模！！二位会狠狠幸福的！！
回复@ABMKKI:在觉得她叛逆的时候告诉她你是捡来的的“好父母”//@ABMKKI:回复@时尚星综:别扯了， 他养父母对他很好的
看到有媒体人说，就是因为云南-缅北这条线断了，才壮大了曼谷-来兴-妙瓦底这条线… 
其实就是如果你此前没有认识过血淋淋的世界，你的心也会告诉你要去看，要觉醒！要奋进！如果你已经很知道了，再看也只会增加心理创伤，为了心理健康，反而需要多看看真善美来平衡一下内心
谢谢哦😊🙏//@ppBEARintheRye:谢谢谢谢🙏//@菜菜_HP:祝你🙏//@安澜堂懒猫://@戴三儿:收//@20度秋天 :这还得接//@罐头辰 :接一下//@野比大雄 :这个真的得接🙏//@入江直树 :接🙏
#葛夕是留几手的私人旅行规划师吧#葛夕能不能给我当老婆，我准备下辈子投胎当男的 ​​​
看到真是笑疯了
我分享了文章  ​​​
回复@仲有最靚嘅菠蘿油:我们都知道结构性困境没办法，已经被塑造成这样了，所有的判断和选择都自认为是自由意志的表达，真相却是被大环境从骨到皮浇筑透了
以及，“我”觉得“我”比麦琳要强，“我”比她更有资格成为像李行亮这样的男的伴侣，跟麦琳比“我”是好女人…#葛夕是天使# //@睡懒觉的哆哆蘿:最近的热搜真是图穷匕见，大型猎巫运动的目的是血腥的服从性测试，让女人争当“好女人”
回复@A要天天开心呀_:妥妥《厌女》里提到的分化女性，引得女性内部斗争来更适应父权下制定的“女性利他性价值评价体系”
这是什么大型厌女狂欢，我看着节目里的女性和男性对这个社会好绝望…
浅浅说麦麦和李行亮几点细节叭：1.  最新一期，麦琳承认自己的问题表示自己在改，所有嘉宾的反应都是鼓励她，只有李失望愤怒，而麦麦前表现出失控的前一天，是李截至目前本节目里表现最开怀的一晚。麦麦在镜头前失控才达到他的预期和需求，他甚至会在试图联合众人归责麦麦无果后在下一个跟他们夫妻 ​​​ ...展开
他就是赞美这种“利他”属性的女性啊，一个更完美的血包啊，更适配他的贪婪虚伪，可惜够不上哈哈哈哈哈哈哈
#杨子说黄圣依精神分裂#一次想要用“疯女人”污名化妻子的尝试 ​​​
#谁允许你们欺瞒本尊贵的系统大人#吻戏删了就算了，摸头杀也不放出来？ ​​​
一句话，人家不欠她，没义务承受她的情绪和冒犯的态度，不说这是个正在进行的恋综节目，所有人爆灯前都算不上绑定，就说邀请卡的事都多久了，那会她自己都和Oscar初步接触中，有什么资格拿那个时候的事情去质问清雅，好家伙，天知道我本来还只磕她和Oscar，今天马上下头，识人真是个过程，细节见人品
//@不知道改什么名字所以先用这个:之前看过这样一个帖子韩国文学的局限性
先从不要立刻给出反馈开始…
@爱深深爱唱歌:不能更赞同//@爱深深爱唱歌:胆子小是因为早年经常被惊吓，恐惧感强；脸皮薄是因为早年经常被羞辱，羞耻感重；总觉得自己不够好，是因为早年经常被否定贬低，自卑感强。恐惧羞耻自卑是捆住人手脚的三重枷锁。
谨记
回复@即将成为无情道大师:我看心理治疗相关的资料也会触发闪回，被负面情绪和创伤记忆淹没，我理解这些本就在过去发生的节点被压抑了，一直在潜意识里蛰伏生长，有待解决，被“唤醒”就是该直面这些旧课题的时刻，所以那些“歇斯底里”被触发是好事，忘记代表翻篇，或者至少一部分被解决，等待下一次被 ...展开
回复@即将成为无情道大师:而且通过思考和逻辑增强对自身的控制感和确定感，对抑郁症幸存者（或者cptsd幸存者etc.）来说是很重要的对抗在症状里不断累积的习得性无助的方式。//@即将成为无情道大师:回复@金秋红蜜的季节:哦莫，谢谢，我去了解一下
可能是左脑解离的表现，会过度思考，在意逻辑来弥补自己感知上的退化//@即将成为无情道大师:我写论文抑郁的那会发现，自己抑郁的时候写出来的东西更规整符合逻辑，不抑郁的时候写的东西散乱。觉得科学论文的强逻辑性和抑郁关系好大，不知道数学家是怎么不抑郁的
好好好，这个节目刘爽和杨子一起参加是观众的福气，看其中任何一个不顺眼的时候都有另外一个给观众当嘴替避免气出结节来
天呐，姐姐杀我！！！好像看到天海佑希！！
非常开心，身边的人不算粉丝的都会为她落泪和鼓掌，兴奋地探讨从她身上汲取到强大的生命力量。飞天奖就是飞天奖，感谢国家还保留一分净土。怎么说，就是当一个有重量级的奖项（某地方奖），年复一年上演一些稀奇的剧拿奖，真正的好剧好演员陪跑，又或者在下一部烂剧里得到补偿的戏码。你也会觉得稀 ​​​ ...展开
#还以为是刘亦菲哪部剧的路透#这位狗仔要不要转行当导演？我觉得ta 有拍电影的潜质 ​​​
//@弦子与她的朋友们:非常好的文章，也是当下的性别议题需要纳入的视角。
#青岛代孕实验室# 转转转～扩散，越多人举报越好～
打不倒的必会使你更强大，真的会一次次被运动员的内核激励到🙏🙏
#将婚姻的决定权交给本人合情合理#这一点倒是蛮认同的，但是规定的最低结婚年龄应该相应调高，三观比较成熟同时对进入婚姻的得失有清醒认识的情况下才能做出比较准确的判断，25吧 ​​​
