很长很长很长的一个梦 ​​​
这些都做不到的话还谈什么以后 ​​​
我不想 我害怕 可是你总是让我去死 总是拿着鞭子不停的抽打我让我往下跳总是按着我的头在水里不让我呼吸就是这样的感觉 我不知道还能挣扎到什么时候 ​​​
最擅长记录痛苦 即使有些痛苦不敢记录 自欺欺人的不敢留下任何痕迹以为这样就会忘记 但其实从未停止过 它侵蚀着我的全部 ​​​
梦里的感受真实的像回到当下 但每次好在清醒一段时间后就能模糊 ​​​
换把新刀 会有用 ​​​
在一起会随时随地发疯 不是你情绪不好 是他一直会用语言刺激你使你发疯 在外人看来都是你失控神经质让人害怕 但实际什么样只有他清楚 离开他后你才知道你情绪是有多么的稳定 ​​​
记忆不能删除 我也还是会梦见 ​​​
朋友像充电器 见面就能满血复活你就像榨汁机 一句话能让我少活好几天 ​​​
耳鸣到难受了 ​​​
不是不再做那些梦了 是已经逐渐习惯那些场景循环播放 梦第一次第十次第一百次的时候会哭醒 第一千次的时候估计哭干眼泪了哈哈哈 ​​​
时间会冲淡一切 但回忆总能引起波澜 ​​​
分开很简单的事情 可是人一旦有执念他就不会放过你 ​​​
如同你理解不了我的痛苦一般我也理解不了我为什么会痛苦 ​​​
我们的聊天记录我每翻一次就会难过一次 像今天 只是为了查找证件号 点进去无意间的往下看 又清楚的记起你的所作所为 ​​​
我也很想忘记 很想放下 每次回忆起来你对我的伤害都痛苦难受 逼自己不去想不去在意 可是脑子却一直在循环播放着那些画面 每一帧都刺痛人心 ​​​
“不开心总是会发生在本应该开心的日子 ”这是去年的我“因为总是偷偷期待所以总是失望难过”永远告诫自己别再抱有期待幻想 可是永远做不到 下一次还是忍不住期待然后就从生闷气演变成发泄愤怒 ​​​
梦的多了好像难过跟愤怒都逐渐麻木 ​​​
如果我这都还不算努力的话 我也不知道我这些年坚持下来的意义是什么 ​​​
你每次觉得理所应当的和好 消耗的都是我的信任和感情 到最后我的爱消失殆尽就不要再和我说希望我变回以前了 ​​​
今年会好吗 ​​​
你说不要怪你 怪我自己选错 理解不了从你口中听到这句话 如果我能像你一样该多好呀我就不会内耗到发疯 讨厌自己到极致反复折磨我刺激我就是你的乐趣吗真的要去死才能结束吗 ​​​
以前翻到这些东西都是会哭到窒息这么多年 难过没有减少 但是很多看法变了 ​​​
分享图片 ​​​
分享图片 ​​​
总是会突然脑子闪现一个故事 就开始幻想自动脑补完剧情之后就开始情绪失控要是肚子里有点墨水应该可以做编剧或者作家 ​​​
没有信任的关系能维持多久 ​​​
只有死能忘记 能解脱 唯一出路 ​​​
奔赴要值得 放弃要利落 不纠结过去的付出 亦无需畏惧重新开始 ​​​
幻想破灭的时候是最残忍的 ​​​
自己从内部破不了自己的壳 就永远被困住了 ​​​
我记性很差 但是我忘不了难过的事情 ​​​
那天我想的是简简单单的一起兜兜风逛逛街 陪我买我想喝的奶茶 想吃的面包 想去的地方就这样度过我内心的四周年 这天对我来说是我们的第一天 不过其实很模糊很暧昧 严格意义上来说这天其实什么也不是 ​​​
一直觉得梦境最能反映内心深处恐惧的事情 ​​​
满脑子都是“你去死” ​​​
“我反复咀嚼你带给我的伤害 我发誓一定要成为像你一样无情的人” ​​​
被爱是一件很幸福的事但我已经不相信这世界有爱了或者说 我不相信我会被爱 ​​​
企图通过给另一半营造某种人设来证明给他人看他很好这一点其实究竟是为了自己的虚荣心理还是为了让大家少点反对这段感情 ​​​
“未完成的课题会反复出现，直到你给出新的回应” ​​​
我们不同 所以谁都没错 ​​​
是对方用行动把自己变得一文不值 ​​​
人的一切痛苦 本质上都是对自己无能的愤怒 ​​​
这段感情毫不夸张的说毁掉的是我的人生背叛、重复伤害这件事最残忍的是无形中把我自身价值完全否定了这些事情让我觉得自己是世界上最糟糕的人 陷入深深的自卑当中怀疑自己 怀疑自己的真心付出 是不是做错了什么 还是哪里做得不够好  我真的很差劲吗还有信任崩塌的挫败感我无法再相信眼前这个人 无 ​​​ ...展开
不想伤害她这句话真的可笑 所以我就可以不管是多年感情还是一个月感情都是让我去死 ​​​
即使已经习惯了 也还是会难过那瞬间 ​​​
不依不饶的就是画地为牢 ​​​
