轉發微博
"九月了 抽一位友友寄九月的《荒野之境》  还有《野泳去》 荒野有自己的逻辑 它与时间一同呼吸 人类需要做的也许就是放下人类中心视角 把感官前置用来绘制自己的认知地图 也用来感知一个并不麻木 富有生命力的世界 “The wild prefaced us, and it will outlive us.”《野泳去》这本中译等了好久 个 ​​​ ...展开"
想起一些灰扑扑的人 内封的蓝跟水母看起来那样可爱又轻巧 可是勇气像水母 仿佛最终都溶于水中消失不见了《逃走的人》 这本有感兴趣的不？介意拆封过的友友就别来啦 抽手里这本 随意分享点或者说点什么就好 ​​​
//@吻批至上://@弦子与她的朋友们:希望可以给大家一点鼓励：你的行动并不是没意义的。《治安管理处罚法（修订草案）》二审稿就在大家的意见提交后有了改变。赵宏：《治安管理处罚法（修订草案）》二审稿值得肯定，也让人有更多期待 查看图片
洋气最终打败寒气没有不太清楚 但酒让人忘记让人想起的来回大概率会勾连出各自的记忆 不敢用共同记忆这种词 觉得听起来ego大了点 但是感受也许会有形成连接的时刻 有了这样的连接 也许对过去的那段会生出新的理解跟感受对作者感兴趣的话 也许可以看看p2抽这本 书拆封过也读过了 但挺干净 没有划痕  ​​​ ...展开
“大山中藏有无数秘密，在我和它之间暗自涌动。空间与心灵能够彼此渗透，直到双方的性质皆因此改变。这种运动难以辨别，我只能通过叙述，说给你听。”重读完 抽一本全新的《活山》评论随意说点雨天喜欢做的事就好 ​​​
很多事都能赖到对自己无话可说开始 ​​​
抽套新书 三部曲新版 塑封拆了但还是很干净的 邮费我这边会负责评论说点最近读到喜欢的就好 ​​​
