这是脑袋里有蜗牛吧。100的关税和200的有啥区别？不是都断了吗？
这个我唯一想到的原因就是封建迷信，比如“红黑蓝色会妨领导”之类的。//@午后狂睡:乐…各地应该都有户外广告和招牌设置管理办法，查了几家都没有明确说有禁止使用的颜色，就连三河市自己的征求意见稿上也没提到禁止用红色蓝色黑色。 查看图片 查看图片
班固《两都赋》：“大汉初定，日不暇给”。//@一剑南来:朝代名前加大，官方文书，如奏疏里，还是不少，东汉比西汉更多些，如汉将上疏表彰耿恭“卒全忠勇，不为大汉耻”，三国志里“大魏”“大吴”也不少，说是胡风不妥//@宇文若尘://@蒼天熊貓:西晋辟雍碑有“大晋龙兴皇帝三临辟雍”
你们忘了《中国妇女报》的名言了？“同意可以撤销”，人家就算签了这个，完事后再撤销你怎么破？
假的，原博在造谣。当时是红军侦查员发现一辆猛士车有四根天线，于是上报指挥部，红军指挥部觉得应该是蓝军高级人员，就来了一轮炮火覆盖，结果就干掉了满广志。和炊事兵没关系。红军旅旅长丁炜后来和满广志一起上过央视节目。//@蕃小茄tomato:
五犁虏庭，看样子是刻骨铭心的痛啊。//@无心简影:老毛子让他们用西里尔文也没见这么恨啊
反伪科学，何祚庥、方舟子都是写写文章而已，司马南那真是冒着生命危险在揭穿骗局。所以我一直说，无论司马南现在是什么样子的，当年那是真的勇士。//@大意觉迷:回复@DarthHent:方舟子不算，其实就两人。//@DarthHent:四大恶人为什么只有三个//@大意觉迷:反伪科学四大恶人// ...展开
要不然这次中国出四个重装旅到菲律宾去练练，也不要求他们一个营了，全军都上也可以的，看看谁赢
