同事送的这个护手霜太好闻了，还很润 ​​​
人生实如钟摆，在痛苦与倦怠之间摆动。 -- 叔本华 ​​​
我们可以把时间浪费在自己喜欢的事情上，但不可以困在自己讨厌的生活方式里。——福斯特·莱士《生命中最简单又最困难的事》 ​​​
我想，人生是可以慢半拍，再慢半拍的。生命的钟表不能一味的往前拨，要习惯自己是生活的迟到者。当生命的时钟有张有驰、疾徐有致地行走地时候，我们地日子才会随着日升日落，发出流水一样清脆地足音。——迟子建 ​​​
真讽刺啊，所以来九华山专门找狗的吗
猴子：这手我不要了
#微博头像挂件# 我正在使用“心语花环”头像挂件，你也快来戴上试试吧~  ​​​
我要是有钱一定不是什么好人
“真正能给你撑腰的，是丰富的知识储备，足够的经济基础，持续的情绪稳定，可控的生活节奏，和那个打不败的自己。”  蔡崇达《皮囊》 ​​​
