等我做了轮廓就这么mean ​​​
专注当下
Repost
pz模板
我就这样
+1
Repost
真是不知道为什么那么多那么漂亮的女孩子还会有容貌焦虑，作为一个路人来看真的觉得现在的大家都太漂亮了，非常非常美丽精致又有特色。你们可以再开心一点点 再轻松一点点的，都没关系。 把容貌焦虑留给需要的人。@ 虞书欣Esther
好可爱
肖可以blacklist了，线上找他面诊鼻子，拍了三次都挑刺说不对，一句有用的信息都没有#鼻子# ​​​
Repost
//@开心好运发财非常顺利:生活中有人故意使坏气我，我：嘻嘻，就不生气
轉發微博
？这还不帥
一堆npc
Nb //@张颖颖YY:他俩经常对着电话互扇巴掌好可怜
下巴模版
Repost
焦虑
Repost
窄圆
Repost
Repost
Repost
Repost
