即使我是个完全不爱吃饺子的人但看到这种事就感到很幸福啊！妈妈就是最好的
今日目标：准点下班 ​​​
可以的！可以的！可以的！ ​​​
最近心情不好的朋友和平时缺乏配得感的朋友们 请都去看昨天湾区晚会的那首夜空中最亮的星 ​​​
轉發微博
瞬时激情的爱很少出现在我身上，于我而言它更在于平淡、温和与恒久的恩慈同样淡漠也是很轻易的，产生爱的时刻才是令人想要努力握紧 ​​​
无敌美貌冲击！
//@Jellybeejell:好好听.. 🌌🌠🤲
姐
当我在理工技术岗的jd上看到“具备法律职业资格等专业资质认证者优先”，我就明白这个世界已经疯了 ​​​
笑死我了 偶们喜欢栗子馒头的可听不得这些！！这和说乌萨奇是蛏子有啥区别 ​​​
在老肖生日这天听了一场神乎其神的ravel😇 ​​​
今天本想早睡补一补昨晚因台风而缺的觉 结果不慎夜聊了hhh二十多岁的年纪聊到未来总是会真挚 我无比珍惜我们这样坦诚而柔软的时刻 ​​​
#台风观察log# 9.23晚火速出门扔个垃圾天啊 风还没正式登陆呢 走在路上就已经开始有明显推背感了今晚大湾区朋友们传送来的晚霞与天空 果不其然都很美丽在见到厚重的密铺云层 将夕阳折射为漫天异于常日的紫红色余晖之后这种台风即临的实感再一次加强已经囤积好了食物和水电 清理好了大小物件 贴 ​​​ ...展开
笑薯…
谁心情
菲丝蔲的发膜还蛮好用的 ​​​
大象好🥲看到这个再想到蔡的烟花只觉得更恼火了😅
怎么那么美ㅠㅠ
意识到了晕车的人会晕车的另一个原因刚刚打的那辆车的车载音响，低频特别有力并且恰好卡在一个微妙的区间，像次声波似的…于是导致司机一路播放的那首歌曲，底鼓每响一下我就晕一下，就这样有节奏地被均匀地震晕了…下车之后感到庆幸还好不是自己的车不然真的太完蛋了！ ​​​
跟我妈聊天，说今天我这边下雨了所以打个车回家我妈：哦。（一秒后）你那边没下雨吧？我在想如果有人用诈骗ai模仿我妈和我说话，应该比较难模仿到这种精髓吧！ ​​​
当一个圆脸的人是啥体验呢这个问题如果要问我…那就是突然想到了先前学校演出时，演出结束的当天，我们热爱神奇宝贝的编舞师给大家一人送了一张他珍藏的精灵卡牌，每人收到的精灵即分别代表他对我们的印象所以你们知道我拿到了啥吗。当我怀着激动的心翻开卡牌的时候，发现是一张胖丁！胖丁？！然 ​​​ ...展开
//@在也门钓鲑鱼:想到三联这几天很火的那篇，恋爱十年，女的说，我也不是绝对不要小孩，但你总该为生孩子做点什么吧。（意思指大家计划一下育儿责任），结果男的说，我给你买瓶叶酸。呵呵，和隐形家务一样，男的是看不到的。就像文章里说的，拖地，男的只会想拿起拖把拖，女的就会想，拖把哪里购买最划 ...展开
二十多岁了仍然还拥有因为屁大点小事而快乐的能力 我为此感到很幸福！ ​​​
#今日咖啡否# 没咖不过买了个小调羹！很完美的长度…祝大家生活顺心如这个勺适配这个杯子💕 ​​​
这个点我家附近的中学在做广播体操…如此阳光吗孩子们！ ​​​
怎么这首居然还有mv 不管怎么看也觉得太神奇的联动
Blue hour :D ​​​
对🚬
//@-WHWDFRI-:Repost
分享图片 ​​​
喜欢好人好事时刻哈哈哈骑手的兔耳朵表情包还怪可爱嘟 ​​​
哇！刚刚才知道在山西那边，家家户户都会在家中常备自己炒制的西红柿酱，平时用法就像老干妈一样，没事挖几勺放进米饭or面条里拌着吃。并且会用一切菜炒西红柿，比如冬瓜炒西红柿，茄子炒西红柿，豆角炒西红柿，或者炸菜炸肉了再蘸西红柿酱汁。天噜！哈哈哈对于从小挚爱西红柿，以至于每次吃西红柿 ​​​ ...展开
终于看到月亮哩！ ​​​
小豆泥晚安//@加盐芝士iii:豆泥晚安💧在喵星也要幸福、健健康康的
这是一条plog ​​​
收拾相册之 云南小记③ ​​​
好消息//@-WHWDFRI-://@SpitzerSpaceTelescope://@使徒子:一锅端了 //@颜文字君://@你别说还真是这样:这种真应该宣传//@不吵啊吵吵://@MoMo_金钩钩:这种应该广泛宣传震慑//@-水蛋蛋-:得大力宣传后果才对//@白煞煞白:应该包括了大量包庇、帮助作案的，并且这个案子不仅仅是打人现场，后面还有威胁亲属、 ...展开
缓缓释出云南小记ing！平日上班生活 靠回味旅游照片获取幸福 ​​​
//@Jellybeejell:好喜欢这期 虽然时不时在搞笑 但真的蛮感动的💧
短短几天在云南看到了四次彩虹捏！ ​​​
好纯净的云南天空  ​​​
#今日咖啡否# 没咖但人在世界咖谷——高速公路旅程中下车透气 不料遇见彩虹:D ​​​
分享图片 ​​​
太久没过春秋季 穿着短袖冒冒失失进入清凉云南~脱离湿热气候 看着周围路人的外套和大衣 感到一丝久违来自大自然的清爽和凉意！（并且久违看到了马路上的非机动车道 如此感人）本次向我们走来的方阵是 香香干巴菌＆无敌见手青——干巴菌紧致入味鲜美多汁 见手青软脆糯韧一边吃菌子一边无影手 ​​​ ...展开
宝宝！//@盒装小椒硬糖:宝宝宝宝
#今日咖啡否# 咖了！最近处于苦夏阶段 什么胃口也没有 今天一共就喝了杯咖啡 每每这种时刻就感到吃饭只是因为人必须要吃饭…所以看到先前旅游时自己记了如此多美食 还是会觉得 啊~能吃是福~珍惜每次愉快品尝的机会！ ​​​
#台湾小日记:)  系列更新来也&gt;&lt;流水账s：○如果是童年时期的我 看到蛋饼店那么多漫画书 一定会流连忘返XD○朋友说她在这从小吃到大 我问那老板认识你吗~ 她说可能和爸妈一起来的时候认识🤣遥想到了自己老家的米粉店也是如此 原来大家都是在平行世界中过着相似的生活长大:) 平静的日子在路边早 ​​​ ...展开
还有就是，最近在湾湾被用温温柔柔的语气称呼了太多次，“妹妹我来帮你弄喔~”“小姐您的东西掉了~”刚刚过中国大陆海关的时候蹲在地上找东西，结果海关过来了位热心工作人员，中气十足地：“这位女士！您是证件找不到了吗！”很微妙的遣词感受啊！我听到这句差点笑出来，才走到海关而已，偶们大陆的 ​​​ ...展开
回程中掉落一些无关的小流水账○今天上午排队买东西的时候，帮忙给前面慌乱的韩国小哥和店员之间做翻译了嘿嘿嘿（这辈子没想过自己这三脚猫水准还能当中韩翻译…○本来面无表情走在机场，突然瞥见旁边墙上的广告，六个小女孩使我露出微笑 NSWER旅行全世界~！ （+1 这辈子没想过只 ​​​ ...展开
要走哩！！舍不得ㅠㅠ走前再留下一次ip好了 :D ​​​
#台北小日记 :)乱发…翻到哪张发哪张先！ ​​​
插播随机图片一则！每天都好幸福喔~是不是多吃芋头 人也会变得甜甜蜜蜜 ​​​
👏！//@-WHWDFRI-:那些说写意见卡是没事儿找事儿的来看看呢//@全世界最英俊的人:支持//@你别说还真是这样:好👏🏻//@村野奇緣:天呀//@梦嘚啵嘚佳:好耶！//@明言明宝:挺好的👏//@橄榄不菜:好！//@草木发发发大财:👏🏻//@酒酿熊子:好！//@烫金真爱册:太好了
啥时候开始发现自己好像年纪变大了（？）以前出门玩儿当特种兵 早上不管几点都起得来床并且元气十分今晚一点多朋友问我 明天要不要六点钟去看升旗我说还是算了吧 真的起不来呀 ​​​
ip check——!! ​​​
//@fan23313:看跪，感觉松弛的自然的动作是最难画的，。而且这个老师概括得特别简约好看，画面美观又有叙事感，对我眼睛很好
一瞬间的纯净们 ​​​
//@Jellybeejell://@GinTonicBun_://@internet-garcon-pdf://@M大王叫我来巡山://@亚尼大帝://@狗派天下第一://@我食汉尼拔://@失溫電子蝴蝶://@绝热圆白菜://@真空球状狗://@酷拨鼠://@李不敢知道主见:maskpark注册人扒出来了，名字叫麦梓豪 犯罪团伙:麦梓豪，潘雪连，麦梓峰，麦德荣，刘恒冲// ...展开
素！
能否…//@旗的二次申辩:Repost
广州这个城市不是我的家 但怎么每次去都有种回家的感觉可能因为常常在此遇到很好的人！它也常常在适当时候接住人的一切 疲惫和思念 ​​​
莫名其妙小插曲一则从广州回深圳 站在高铁站台边等待列车进站时耳边不知道为什么 刚好播放到那句“离开广州！离开广州！离开广州！”害我真笑了一下…🤣（btw真的发誓是极小概率事件 俺平时对这首歌的印象仅停留在听过 以至于播到该句歌词之前 我都不知道下一句会是这 ​​​
放送剩下美食照片——！因为台风预警列车停运 Day2从顺德改道广州:)牛乳铺去千万次也如此熠熠生辉有意思的人聊千万句也不嫌多感受到的温暖在未来千万时刻也会住在记忆里最后：明天怎么又要上班？！ ​​​
你有这样子的粤菜爱好者进入顺德——香拽了真是 广东人也吃得太好！[幹飯人]俩人吃了一斤多的桑拿鸡 一斤多的桑拿鱼 以及一锅陈村粉 一锅当归毛桃汤 一碟马拉糕 如何 ​​​
#今日咖啡否# 没咖但此时此刻在我耳边飞来飞去的蚊子 翅膀扇动的嗡嗡声 音高是G4。人已快被花露水香味送走…怎么蚊子还不走啊 ​​​
#今日咖啡否# 今天路过一个娃娃机店，听到里面放的bgm是pretty u，震惊之余感到了一丝淡淡的滑稽…🤣乐死我了（意思是老歌业务竟如此之广） ​​​
#365件令人觉得世界上仍存美好的小事(10/365)吃寿司郎！不知道之前看到谁说，不开心就去吃寿司郎，吃寿司郎是一件会让人变得幸福的事。虽然有些不明就里，但颇有同感^^可能因为满眼都是缤纷的小碟子在热闹旋转着:D一两人温馨地坐在暖光照耀的小格子里，自在选择自己喜爱的食物，短暂进入了不被打扰 ​​​ ...展开
//@功夫熊猫阿姆罗:大家都很可爱，真的太好了。//@功夫熊猫阿姆罗:我记得有一个说法是，因为身体结构、走路姿势看起来接近，人类在它们眼里是体型很大的企鹅。
