怎么变成一个人去巴黎～
宝宝玩得开心～
//@刘轩丞-:#向烈士致敬#  你们以信仰点燃的火种，正在我们手中传递。缅怀，不止今日，致敬，重在言行#盛世中国如你所愿#
走啦～
宝宝
宝宝！！！好累啊累得喘不上气
宝宝，衣锦还乡嘻嘻
嗯嗯嗯好好吃饭！！！！休息！！
演员刘轩丞超话 lxc#刘轩丞#lxc #向全世界安利刘轩丞#借我充个电，宝宝 到底怎么样时间才能够用@刘轩丞- ​​​
致敬！！！//@刘轩丞-:为国家牺牲的英雄，我们从未忘记，今天，英雄们回家了。#接30位烈士遗骸回国#，致敬最可爱的人！#英雄回家#
期待刘轩丞//@刘轩丞工作室:#微博奇遇记安全倡议# 为保证公共安全，我们在此诚恳呼吁：拒绝夜排、公共场所不聚集、不逗留。严禁携带任何形式的应援物品及禁、限带物品进入场地、禁止一切非理性应援行为。请广大粉丝朋友严格遵守安全倡议，切勿以爱之名做出妨碍他人和其他过激行为，影响公共秩序和公共 ...展开
演员刘轩丞超话 💛#新人演员刘轩丞# 💛#向全世界安利刘轩丞# 我只希望你好好的，健健康康的，我们都好好的，就这样一直走下去，你一定一定要照顾好自己，干什么事都要小心，太晚的时候就少出门，多多吃饭，早早睡觉，逮着有机会可能休息的时候就休息，有健康之身体方有健康之精神 ​​​ ...展开
到底怎么样才能掌控好时间啊，每天都觉得时间根本不够用一点 ​​​
理智追星！坚决不让不理智行为影响公共秩序！抵制ss行为！抵制不合理追星行为！//@刘轩丞工作室:网络并非法外之地，公民个人信息受法律严格保护。工作室也将针对侵权违法行为持续通过法律途径严肃追责。坚决维护刘轩丞先生的合法权益！感谢每一位理性支持刘轩丞的朋友。 #严正声明#   ...展开
演员刘轩丞超话 lxc#刘轩丞# lxc#新人演员刘轩丞#要一直一直陪你走下去 ，帅成啥样啦宝宝今天充电两百➕@刘轩丞- ​​​
#想对老师说#老师辛苦了！您当年“多问一句”的包容，比我的搜题软件还给力！丹丹老师教师节快乐！！！辛苦啦
软萌萌
宝宝你好好休息，以后你也带个大镜子反照拍你的那些ss 坏人，好好照顾自己
萌鼠啦是和我们一起玩～宝宝
考研政治徐涛超话考研打卡Day1感觉每天自己进度真的好慢涛涛老师 ​​​
宝宝！！！借我VIP
演员刘轩丞超话 lxc#刘轩丞# lxc#刘轩丞读粉丝信哭了#今天提前从图书馆回来了，但是还是没有赶上热火的直播 ，但是刚刚补看完了刘铮你就是软萌萌超感性的宝宝，怎么那么好啊，自己过生日还准备那么多小游戏和我们玩，还跳蹦蹦热场嘻嘻虽然知 ​​​ ...展开
宝宝你最棒挨亲
宝宝生日快乐！！！多吃饭，少熬夜，睡饱觉，休好息
我一定一定要和你走过这漫漫长路
#欧诗漫新生大使刘轩丞#
#刘轩丞新歌默契#
#刘轩丞0905生日快乐#
#everbab艾蓓拉彩妆品牌代言人刘轩丞#
宝宝你萌得没边了
演员刘轩丞超话#刘轩丞0905生日快乐# lxc#刘轩丞# 刘轩丞，今日（有事熬不到零点陪你一起啦）乃是你最为珍贵之日——你的诞辰纪念日到来了！在此时此刻，我要向你致以最诚挚的问候和最深切的祝福。愿你的人生如同这部影片一般精彩绚烂，每一步均能走得坚定而光明。(๑˃̵ᴗ˂̵)و ​​​ ...展开
马上啦
演员刘轩丞超话 💛#刘轩丞0905生日快乐# 💛#向全世界安利刘轩丞#  直到追星我才明白 原来爱一个人是两颗心脏感受同一份痛苦@刘轩丞-刘轩丞-的微博视频 ​​​
