当时他出演许仙的时候喜欢了他好一阵呢，下午刚看到营销号说他去世的时候还觉得挺离谱的，没想到是真的😭他还那么年轻 哎，逝者安息🕯️🕯️🕯️
时代少年团超话 集卡互助ing~送你一张“TNT心动密码”R卡“心动时由你”~速速来抢，手慢无！点击领取网页链接 ​​​
从卧室到巨星
#超心动奇遇盲盒##我的超话卡册#嗯嗯嗯 ​​​
#超心动奇遇盲盒##我的超话卡册#噢噢噢 ​​​
#超心动奇遇盲盒##我的超话卡册#哈哈哈 ​​​
#超心动奇遇盲盒##我的超话卡册#来来来 ​​​
#超心动奇遇盲盒##我的超话卡册#卡来卡来 ​​​
#超心动奇遇盲盒##我的超话卡册# ​​​
我在#歌手2025舞台推荐# 为喜爱的舞台《光之翼》助力，你也来pick#歌手2025#喜爱的舞台吧！#歌手直播# 歌手2025舞台推荐 ~
我正在参与#歌手2025我来揭榜#推荐活动，快来和我一起推荐@时代少年团队长-马嘉祺，将有机会助TA获得#歌手2025#揭榜赛竞演资格！#歌手直播#【歌手2025我来揭榜】 ！
#歌手2025我来揭榜#快来和我一起推荐@时代少年团队长-马嘉祺吧！#歌手2025##歌手直播#【歌手2025我来揭榜】 .
为什么初十就要开学？！高三生只配有两个星期的寒假吗！！！！（还有作业） ​​​
