叫武汉大学超话#武汉大学图书馆事件# #武大回应图书馆事件# #武汉大学# 武汉大学超话 查看图片
看到任何bot 里有“禁男，禁辱女”就很安心 ​​​
不得不转了，拖延症这就爬起来
回复@工作事吐槽:心态确实，我不知道是因为能圈💰还是已经解离了还是说真对3d有感情，天天跟incel胡搅蛮缠，日复一日年复一年，普通人应该早就有心理阴影了//@工作事吐槽:回复@庐江月-:看他评论区就知道了，有一堆诋毁造谣他的人，甚至有混成金粉，不得不说他本人心态真的好的没边，不愧是两边都能吃 ...展开
至于为什么没有“赛博母亲”，我觉得是咱老中对母亲要求太高了：有钱，无限包容，善解人意，温柔，忠诚，聪慧，坚强，美丽，不能犯错…这不是人能做到的，而且女男对母亲的想象也不同，女生可能想要李湘，lmm这类，男人的理想母亲在h片里//@懒羊羊我睡睡睡睡睡:咱老中大多数父亲是缺位的，毕竟都“父爱 ...展开
飞舞小点子是这样的
武汉大学超话 #武汉外国语学校#
武汉大学超话
武汉大学超话
武汉大学超话
//@CafeCathy14://@利维坦的脚踵:按照肖某的作文，肖某爷爷1943年10月30出生，退休时间应该是2003年10月30日，而肖父肖母2003年9月18日取得公司股权。且不说池雨民是否代持，肖父肖母是实际控制人。至少2003年9月18到10月30日，这42天显然是违规的…//@利维坦的脚踵:建议查一查肖某爷爷的退休时间，他 ...展开
武汉大学超话 //@CafeCathy14:先忽略《我的副董事长爷爷》，请问你想买药能指挥父亲公司的司机跑腿吗？请问你能让法律判决书单单不说你的真名吗？ //@斯图卡98:→_→要是肖同学家里有这么大背景，还用得了杨景媛如此嚣张跋扈//@多摩的狸子:右边，你TMD建号7年，才35条微博。23 ...展开
武汉大学超话
武汉大学超话
@武汉外国语 武汉大学超话 //@CafeCathy14:@武汉外国语学校 //@出版人周筠:支持。
武汉大学超话 //@CafeCathy14:@武汉外国语学校 //@出版人周筠:支持。
武汉大学超话 //@CafeCathy14://@Alain王勤伯:看看这篇//@drmadcow2001:不是诬告，是案由不适用
武汉大学超话
武汉大学超话 //@CafeCathy14://@秋日限定_镜://@维司塔://@堂前萱草开:原博是武汉外国语中学发声的同学，她的微博今天显示已经失去所有功能//@打鼓小狗的打工日常:本人大号已经失去所有功能了，不能改主页不能改博文，并且热度最高那条悄无声息的屏蔽//@打鼓小狗的打工日常:我寻思什么处罚啊完全 ...展开
武汉大学超话
//@CafeCathy14://@天问九歌怀沙:有很多很多，23年事发之后外校群都炸了 查看图片 //@落笔不想早起:关于高中转笔事件请问有更多的截图或者资料说明这人确实做过吗？比如事发前的通报或者其他人的聊天记录啥的
//@CafeCathy14:哪怕管这叫传记也比叫论文强呀，请问这个“论文”论证了什么观点？//@对半切开的奇异的奇异果核:他在22年的时候还给人发他的“论文”呢 查看图片
//@CafeCathy14://@心如石照水寒:【挠痒痒这个事，我觉得太龌龊】 【我是第一次在图书馆挠痒痒，我以后再也不这样做】 【我也是一时冲动才挠的痒痒】  哈哈哈哈
//@CafeCathy14:抽奖我不参与，不过一手资料应该被更多人听到//@还好-0725:评论这条微博（最好也给我转发一下），就可以参与抽奖，三个人每人100r，拜托大家多多转发～感谢
这是bl胖猫吗 ​​​
