最后一句话点了
有点懂
⬆️
感觉我是谈不上了 看到别人正脸就不喜欢了 算是见鬼了 ​​​
后果就是挂科 补考不过 最后重修 小姐姐你也是爽上了//@順順尼尼t:所以我上课从来不听
大学能不能放过我 补考也是没过 大二了和大一的一起上高数 补药啊 ​​​
所以我上课从来不听
存了
就是说为什么每次吃椰蓉都感觉噎噎的能不能整改一下的
接
今天真跟死猪投胎一样 就是想吃 就是控制不住 就是吃了这又想下一个 ​​​
真尼玛想谈的没法了 做梦都在谈恋爱 ​​​
大学和室友的关系就像二婚夫妻一样 搭伙过日子的感觉 有无同类#二婚##大学室友##大学# ​​​
哥们 觉得价高直说啊 一言不合就直接删了 神经啊 ​​​
今天的好消息 ​​​
自己的失败固然让人伤心 但是身边人的成功更是让我心痛 寝室两个人都谈上了 我也想谈啊 ​​​
共鸣去年的自己 ​​​
纠结半天还是自己剥了 突然想起 高中的时候妈妈要我吃水果 跟我拿橙子去学校了 但是我说不想剥 她就跟我拿了好几个 要我分给别人 然后要别人跟我剥 之后带了三个橙子 其实只吃了半个 ​​​
想吃橘子🍊但是不想剥 想家了 在家妈妈 奶奶都会跟我剥 真的讨厌手上有这种东西的味道 ​​​
也是懒到一种程度了 外卖到了 但是还不想起床 ​​​
感觉很真实 ​​​
今天高数补考求过啊啊啊啊啊啊啊 ​​​
学习的时候 身边的任何东西感觉都在勾引我 ​​​
嘻嘻 坏到一起去了 ​​​
跪着跟我差不多高的小帅哥们狠狠的来吧 順順尼尼t的微博视频 ​​​
我怎么这么厉害呢 ​​​
呵呵哒 好事是一个没有 坏事是一个接一个的来啊 ​​​
本该是美好的下午 ​​​
半夜睡不着也是恶意满满
十九岁了 瞳距还没十岁小孩大的痛苦谁懂 ​​​
谁呼吸声这么重跟牛一样 ​​​
现在终于懂那首我为什么总在非常脆弱的时候怀念你了 现在好想我的爸爸妈妈和奶奶 不想上学 ​​​
好讨厌头发 谁能懂 明明头发应该是人的附属品 但是人每天都要花费很多精力和时间去打理头发 这不是相悖了吗 所以其实人不应该长头发 这样只会增添负担 ​​​
现在想创飞这个世界 为什么要学习 不想当人了 重活一世 不愿为人 ​​​
谁能代替我补考 谁能谁能whowhowewwwwwwwww ​​​
恨上个学期期末没有好好复习高数的自己 我真的不想重修啊 救救我吧 让我高数过吧 ​​​
真心感慨 我简直就是大善人 虽然是怕别人骂我哈 但是还是因为我太善良 ​​​
一群老逼登为什么老闭灯 知不知道我东西还没收完 ​​​
是不是年纪大的男的都喜欢高谈阔论 展现自己 不管跟对方熟不熟悉 认不认识 ​​​
一个人练车的痛苦谁懂#痛苦##倒车入库##c1# ​​​
每次化妆的就是我割双眼皮欲望最强烈的时候#化妆##新手化妆##学化妆# ​​​
冷死了 根本不想起床 每天在我家上演的就是wt吃饭了 然后我说昂 再过几分钟 起来没 我说马上循环播放#好好吃饭# ​​​
减肥减到最后其实最瘦的时候是放假当天#减肥##失败# ​​​
练了两个小时车去腿现在还是酸的 痛苦烤完烧烤头上一股油烟味讨厌死了 痛苦 ​​​
科目一终于过了哈哈哈哈哈哈今天去练车 全家出动 我是幸福小孩 ​​​
第一次见#今生是第一次# ​​​
真心不愿再受科一的苦#驾照考试科目一##过# ​​​
感觉自己上辈子是条🐶 对味道有点过于敏感了 突如其来想做饭 结果做晚饭 身上有股油烟味 我是真受不了啊 刚洗完头发洗完澡 又去重洗了头 但是只洗了一部分 现在躺床上 还是被这股味道环绕 睡不着啊 谁能懂 ​​​
人均哲学大师 ​​​
平时上课都没起这么早过 期末周杀疯我#期末# ​​​
发明了一个新骂发 不过仅限于骂男的 你是韩国人吧谁懂 ​​​
真的很讨厌影响我情绪的人 这种人完全就是吊着别人 这种人能不能都滚 根本不配活在这这个世界上啊 完全大杂种 不是人 ​​​
其实应该相同的人在相同的圈子 这样大家不会因为自己有钱而存在优越感 也不会因为自己没钱而自卑
想谈 还是想谈 感觉现在完全情窦乱开了啊#水瓶座# 
感觉我这个人纯恶意啊 看到辅导员发了一个我们班男生的照片 不是我说 感觉和老嫂子没差啊 我找了半天 只有那个老嫂子符合条件 不知道以为中年妇女呢 一个男的为什么能长成这样啊 哈哈哈哈哈哈哈哈哈哈哈 woman并非并非 he is a boy哈哈哈哈哈哈哈哈哈哈哈哈 ​​​
好烦啊 想谈恋爱又不想主动 水瓶座是不是都这样啊 水瓶到底都是怎样谈上的啊#水瓶座# ​​​
去他妈 有没有好看的帽子 死帽子戴着像刚出月子的 还有说蒙古人的 我去了 每个店家能不能都把东西做好看点啊 大哥大姐们#帽子##丑# ​​​
操你妈呢 大学辅导员和各个班委的关系简直就是一个大见人养了一群小见人#辅导员##班委##大学生活# ​​​
哈哈哈哈哈哈哈哈大学的第一次暗恋结束 再见了数学老师 我要奔向下一个了 这次我要勇敢一点 人生就这一次 我要勇敢向前冲#暗恋##结束##下一个# ​​​
一天天就你妈活的像个奴隶一样 任劳任怨伺候自己 还没有任何酬劳 去你妈呢 还活什么活 有个什么活的意思啊 除了我还有谁比我更宠我自己#菲佣##自 杀##滚# ​​​
其实是我现在喜欢的一个人和我初中数学老师很像 我去了 谁允许你像了 搞的我很羞耻啊#暗恋##假暗恋# ​​​
想谈恋爱了 妈的 感觉上大学就像到了发情期 哪个帅哥能来解救我#大学生活##发情期##帅哥# ​​​
话糙理不糙#今日小记##想记录下此刻##今天有啥好笑的##生活手记# ​​​
