直觉指引我走到今天 换句话说 我听从心的选择 ​​​
有时候我想 未来其实已经发生 发生在我们的记忆里 发生在宇宙的某一个角落 只是我们忘了 要不然为什么会对素未谋面的人 对从未发生的事有熟悉的感觉呢 冥冥之中已经有了结局 ​​​
  NFR这张专好听的很多，最喜欢这首。尽管打雷唱得是大西洋彼岸的故事，但身在此处的我有过相似的感觉想起以前在宜城的时候。在接近尾声的夏日里，和朋友在夜风中散步，沿着宽阔的滨江大道，想走多远就走多远。周围有许多人，有人遛狗，有人和我们一样只是散步聊天，形形色色的 ​​​ ...展开
 我的电子蝴蝶 ​​​
生日。离本懒成为百岁老太的目标又近了，很棒！悄悄许了好些愿望，希望明年或者更久后能够实现。此时此刻，我是爱这个世界的 ​​​
明天给锦老师点饭 ​​​
感谢我们组长的美丽蛋糕🎂很喜欢 ​​​
生日 说实话 并不太开心但也有好的一面去年许愿生日有人陪今年就实现了 ​​​
终于能独处一会了。好久没阅读了 想念书好久没看电影了 想看电影放下所有心情 我能面对我真实的样子了 ​​​
想记录。真正能拥有的东西是不过是一点平静的感觉。在许多个夜晚是这样，我希望在我离开这个世界时也能怀有这样的心情。 ​​​
我没有任何毛病 白天已经上了很久的课了 所以现在想玩手机是正常的 况且手机怎么都玩不够 ​​​
如果说理解和看见是一种能力，那么你大概不具有，也许我有，但你没有在我生命早年给予我的东西，我也无法在你生命的晚年给予你。你能看见我的恨吗？你能看得见我的爱吗？我有许多充沛的感情和爱人的能力，you wasted. ​​​
“父亲”对我来说 仅仅只是一个空洞的词在现实层面 我不了解不理课我的父亲 我父亲也不理解我，互相理解是一种能力，许多人没有。我父亲也没有。也许我有 但我现在已经不愿 我没有得到的东西 我也不会给予他人 ​​​
 爸爸我长大了，不再需要你的理解，不再等待你的爱 ​​​
SO HOT 🥵 希望今晚梦里是宋佳
 现在回想当时 真觉得是珍宝一样的时光 但当时确确实实是混杂了许多复杂的情绪 我曾半夜打电话给当时的老师倾诉。也许三年后回想现在 也会觉得是珍宝一样的时光吧 时间带走许多也给予许多 ​​​
 每次听NFR都会回想起那座滨江小城 time is old there 江面平稳而宽阔 怀念滨江大道的夜风还有好似无尽的夏日 ​​​
努力学习这个社会的规范 规则 把自己改造成能在社会中参与合作的模样 但最后其实是为了得到自由 ​​​
想飞 想自由 ​​​
分别在分别时是平淡的。我去上班搭子那拿了些东西，带不走的都给我了。这样不错，好像分别只是暂时的一样。不像外婆，什么都没留给我，只能默默流泪。还看了看她的小公寓，她的住所也符合她一贯的风格。她回家是要坐飞机的。想念她 ​​​
最好的上班搭子离职了有点难过，再也没有人像她那样情绪稳定了平和、纯净，这是我对她的感觉 ​​​
 摔了一觉 下雨天走路真的不能太赶 现在尾椎骨疼😔  音乐就是生活的止疼剂 ​​​
呜呜 想哭哦 别哭 ​​​
难得有倾诉欲望 就多说一些吧我花了那么多时间、精力 把自己投入现在的这份工作中 实际的回报并不和我投入的精力匹配。不过 我也有太多精力花在了思考、焦虑和内耗上 没办法 谁让我有adhd呢 最近通过吃药已经改善了许多今天走过每天都会经过的那座桥时 我看着桥下的河水 突然感到平静 既然还没到放 ​​​ ...展开
有些许难过…无缘由的我经常在互联网上翻阅一些帖子 那些帖子展现了我梦想中生活 帖子的主人正在过着我梦想中的生活。我一直认为人生不该被工作或外界的规则占据大多数时间 我一直认为生命的本质应该是阳光 绿树 湖泊和自由的时间 时间应该用来实现自己想做的事 我觉得工作和生活应该是平衡的。 ​​​ ...展开
想做的事情太多，而可掌控的时间又太少太少 ​​​
换个人做还不如我呢 就是
2024最喜欢做的事：在深夜自我剖析，然后狠狠骂自己 ​​​
我太自恋了，真的真的 ​​​
2025 新年愿望：1.能够更理智、更冷静的看待事情 ​​​
共情能力是一种诅咒，根本没法很好的掌控。到最后，往往是，我自己遍体鳞伤，事情还没有很好的解决。 ​​​
码住，去学！
回复@DeathEnd2022:这不还是闭起眼睛选择忽视的那一套吗？因为这个事很难办，所以选择忽略；选择个体承担所有代价；选择用一个看起来美丽的概念掩盖实际处境。等社会将所有帮扶、支持女性生育或不生育的政策都做到了，等人们的观念普遍转变、平等的理念更加深入人心，再来说这一套吧// ...展开
教堂，我想如果有机会，我会去拍的 ​​​
还有不到两小时就是2025年了…许愿明年的这个时候，我不是一个人。总将自己与世界隔开，虽然自由，但也会孤独也许我该学会打开心防，也许我该试着用真实的自我面对别人，也许并不一定要在世界和“我”之间建立一道不可破的屏障。这样严防死守，用以保护什么呢？nothing我不需要完美，我甚至不需要 ​​​ ...展开
看见了很多感动
Emma！
愉快宣布：我是钕铜 ​​​
今天早上我花了1个小时仔细审视自己的容貌。是的，我又开始容貌焦虑了。之前很长一段时间，我不怎么照镜子，照镜子的时间压缩在早晨出门时的匆匆一撇：只是为了确认下当天的穿搭。到此一切都还不错。今天早上的八点至九点，我面对镜子陷入了情绪低谷，无力感与自我厌恶感混杂而来。因为我的长相并 ​​​ ...展开
我认为我作为一个成年人，还是耻感太强烈。我面对的是一个复杂的、变化的世界，形形色色的规则和秩序在我出生之前就已建立，太多比我年长、比我有经验的陌生人，而羞耻感，会在这个世界打败我之前就已将我打败。#心情##自省# ​​​
没有坐凳的地铁站都差评！ ​​​
赶上了！还有两天开奖
