五脏好不好，看看五种津液就知道了
人过40，五脏开始衰退，送你5个中成药，补好心肝脾肺肾
甲状腺肿大外用方 ​
一个艾草的食疗方法食疗：  艾叶煮鸡蛋材料：艾叶10克、干姜15克、鸡蛋2个、红糖适量。
养气血
自制秘方辣椒油
#生活手记# ​​​
补气血
桃桃乌龙提拉米苏，超高颜值的甜品
黑豆
美食-茴香大饼
奌心-山药苹果派
“十病九寒”，你的寒堵在哪里？
轉發微博
杏苏散
木桶米饭/脱糖饭
轉發微博
咖啡拉花
改善体態
轉發微博
#生活手记# ​​​
開車
開車
黃褐斑
運動鍛鍊—波比跳
乳腺增生
#生活手记# ​​​
肝脾肾最喜欢的中成药
偏方
中式糕点
偏方
无油低糖面包
祛除扁平疣、丝状疣、跖疣、寻常疣、脂肪瘤
欧包
#生活手记# ​​​
奌心-红豆糯米饼
甲状腺消结操
水饺皮做白酱菠菜千层面
睡眠不好
糖尿病泡茶方
美食-凉拌豆苗金針菇
點心-苹果乳扇塔
#生活手记# ​​​
奌心-红糖大枣发糕
肩井，天井是治疗甲状腺结节的常用穴组，有甲状腺疾病的朋友平时可以按揉，孕妇除外。 ​
春游美食便当
美食-自制好吃的饭团
十秒教你快速转换wps三类文档
苹果山楂膏
脾胃好不好，看大便就知道
二陈汤，用好了可以治疗这15种病！ 1、小儿惊风 2、癫痫 3、中风 4、精神失常 5、发笑 6、头痛 7、肩背疼痛 8、脚肿 9、气虚浮肿 10、失眠 11、胃胀痛 12、疝气 13、积聚 14、闭经 15、妊娠恶阻
改善脸部松弛  ​​​
芝士烤飯糰
#生活手记# ​​​
肺部呼吸咳嗽自我诊断
中医舌诊的不传之秘——独处藏奸！   凹为虚、凸为实、白为寒、红为热
当归芍药散（吃21天）
五脏有问题，常用这几种中成药
点心
平底锅帕尼尼
爆浆芝士抖臀古早蛋糕
全麦帕尼尼
"药王孙思藐《千金方》，由《伤寒论》吴茱萸汤变量而来，治嗳气又吐酸：  吴茱萸25g ,人参6g，生姜9g,大枣三枚。煎水服。"
胃痛中成藥
血燥发痒，血虚畏寒，血热长疮，血寒体痛，血瘀失眠
心脑血管(脑梗、心梗、颈部班块):三通汤
消脂
小柴胡颗粒
肚子大、松垮，做练腹动作没有效果，一定要练这个激活腹横肌
素食折叠紫菜饭  ​​​
阳气足、百病无，这10个补阳的中成药，升阳除病：
白頭发
肩胛骨縫裡不舒服
睡眠不好，总是早醒
中医健身：4个动作拉伸动作，疏通全身经络  ​
失眠
穴位调理对照表﻿ ​
#生活手记# ​​​
貓語
轉發微博
人体自带生发穴
面点大师教你揉馒头
春天喉咙干，还有点疼，咳嗽(烏梅百合梨羅漢果煮粥喝)
治心气不足胃経湿热的口臭 : 益智仁30g/甘草6g煮水喝或研磨沖泡
轉發微博
中药界的“布洛芬”，从头到脚止一身疼痛！
黄褐斑
白蒺藜是眼科要药，可治老花眼，白内障，眼花，重影，飞蚊症等。只用白蒺藜单方，如果有效，是很好的。
鼻炎，只需看颜色就能找到病根
痰濕體質~ 健脾化痰丸：生白术，生鸡内金按照1:1的比例打粉，假如白术的用量是10克，那鸡内金的用量也是10克，假如白术用到了60克，那鸡内金也要用到60克。然后把两种药材打成粉，慢火焙熟，混匀，用蜂蜜调和成丸子，每次服用9克，或者你就直接吃那个粉，温开水送下。
最不上火的补气药，生脉饮遇到强劲对手
低卡甜品｜抹茶抖臀蛋糕
【#旱莲草煮水巧治脱发#】旱莲草20g(蒸)何首烏20g桑葉15g煮水喝
#生活手记# ​​​
中药外敷祛眼袋
降血糖用玉泉丸配金匮肾气丸
逍遥丸巧搭配，可攻破各种结节
毛衣袖子长剪掉这样改
黄芪作为中药的瑰宝，搭配不同的食材，不仅可以健脾祛湿，还有助于减肥瘦身哦
大眼袋
