林允超话《PUSS PUSS》封面人物📸 ​​​
#Emily Ratajkowski #Saint Laurent📸 ​​​
#金钟仁kai# ✖️迷你4辑Wait On Me📸 ​​​
崔然竣超话 」x MonclerEsquire Korea E-ISSUE April 2025.4月电子刊封面人物 📷 ​​​
金宇彬超话 ✖️GQ Korea 四月电子刊封面📸 ​​​
车珠英超话  」 ELLE KOREA April 2025.4月刊📷 ​​​
kimjisoo超话  Harper’s BAZAAR Australia 澳大利亚版时尚芭莎四月刊封面📸 ​​​
W Korea x Sisley x 金泳勋超话 📷 ​​​
DAZED KOREA 4月刊封面人物 张元英超话 📷 ​​​
DAZED KOREA March 2025.3月刊📸 ​​​
#三吉彩花#  x Calvin klein 📸 ​​​
#车银优#  x  Marie Claire📸 ​​​
#Felix 李龙馥#   Vogue Korea 四月刊LV服饰画报📸 ​​​
kiiikiii超话 📷 ​​​
#王嘉尔#  ELLE 四月刊封面人物📸 ​​​
TXT组合超话 x DiorGQ KOREA April 2025.4月刊封面📸 ​​​
娜然超话 红秀三月刊 ​​​📷 ​​​
艾米短碎发大片艾米超话📸 ​​​
徐睿知超话 |  NICK&amp;NICOLE📸 ​​​
🤳 ​​​
#meovv#  “喵” W Korea 四月刊封面📸 ​​​
2025 #巴黎时装周# 📷 ​​​
#Win Metawin# Men’s Folio📷 ​​​
#宋慧乔#  VOGUE香港版3月开季封面➕画报📸 ​​​
Ralph Lauren拉夫劳伦｜2025春夏T📸 ​​​
@马思纯  《InStyle优家画报》封面📸 ​​​
IVE超话ALBUM RELEASE2025.02.03 MON 6PM📸 ​​​
#车银优# ✖️ELLE Korea 二月刊封面大片 ​​​📷 ​​​
欧阳娜娜超话 週末畫報  2025 📸 ​​​
李柱延超话 SPAO 24FW PUFFER COLLECTION📷 ​​​
@杨幂  费加罗十二月刊封面人物📸 ​​​
Somi超话  个人美妆品牌GLYF📷 ​​​
Dazed Korea x Louis Vuitton x Hyein李惠仁hyein超话 📷 ​​​
#plog纪念册# 2024尾声🔚 ​​​
ELLE Korea 2025年一月刊封面画报#minji# 📷 ​​​
#蔡徐坤# 蔡徐坤  Billboard特刊封面人物📸 ​​​
#古力娜扎# 时装 LOFFICIEL  December  2024 📷 ​​​
LISA超话 登上泰国《VOGUE》年终刊新写真美图📸 ​​​
Marie Claire Korea12月号画报赵美延超话 ​​​📷 ​​​
#plog# 消失的冬天❄️  ​​​
十月🔚  MARS_SHARE的微博视频 ​​​
#李龙馥#   ELLE Korea 11月封面画报📷 ​​​
Schiaparelli S/S 2025 #巴黎时装周# 📷 ​​​
@井柏然 嘉人十月刊封面大片📸 ​​​
#高俊熙# GQ KOREA October 2024.10月刊 📷 ​​​
​LISA超话 x VOGUE时装画报 ​​​📷 ​​​
古力娜扎超话 × SuperELLE October 2024📸 ​​​
李珠彬超话 Marie Claire Korea September 2024.9月刊 📷 ​​​
W Korea x Dior Beauty x Haerin超话 📷 ​​​
#金硕珍# Harper’s Bazaar Korea September  2024📷 ​​​
许光汉超话  ELLE Taiwan 九月刊封面📷 ​​​
包上恩超话 九号摩登封面#@包上恩 📷 ​​​
林珍娜超话 📷 ​​​
杨采钰超话 GLASS China  September  2024 📷 ​​​
赵美延超话  WAKEMAKE📸 ​​​
aespa WINTER x Espoir画报金玟庭超话 ​​​📷 ​​​
舒淇超话 x  时尚芭莎 九月刊📷 ​​​
aespa超话 Vogue Korea September 2024  韩版九月刊封面人物📸 ​​​
白敬亭超话  Arena Homme + 中文版 8月两周年刊封面 ​​​📷 ​​​
王嘉尔超话   Harper's BAZAAR Malaysia 马来西亚版时尚芭莎8月刊封面人物 ​​​
鞠婧祎超话   新视线Wonderland. 8月刊封面女郎📸 ​​​
🏠  ​​​
🧔🏿‍♂️晒成本地人⛵️🏊‍♂️  ​​​
🚢  ​​​
逛逛街📸  ​​​
LISA超话 📷 ​​​
朴信惠超话   VOGUE HK 港版七月刊封面📸 ​​​
吴谨言超话 📷 ​​​
权志龙超话 ELLE📷 ​​​
#刘雯##井柏然#时尚芭莎七月刊📷 ​​​
aespa超话‘Hot Mess’ Teaser Images 📷 ​​​
权志龙超话  ELLE Korea 韩版七月刊封面📷 ​​​
娜扎超话 📷 ​​​
IVE超话 📷 ​​​
BLACKPINK Jisoo Vogue中国香港版封面kimjisoo超话 📷 ​​​
崔然竣超话 Vogue Korea Digital May 2024 韩版五月电子刊📷 ​​​
W KOREA 特别版封面画报MINJI 金玟池超话 📷 ​​​
#Elsa Hosk#出席2024戛纳amfAR📷 ​​​
LESSERAFIM超话  × Marie Claire Korea June 2024📷 ​​​
林珍娜超话 VOGUE KOREA Digital Edition June 2024.6月电子刊封面人物 📷 ​​​
张元英超话  AMUSE📷 ​​​
三吉彩花超话 L'OFFICIEL KOREA📷 ​​​
​​章若楠超话 📷 ​​​
崔乂园超话2024 Singles五月刊📷 ​​​
