还得是做手工最得劲儿啊 ​​​
难怪每次心情不好的时候去遛狗回来就能好一些 ​​​
论不同主语表达对于同一事件的标题引导性明明是一个男性性侵案件，话题却把主语重点放在女性赴约遭性侵，仿佛在表达“你被性侵就是因为你赴约” 什么时候才能停止这种受害者有罪论 ​​​
天呐 苏无力被逼婚的事情真的听得人好痛苦 突然想起听过有人说自己如果被逼婚 会把妈妈绑在椅子上看着自己在她面前上吊 一个个体的人生选择 却要这样被家庭互相捆绑到一个极端你死我活的境地 实在是讽刺 ​​​
好家伙 把狗丢在客厅自己回房睡觉是有代价的 代价就是做噩梦梦到自己把狗送上地铁 自己坐另一条线回家（虽然也不知道为什么分线回） 美美想着等到站了狗会在站点迎接我 结果坐到一半想起狗没手机刷不了地铁码出站且它怎么会知道要在哪一站下 给我急醒了 醒后狗听到动静开始叫 突然觉得很安心 还好一切 ​​​ ...展开
如果每一个期待都落空 那就把期待杀死 去关注更值得被珍惜的东西 ​​​
约等于无 ​​​
大数据什么时候能放过我....不小心在抖音刷到一个流浪狗需要救助 就加进众筹群里了 结果出来后再一刷 全是同类型视频 各种奇形怪状瘦骨嶙峋的狗 太造孽了 ​​​
好难过
啊啊啊啊啊啊啊啊我许愿🙏
“语言是监狱，而人们喜欢坐牢”这句话真的很绝妙 沟通不是永远都成立不是永远都有用 对于言辞匮乏或者羞于表达感受的人来说 一个紧密有力的拥抱反而是最贴切也最直接的情感抒发 ​​​
心情 ​​​
好离奇 为什么我总是会被动卷入别人的是是非非里 明明跟我没啥关系啊！ ​​​
我的忍耐力好像只有0和100的界限 没有中间值 ​​​
好想搞几只清蒸大闸蟹一盆大头虾 看着电视怒吃一下午无所事事 ​​​
野口勇真的看多久都不会腻 ​​​
小孩儿狗 ​​​
记录孩子生日 又是一些憨图 ​​​
浑身乏力有点微烧 躺在被窝里昏昏沉沉地睡了俩小时 像回到了小时候 发烧了请假在家 虽然病着但被窝带来的安全感 还是让人感到幸福洋溢睡了一会儿挣扎着醒来去洗漱 感觉精力回来了一些 再躺下正巧收到朋友发来的消息 跟我共享自己此刻的幸福感受 而这种幸福又有我的参与 突然觉得我的幸福感又追加了次 ​​​ ...展开
永远的宫崎骏 ​​​
//@在也门钓鲑鱼://@欧洲文艺评论://@黑板报的水晶://@成都Show_:以后看到一定不占用！//@_Mr_13:确实不知道有这些知识点，以后看到一定不占用！
微失败一张 但没事 我会再回来的 ​​​
超绝天色 震撼发布☁️ ​​​
越质朴的文法越戳人 平铺直叙不加修饰却反而把生死的残酷更直接地摆上来了
好想认识直角三人组 真的太可爱了这仨人 尤其是艾瑞克 有种机灵小不懂感 ​​​
前同事发来在别人视频里刷到以前的我宝 有种自己孩子上电视的感觉 ​​​
拉拉裤 ​​​
喜欢小狗 也喜欢像小狗一样的人 ​​​
对于隐秘的“服从性测试”变得异常敏感是一种巨大的进步 ​​​
心情不好的时候就想把全世界骂个遍 平时能睁一眼闭一只眼的事全都想翻出来挨个儿怼🙄 ​​​
