薛之谦超话 始终eat不到薛之谦自修｜原图@薛之谦的小话筒 ​​​
薛之谦超话 来看一期主理人自修｜原图@DangerousPeople ​​​
薛之谦超话 “我会配得上 你廉价的门票”《凤毛麟角》mv自修 ​​​
薛之谦超话 下次再见面，是什么时候呢 ​​​
薛之谦超话 看 过了河 有美丽的繁星自修︱无水印 拿图吱 ​​​
薛之谦超话#薛之谦新歌# 我除了你，什么都没有自修︱无水印，拿图吱 ​​​
薛之谦是我听过也是念过最动听的名字了
谢谢你也来爱我！四巡见！
薛之谦超话旧时代画报上的人 温润如玉自修︱原图@奔赴万人现场 ​​​
薛之谦超话#薛之谦音乐缘计划# 节目里特别开心的🐷自修 ​​​
薛之谦超话˚♱‧⁺✭ ˚𝐊𝐢𝐥𝐥 𝐦𝐞 𝐨𝐫 𝐥𝐨𝐯𝐞 𝐦𝐞自修︱原图@薛之谦 @薛之谦的小话筒 ​​​
薛之谦超话▽我的船长 会带我去远航自修︱原图@薛之谦 @薛之谦的小话筒 ​​​
薛之谦超话「所有没有你的日子都有缺陷。」 自制 无水印 拿图吱 ​​​
薛之谦超话七夕快乐哦！@薛之谦 幸福快乐平安顺遂 ​​​
期待新歌
薛之谦超话#薛之谦小丑妆守村人# 何谓守村人？山海经所言；痴本智者，为守一方水土安宁，自丧一魂二魄转世为愚，除魑魅，荡魍魉，平阴阳，定五行，无人可比，无人能及。为守村人。 ​​​
薛之谦超话#薛之谦717生日快乐# 生日快乐！
薛之谦超话 生日快乐 ​​​
薛之谦超话#薛之谦李健合唱像风一样# ▽余热一把将我烧成了野火 ​​​
薛之谦超话三周年快乐
薛之谦超话 生日快乐#薛之谦717生日快乐# ​​​
薛之谦超话0717生日线上应援Part4️⃣▽红色是你的名字是酸甜的 小小的心跳芳香着均🉑免费自印🉑all自制🈲摸水印原图私 ​ ​​​
薛之谦超话#薛之谦717生日快乐# 生日快乐 ​​​
#薛之谦717生日快乐# 也试试
薛之谦超话#薛之谦717生日快乐# 生日快乐 ​​​
薛之谦超话0717生日线上应援Part3️⃣▽生日顺颂 且逢良辰均🉑免费自印🉑all自制🈲摸水印原图私 ​​​
薛之谦超话#薛之谦717生日快乐#“薛之谦，生日快乐”“常如愿，长少年” ​​​
薛之谦超话0717生日线上应援Part2️⃣▽天外来物 leaving soon均🉑免费自印🉑all自制🈲摸水印原图私 ​​​
薛之谦超话0717生日线上应援Part1️⃣▽18年 鸟巢归来均🉑免费自印🉑all自制🈲摸水印原图私 ​​​
薛之谦超话#薛之谦 总有条船不远万里# 人们把难言的爱 都埋入土壤里@薛之谦 自修｜图源@薛之谦 ​​​
520快乐
薛之谦超话#薛之谦告别厦门演唱会# 黑暗里，月亮落了地@薛之谦 自修｜抱图吱 图源@薛之谦 @薛之谦的小话筒 ​​​
厦门三天特别精彩！感谢你再次来到福建！记得一定要少吃海鲜收官之前有机会也可以来看看美丽的泉州身体为重，一定要照顾好自己！条件允许的情况下，我们多见见面吧！不用觉得亏欠，是我们离不开你 查看图片
薛之谦超话#薛之谦厦门# “彩带落下的瞬间我又多爱你一年”薛之谦“天外来物”厦门站线上个人应援：方卡set ×16想要自印可以私我原图致谢授权@薛之谦的小话筒 ​​​
薛之谦超话世间万般等待，我们见字如面 ​​​
薛之谦超话捧着花的少年 也是一个春天 ​​​
薛之谦超话存一个自制小卡✖️1『天外来物』『违背的青春』明信片✖️8 『念』『王子归来』『崇拜』『天外来物』『我好像在哪见过你』『野心』 ​​​
