神不知鬼不觉ooc了起来 ​​​
难吃得要死 臭烘烘的菠萝蜜 糖精稀烂凉糕 薄巧冰淇淋又是薄荷的那一半好吃 巧克力的那一半苦的要死 你直接一整个冰淇淋全做成薄荷的不行吗 我真的再也不买了 越来越难吃 ​​​
奥利奥风暴椰子糖 嗯跟名字一样的味道 奶盖有点旺仔牛奶的味道 可能我太饿了 两口喝完 ​​​
什么时候我要把看过的文都整理一下 但是以前没有记录的习惯不记得了都 ​​​
想起小时候的事 只有愤怒 想立马给他们几拳 ​​​
//@失眠狸:如果一只鹦鹉从出生就是孤身一鸟，没有其他鹦鹉可以交流，他就可能会更依赖人类来提供语言刺激和互动，从而促使他学习更多的单词。鹦鹉通不过镜像测试，他以为镜子里的鸟是其他有趣的同类，所以竭尽全力发挥他的语言天赋，试图社交，他不知道对方只是个永远不会回应的影子，他努力学会的 ...展开
我肚肚痛
@t0yy- 喜欢我的新机型吗 ​​​
椰子蛋好好吃 ​​​
想吃的东西一直拖着不买直到下架 ​​​
活着很无聊很无趣 ​​​
好烦躁我糙 不能细想 生活咋这么绝望 ​​​
秋冬格外喜欢听指弹 ​​​
语言是不通的 ​​​
啥意思 be啊 ​​​
我还挺喜欢这个房子的瓷砖的 厕所的地砖像薄荷冰块一样 墙砖是海浪 厨房的红蓝配色也特别复古特别搭 审美积累中 ​​​
看任何文 都很容易联想到一些记忆碎片 就是只言片语突然勾起我的回忆 非常相似的情境 ​​​
不是… ​​​
好尴尬呀 有没有体面点的情节 ​​​
对自己的认知真的不是很清晰 我也不太了解自己 量表真的有用吗 波动影响因素太多了吧 但是 ​​​
鲜味蚝油海鲜炒面王 还可以吧咸咸的海鲜味 没有昨天的好吃但是也还不错 有点葱油拌面的味道 为什么本来很撑的吃两口就脑子就忘记自己撑了只想继续吃完 ​​​
爆香麻辣味炒面王妈呀好吃死了 本来吃之前就撑了 结果吃两口只想继续。。面可能泡久了但是正好水润软烂Q弹 一点也不辣好香 我不行了吧 好像有点甜 我一直吃 ​​​
你们的夏天还好吗 你们的秋天冬天春天还好吗 ​​​
我不知道呀感觉像在做梦 是不是因为喝了茶的原因 ​​​
突然大雨 ​​​
有些书我都没看过 但是光听书名就让我想哭 像你的夏天还好吗 树犹如此 雨季不再来…还有什么一时想不起来 ​​​
我求女神填坑的时候 我说“来 往这儿 填坑”⚠️NO❗️❗️我说why not ？？她说这是不允许的！老坑是不可以填的然后跨软件我从评论区歘我自己咣追到人家主页她们说为什么你要做我说为什么不做？我是爱死你的读者啊！他们用一种很奇怪的眼睛看着你他们说你必须要在坑里呆着 这是规矩！我说唉 ​​​ ...展开
我脸皮怎么越来越薄了 去年还敢贴脸哀求挽留恭迎的 今年怕女神觉得我在骚扰压力她 虽然可能无人在意吧 但是万一她看到了觉得烦咋办 我以前是不是太没边界感了 打出一堆莫名其妙不恰当的胡言乱语的夸赞并且都直接艾特女神账号 我现在再也不敢了 怕女神一看发现狂热喜爱自己文字的读者是个蠢货 这怎么办  ​​​ ...展开
啊啊啊啊啊啊啊//@祝年年有余来:还有一个 查看图片 //@祝年年有余来:雨夜中，赵声阁的脸显得几分阴翳森然，如同地狱来使，高高在上，一字一句：“如果陈挽再犯，赵声阁就永远不会再开心如愿。 夜空中轰然响起一声巨雷，闪电将天空割得四分五裂，陈挽大惊失色，拼命地摇头。
想给女神当狗 女神你回来吧 ​​​
第一个笑容给到薄荷奶绿 ​​​
是否过了太久//@·無人区探測·:为什么还有我的事情？ 无人在意的角落有一个人永爱我……
薄巧能否解绑？痴情的巧克力啊请再等一世吧 ​​​
为何失眠 ​​​
我以后一定要在想喝奶茶的第一秒就点上 不然几十分钟后就是价格和糖分翻倍的雪糕面包水果 ​​​
我觉得我又可以看进去文了 捡起了半年前看了一半的三伏 ​​​
发现以前看过好多遍的文貌似是删减版 给我这个急的呀 给我绝望的 ​​​
想到以前看过的那些文，突然很难过，有种岁月流逝的淡淡的沉沉的忧伤 ​​​
两年半前的事情都像上辈子 ​​​
我真的再也不会吃hm的三文鱼了 每次都是一股腥味 想吐 但是又馋 只能搞很多酱油芥末来掩盖 真的受不了 每次都这样 真的想吐 好恶心 不是我每次都在忍受这个味道 每次都在重蹈覆辙 我也是有毛病 ​​​
又是薄荷奶绿宝姿 ​​​
看过的很多文已经想不起来具体她是怎么写的了 但是那些画面还留在我脑子里 有时候会突然想起一刻画面一种感觉 觉得很熟悉 应该是哪个作者描写过 那么生动那么深刻 但是我就是自己表达不出来 并且还恍惚竟然看过那样的文字 文字竟然还可以那样组合那样深刻生动地传递出 ​​​
玉生青提没加糖好难喝 ​​​
波动越来越小也越来越短 感觉没有那种强烈的持久的情绪了 哪怕是孤独和痛苦 不过也可能因为干扰我情绪的要么是激素要么是回忆 对这两者本来就无计可施 脑子大部分时候都很钝 只有情绪上头那一小会儿愿意动脑子 ​​​
