各位，168就让男人有压力了，别笑死我吧，男的对自己也太自卑了
我知我好难顶，其实你也好难顶，我希望我们一路顶住大家
建议嫁个这样的老公才是真
张杰超话请你们一起举报
你纵然带来地下的滋味，能否收回地上的滋味，有人唱胡不归                                           他的音乐会留下，我们会永远怀念他
很合理的诉求
一边看一边笑，乐疯了哈哈哈哈哈
//@除杰以外别无他爱:我一开始也以为会是，肯定会来啊这种话，没想到她们真的都好真诚，还有海璐姐的发言
回复@babyjulie201311:是的，不要相信男人的鬼话，什么男女平等，男人只要没有子宫，生不了孩子，不用承受生育代价和性生活代价就永远男女平等不了，这个世界就是不公平的//@babyjulie201311:回复@暖暖想养只猫:一万票赞同，血与泪的教训。希望女孩子们都自爱 矜贵。坚守原则和底线。分得清什么是男人 ...展开
回到了还不是毒妇的时候
他真的很温柔
是的
//@因为刚好遇见你zj:歌手第二季的回忆杀 当时高音震撼全场
回复@LaurA_Orm:我们失去了一个这么好这么纯粹的音乐人//@LaurA_Orm:我相信从华语音乐黄金时代成长起来的一代人都不能忽略方大同的名字，所以他的离开才会显得如此令人惋惜。他是我们这一代最有才华、最专注的音乐人之一，他的天赋和作品将会融入华语音乐的传承之中永远闪耀。
回复@热酒冰甜心:是啊，如果我是玫瑰，有幸遇到傅家明这样的灵魂伴侣，相知相爱过，陪他做过最想要完成的事，自己也已经有了女儿，此生已无憾，没什么可后悔的了//@热酒冰甜心:回复@茶叶桃子:因为马上就要走到生命的终结了，想用最后一点有限的时间，仅有的体力，去创造两个人能拥有的美好回忆，对于离 ...展开
真的最好看
这也太幸福了
图二好美
吓人
回复@hundreddouble:这个世界太疯狂//@hundreddouble:甚至觉得她跟lmd一样？？？？啊？？？？？？这个世界怎么了啊
骂得好爽
回复@麻辣美女_胡一菲:感觉她性格比较胡一菲//@麻辣美女_胡一菲:彪悍的人生不需要解释，成果这篇回复确实走心！
没错，内娱活人既视感，以前我也不怎么喜欢诸葛大力，甚至有点排斥，但现在觉得她好真实，就象生活在我们身边的人一样，有血有肉，有感情，对待朋友和恋人都是真心实意，实在忍得受不了了才发博控诉，反正我喜欢
回复@有一大罐桃酱:内娱总算出了个活人，诸葛大力不愧是爱情公寓的人//@有一大罐桃酱:靠谁懂本来因为演了个媚♂角色对她无感结果本人是如此的女王。。。
内娱活人
//@除杰以外别无他爱:也许点到为止是最好的
也许点到为止是最好的
唉
回复@扛起饼饼就跑:真的，特么的很多过得好的人都极其自私，反而很有责任感和道德感的都太为别人着想了，没那么自私，会顾及到每一个人//@扛起饼饼就跑:感觉世界上过的好的全是自私没良心的人，男女同理，我有个女性朋友生了孩子，平时都是母亲伺候，把她妈累的喝中药，她生完孩子一年才学会抱孩子和给 ...展开
回复@桃桃蜜柚少冰:你太棒了姐妹，骂的好爽//@桃桃蜜柚少冰:回复@拳打自由人:有的人他活了一辈子，自认为最有价值的东西是他有根把儿，因为不能像狗一样抬腿秀给异性看，所以他只能用言语脱裤子。
？
哈哈哈真的像猫猫舔毛
//@花衫花衫不是花衬衫:其实现实中很多人都是不得已认识的，我每次看她们一些观点我感到不舒服什么的也不好讲出来，但是每次上网我看到一些博主的博文我真的会恍然大悟，所以我一直都很感谢互联网，感谢互联网在我小小的青春时期给我树立了一个基本的成长观
啊？还需要排查吗？不是第一时间就知道是什么让自己不舒服了嘛
回复@仙女安利社:我也笑死了，因为这种事寻衅滋事，太可笑了//@仙女安利社:就这个不会开特斯拉门我笑了三遍
真的，好白月光
//@能不能一刀捅死我:花钱的不一定在乎 但是在乎的一定不会舍不得花钱
音乐才子
负责的医生
//@LeonaLeng:省流：没有大男子主义的命，还多了大男子主义的病
回复@绝多爱情已告吹:这么好的音乐人//@绝多爱情已告吹:回复@来一针剂:😭😭
谢谢你
祈求天地放过一双恋人，怕发生的永远别发生
//@除杰以外别无他爱:他那会好有棱角
我只希望他能健康，平安，快乐，别的都不重要，他就算以后不开演唱会我们时不时的能见到他就已经足够了
哇塞
唱呜哇嘡那个笑死我了
//@除杰以外别无他爱:为啥没锁门
只有真正到事上你才能明白到底谁对你好，谁是你的家人，心一定要放正，人真的会有报应一说，因果循环
多好
//@除杰以外别无他爱:睡眠质量是怎么测的？啥软件啊？厚被子真的有用，会给你很安心很舒服的感觉
张杰你   我这辈子羡慕死谢娜了
爽，我真的无法理解为什么女性不能共情女性，反而恶意这么大？
回复@ETSilenceQ:捍东确实渣//@ETSilenceQ:回复@我上去就是一咔嚓:电影里一开始捍东和蓝宇确实是交易，蓝宇没花捍东的钱都存起来了，他自己周末三个家教，放假去工地打工，都是自食其力来的。捍东确实说过“就是玩儿你”，但他冒险去找蓝宇时他的情感已经变化了。当然自始至终都是蓝宇爱得更多，他像一 ...展开
//@除杰以外别无他爱:我如果做了那种昧良心的销售，我会愧疚很久很久的，而且时不时的还会想起来的那种，觉得自己做错了，有些钱真的不能赚，行善事对自己对他人都是好的，至少不会难受，其实只是这个世界坏了，我们不要跟着一起坏就好了
典型恶臭男
大老师真的挺好
我也觉得变了好多
原来他也这样哈哈哈//@这世界--缺杰不可:太好了原来张杰也和我一样又想看又想拍所以眼睛完全不管手机拍什么哈哈哈哈哈
你知道我很少站男生那头
//@除杰以外别无他爱:真太恶心了，狗屎剧情//@毛毛头天天炸毛:牛逼，这破剧我是真不想刷到了
记住了
猴还真搞过乐队啊
//@Stephanie24X:之前乔欣说的那个 男的不喜欢那待在家里想要嫁入好人家的普通平凡女性  他们却想要把那些独立 闪光有能力的女性娶回家里 把她们困在家里给他们生孩子 真恶臭
//@除杰以外别无他爱:家欢有点身在福中不知福
太可怕了
你们要笑死我吗
而且他学那个校长讲话，明明那么好笑但他还一本正经，更好笑了，还铲腿，我一直记得那个铲腿
笑死我了
这话说的畅快，还是宋丹丹演戏好看，这气口
//@LAY我的小甜菜:图图确实更好看，作为一个零几年的动画片，他肯定有部分跟不上时代的地方。但我现在看来他仍有许多优点，故事是一家三口的成长。全家会鼓励张小丽重返工作，胡英俊从一开始啥都不会，但后面可以给小丽做饭，图图也可以勇敢的去寄宿学校。就算写和谐一家，也应该是这种，家人是相互付 ...展开
//@烟雨微凉行舟夜:男的结婚家里都欢天喜地的
回复@没sei了Free曼:都好可爱//@没sei了Free曼:大姐好可爱哈哈哈哈
哈哈哈哈哈
好像是
笑死我了
//@莺姀:回复@祝舟怀:我同事刚说你每个月工资够用么？我说我没结婚没孩子当然够啊然后她破防来了一句：你快结婚吧，生个孩子你就得好好上班了（不能有事就休息了），我说我又没疯。//@美朵coco:劝别人结婚的人都是自己过得不幸福
吃个瓜
//@除杰以外别无他爱:所谓的大女主作品也不过是为了迎合观众，带来流量的工具，并不是因为它们真的尊重女性//@rabjh-ry:作品是迎合大众的大女主爽文，现实却是不断被打压歧视的环境。。
我没这个主人公这么幸运，这么快就痊愈了
是的，如果真爱，别的都可以没关系一点
真太可怕了
//@除杰以外别无他爱:我抑郁，就这样
打了很多话，又感觉说什么都很无力
想吃那个像牛排一样的肉
//@除杰以外别无他爱:我在网上看到一个评论，说那些相亲就看物质条件然后就决定合不合适结婚的，说不好听的不就等同于mai吗//@薪资越来越高女士:我每次在朋友圈看见香香软软的美女配野兽，我都心碎，他最好是给你花了很多钱。不要说帅了，找一个身材五官气质正常的都不多。为下一代的颜值想过 ...展开
//@Always冲击炮:卤不要钱
这也太好看了
