发现自己可能真的是厌性无性恋或者无参与性恋那太好了不用纠结感情问题了 ​​​
金…铲…铲…不…准…玩…我在想喜欢这种攻击性游戏的话是不是该去学个拳击… ​​​
驯鹿宝贝这个剧本比我预期的写的好太多了虽然男主很惨也很坚强但是看他演讲那段我心情是哥们长得好像甲骨文老板啊！说话语调也莫名很像 幻如视了（） ​​​
饿哭小朴 ​​​
我最喜欢的一段是： 布兰度xxx的微博视频 ​​​
其实我感觉蝴蝶君结局其实很像白莲花度假村里那个黄热病白男的名台词…后者的台词大概是这样的，就是说他一直很喜欢娇小的亚洲女性所以天天约不同的，结果有一天他意识到自己可能不是喜欢亚洲女性，而是过于想成为一个亚洲女性，所以后面干脆自己穿女装假装自己是亚洲女性找别的男的⬆️他，同时雇一个 ​​​ ...展开
呵呵但是后半段囚车坦诚相见那段真是太带感了 ​​​
本来我感觉蝴蝶君可能很适合那种快节奏乱剪的 但是这个剧情实在是受不鸟了………….导演就这样每句台词都刻意讽刺了还有人磕 甚至还是国女在磕 到底在磕什么 😧 ​​​
到底是谁在磕 到底是谁在磕 到底是谁在磕 ​​​
蝴蝶君真的是爱情悲剧而不是zz幽默讽刺电影吗🤣久闻大名 刚看了前二十分钟 梗太密了卧槽 真的爆笑不得不说有时候搞不明白看色戒和蝴蝶君磕到cp的是什么心态 还都是女的 这两部电影本质上不都是在解构 尤其蝴蝶君都那么明显的讽刺了还磕 感觉跟看美国精神病人之后还觉得自己sigma的男的其实是一种人 ​​​ ...展开
努力克制自己戒掉金铲铲唉感觉这个游戏真的已经不是游戏了 随机到像老虎机一样 是用了什么赌博相关心理机制吧！不要把自己逼到一条玩家不像玩家 赌徒不像赌徒的路上.jpg ​​​
莫名其妙的玉玉了一整天 ​​​
笑死我了//@您拨打的用户已发财:啊啊啊啊啊啊啊啊啊啊啊啊铃铛//@零零壹贰0616hbzyh:我笑得好大声
现在观我推be like1942年戴笠：喔沈醉～没想到你还会装修～培训教的也好～侦查暗杀刺杀绑架设计的也不错～还会给我当保镖～沈醉：沈醉：咳咳 大家羡慕我吗？☺️不要太羡慕哦！毛人凤：发生什么了？刚刚在跟戴笠与美国海军中校梅乐斯谈判，达成中美特工合作。在忙着成立中美特种技术合作 ​​​ ...展开
既怜爱我推感觉更美强惨了 同时有点厌蠢症犯了就是有没有反应过来一个人既是你的大恩人，但其实在飞速提拔着你发展的同时，确实也从根本上，阻碍和限制了你很多上限呢？说“我与主人不过相互利用”的小狗，其实还是有那么点love blind了吧！而且在功德林能接触到那么多将军，其实也能 ​​​ ...展开
我觉得沈醉自己后面也反应过来了，因为他说唉黄埔系真是讨厌仗着军事履历怎么怎么但其实戴笠如果真的要这个人又培养他，先送他去黄埔进修下再回来也是可以的呀，去德国军校进修下再回来其实比黄埔更重视也说不定，其他人的例子也证明了完全是可以进修下再回军统的，但沈醉就直接被提溜去小地方 ​​​ ...展开
哦…其实想明白一个事情之后我并没有之前那么磕戴沈了，但是也磕…就是（非常个人的观点）之前从沈醉视角看，我确实磕的如痴如醉，觉得蒽就这样被捡回来这么宠溺和重视…完全忽略了其实沈醉毕竟初中毕业，虽然社会经验、实战经验特别多，人也特别聪明，但有的事情从戴笠的角度可能真的不是完全一回事… ​​​ ...展开
一切属于小乌鸦，但是永远的女神与老公是…洗心革面大人！\o/\o/\o/\o/
jojo4里的faith就像杀戮追踪里的killing me softly with his song一样 实在是点睛之笔 太绝了🎵特别喜欢这种曲调平静的情歌配恐怖场景的氛围…我一直觉得深夜港湾也特别适合配恐怖片/漫画/小说，比如描绘什么连环刀人案子时的分镜，画面一转深夜的出租车里放着这首歌，外面下着雨不断拍打着车窗，后 ​​​ ...展开
决战战损s王之巅 ​​​
呵呵被惩戒了 ​​​
刚好在刷到血色吉良吉影的时候听到： ​​​
其实我觉得反向思考可以把很多历史人物单个拿出来 看符合帽子工厂里的多少，这样说不定也能判断成功的⌚️男们大多是怎么做的😞✋🏻比如老好人、传话筒、小爬虫、皿煮派、不阁鸣、投降派好像很少在成功的表男身上出现…（哪怕公众形象属于偏老好人皿煮派的，本尊其实也不是，都各有各的厚黑，投降 ​​​ ...展开
已弃游 但是帽子工厂 ​​​
唉看说原来人死之前是真的会有走马灯的啊 而且未必是那种大事件走马灯 而是很小的自己都忘了的事情 看被在泰国推下悬崖濒死还生的那个孕妇接受访谈说 她看见的走马灯就是包括小时候的自己拿着五毛钱去买吃的 不禁又想起我推了不知道会不会有那个反应时间 想到小时候的自己饿肚子一类的… ​​​
所以说我推写的 身与名俱没 江河万古流 真是很好啊当你的人身安全与身后身前名誉都在阿美利卡的掌握之中时，要想追求江河万古流、永远能够留下的彻底自强的变数，其实就是要舍弃这些对虚无的名誉，甚至是自己的人身安全的追求呀，经济发展是被允许的、与所谓皿煮世界更绑定的 ​​​ ...展开
书接上回，也就是说biu掉朴子的，无论是来自情的金载圭、来自🌊🈳🦌的非哈纳会系，其实都是一样的。包括哈纳会再上，小将再上，其实不过是换个演员、换个既得利益者演同样的戏码。因为本身前面的正当合法性就只是一种虚幻的暗示，哪怕你看到再多实际的people和民调不满也只是一种很虚幻的东西 ​​​ ...展开
但我其实觉得其中最阴b但又很阳谋（阴b阳谋）的观点，就是因为那个也不是只写朴全卢，反正有个意思就是说比如朴，power来源：🦌（包括哈纳会）+情（金载圭等到处换的）。但其实必然，极端一点你可能🦌只重用哈纳会的（这就是小将的例子），不极端一点你其实对🌊🈳也会不那么重视，造成晋升速 ​​​ ...展开
写了又删，很怕被捉细节盒武器了但是最近读了一些我导写的东西（之前没读是因为我这个回避型+爱幻想+完美主义挺严重的，得不感兴趣了才有兴趣读、抛开幻想去了解这个人），包括观摩分析了下我导的风评和他本人可能是刻意这么做的目的。非常有趣的看到我导其实粗略分析过朴全卢，但是很多地方 ​​​ ...展开
[不好意思]其实开始觉得比如park和一类大人物的频繁小办，排除掉压力和好色，还有一种可能是每天处理的东西都很曲高和寡，比较反本能且充满了不确定性，这种带来的低落感可能需要一些极致低俗、符合动物本能、确切的东西来带来一些安心感。当你为所谓你的种族的未来的大规模繁衍而感到焦虑时，个人的拟 ​​​ ...展开
唉
