。。
吃了点辣的凉的就吃坏肚子了我恨 ​​​
丫的都别活了 ​​​
#奔跑吧13官宣#该来的不来 不该来的乱来 ​​​
精神状态是见到人多就想s人，天天要么失眠要么惊醒，想打穿这个世界 ​​​
第一次为了男人彻夜流泪 竟然是因为俩男人的爱情 ​​​
我无药可救了 大半夜梦到大到暴雪里的wybxz哭着醒过来 ​​​
我希望你们真的相爱 永远相爱
我没救了 ​​​
你好你坏我都在啊还是你好你坏我都爱啊这句话是谁说的啊最近脑子里一直是这句话 ​​​
我超 本来觉得文里wyb纯渣攻 再破镜重圆也圆不了 在看到结局之前设想了一百种狗血的结尾 心想就不过如此 没想到最后是远远超出我认知外的 因为其实我打心底想的是爱他 舍弃他 拆散他和别人 杀掉他的爱人 给自己套上高维生物的外壳 这怎么原谅 谁能忘记过去一切包容他 如果他们破镜重圆那阿泽怎 ​​​ ...展开
 ​​​
一坨屎里找到了一点糖 ​​​
我的同担 如果你再喂我吃屎 那么你就和摩虾一起滚蛋
妈的 每次一问博肖同人文就给我推大到暴雪 说虐虐虐 看了五分之四了 是流了不少眼泪 但是越看越像穿进去给他们一人一巴掌 气得我 ​​​
肖战王一博你俩只管生不管养啊我恨你俩 天天靠着点玻璃碴子里的糖和同人文续命我要恨死你俩了 ​​​
真给自己气笑了 来图书馆想学会习 看博肖同人文 哭了一个多小时 习没学得了 眼睛哭肿了 ​​​
我笑死了 这个粉圈 有一种倔强又搞笑的无力感 ​​​
原来爆火的代价是永不同台 你俩天天镜头后腻歪爽了 我们王八的命不是命吗 有本事再给我互动一个啊。 ​​​
早就这样不得了嘛 ​​​
完完全全的xql啊…
谢谢妈咪！！！！
以前生个病发个烧嗑一下碰一下恨不得发一百条动态让全世界都知道来关心我 后来发现0人在意再也不发了 我被生活彻底毒哑了行了吧 ​​​
 ​​​
本来要点外卖看到食堂有这个火速出动 ​​​
已经到了喝完酒难受的睡不着 第二天需要喝粥 吃完烤肉蟹黄面胃不消化的地步了 感受到自己身体一点点变弱 我平时说别太健康了只是说说而已。我说现在胃口这么不好让我暴瘦二十斤怎么了 ​​​
有的时候真的想就是平等地坐在他面前 不是演唱会那种他在台上我在台下 也不是机场或者横店人挤人的时候 就是像朋友一样可以坐下来聊聊 我真的很想以他们的朋友的角度或者角色去问问他们“你为什么喜欢一个人”我真的好想听听他们到底是怎么说的 ​​​
为一人而遁红尘 人去我亦去 此身不留尘 ​​​
我想问一下 我之前磕cp都是知道两个人是假的态度是我磕cp可以 你俩是真gay？不行 但是bjyx我是打心底认可他们是真的 如果有一天告诉我他们不是真的我会原地崩溃的那种 就是我可以不磕 但你俩必须是真的。你们对bjyx是什么态度啊 是像我之前那样的还是像我现在这样的 我好怕就我自己一个人认为他俩是真 ​​​ ...展开
欲语泪先流
喝这么多酒的结果就是 半夜胃难受涨醒 想吐又吐不出来 鼻腔口腔都是酒味还不如直接喝到吐还好受一点 ​​​
好像看到过原视频
看得爽爽的
光看就流泪的地步
为什么今天发啊 为什么3.14发啊 好难猜啊
#蜜雪冰城鲜果切片常温过夜后继续用#全部降价一块钱 我装失忆 ​​​
爱恨此消彼长 ​​​
我擦
可爱死啦 这样的我一口一个 （丸子头里插的是什么！！此女又在暗戳戳卖萌
说得太好了永远在一起一直一直不分开
#杨幂头像库更新#嘿嘿一觉醒来 超高能量的头像谁会不喜欢 ​​​
#肖战 谍报上不封顶#期待 ​​​
不要再往后看了向前走，王一博no，该向前走的人是我，你和王一博都要记得往回看一定要记得往回看 ​​​
走投无路啊 无路可走啊 ​​​
#张峻豪个人演唱会官宣#算了原谅你了 苦尽甘来了小顺顺 珍惜当下珍惜以后感激过去 珍惜每一个爱你的人 不要再让他们失望了 大明星向前走吧 那段时间我也指责过你了 过去的就让它过去吧 现在我祝福你 发自内心的祝福你@张峻豪 ​​​
你们相爱我就在啊 你们相爱我就在啊 你们相爱我就在啊 你们相爱我就在啊 ​​​
我是个频繁流眼泪的女孩 长大好难 ​​​
就是啊 看了博君一肖才知道 恋爱怎么可能和谁谈都一样啊 谁会爱你超过爱自己啊 谁会因为你多吃了一口饭说自己赚到了 谁会在你生病了急忙放下手里的工作跨越那么远的距离去见你去照顾你 谁会在你想见他的时候开车十几个小时不休息去找你 谁会读懂你说的反话告诉你让你安心让你休息他会一直 ​​​ ...展开
第一次试 不知道可不可以～杨幂超话 ​​​
服了自己了 想做数学建模作业 结果打开电脑把c盘清了二十多个G ​​​
emmm我感觉我完全可以当大粉啊 谁愿意把号交给我运营 我会发洗脑包 擅长引导粉圈 发微博频繁 熟悉粉圈生态 不怕挨骂强心脏 到底谁愿意 ​​​
朝廷的赈灾粮下来啦 ​​​
宝宝宝宝去巴黎都发生了什么呀 有没有好玩的事情分享啊 累不累啊 要记得好好休息哦 宝宝状态超棒美美嘟美美嘟 记得春天来了多喝水多护肤！！爱你爱你
爱人永恒
#哪吒2离150亿只差1亿#恰恰弥补了动漫届没有胖猫的这一个遗憾 ​​​
#杨幂ccd镜头#巴黎时装周就得靠杨幂啊……没有这个杨幂内娱你们怎么办啊…… ​​​
夏末是比谁更土吗
对 就这么宣传我们
我最爱当牛马了 ​​​
你们一定要代替我们 陪在彼此身边 ​​​
#宋继扬王皓轩公开恋情#🐎一个 回去考古 ​​​
