我正在#WMA微博音乐盛典#推荐年度歌曲「Pleasure」，快来一起参与吧！ WMA微博音乐盛典年度榜单
海上交通安全培训，从5米跳下去感觉自己还蛮猛的! ​​​
有一种忐忑，但是我报销一直下不来，就很烦 ​​​
都下来了，结束了，开始干活了 ​​​
在空闲的时候就会瞎想，突然泛起阵阵回忆，我在一个时期爱听一某首歌的状态，仿佛是节点，为我一段段记忆分段，这六年起起伏伏像是不同的风格歌曲切换。相比音乐的婉转曲折，同样伴随这六年的阅读，确像初登小山，望深谷与高山，知觉愚昧，跃进深谷，寻找登高之路。这两样东西伴随我不断成长。 ​​​
新手机！ ​​​
  ​​​
  ​​​
牛逼，勒芒冠军🏆
教主牛逼！
开6分钟车，我花了200万！！！  ​​​
或许我的心态有问题，不知有种无力，自己把自己坑了，真是令人无语啊 ​​​
#深夜树洞# ​​​
破防了被老友破防了，我今年还要去看她，还要给她寄生日礼物，希望她安好 ​​​
这莱尼莎可没退环境，无敌配合抽二
这段时间是属于我的幸运时刻，公司安排培训考证（且承担交通和餐饭），考证期间无其他工作安排还有工资拿。工作时，每天八小时且双休，如梦如幻。考证培训时利用通勤时间，穿行在天津这座城市的第二立面，周末还能去看海，如此惬意 ​​​
致三十岁的自己今年即将23岁了，已无多少时日可以蹉跎，只是回望去年精彩的一年，我依然希望今后的7年如旧年般绚烂，还发现了自己的热爱，我想看更多现场的足球比赛，我想去探索一个城市的第二立面，保留我的热情，它最终会让自己学会热爱生活。在工作后该休息时，却依然不断行走，只为让人生足够充 ​​​ ...展开
于汉超牛逼！ ​​​
准备出发天津有点期待了，还能有时间看天津津门虎的比赛！有点期待了，只是去年在上海看的申花绝杀津门虎，。奇妙的缘分 ​​​
等着过年了！ ​​​
#体育大赏# 祝贺 @上海申花足球俱乐部  获奖，共同见证体育年度荣誉时刻！
分享图片 ​​​
期待新专辑！！！！
蔡姐新专辑！！！！！！
 这是非虚构写作，第一次写这么长的，可能有点匠气，不过是最近真实的表达。 ​​​
赛刊！
总是粗浅的接触，冠以探索之名，走走停停从未驻足深挖，自己将自己迷惑了。 ​​​
1
又翻到这本书了，难得这么充裕的时间，我也该再读读书了。 ​​​
上海申花超话申花的氛围太好了！作为一个路人完全的融入进去了，在第八十二分钟于汉超替补登场那一刻球迷们疯狂的呐喊。88分钟皮球入网一时刻。我与其他球迷一样，从凳子上猛一下站起来，一起呐喊于汉超！在欢呼中迎来绝杀！又是于汉超！梅开二度绝杀。全场彻底沸腾！今夜注定难忘！我好爱足球！ ​​​
截至今日，steam好评排名榜一和倒一的都是我们国产游戏，且都是四大名著衍生作 ​​​。#黑神话悟空#好评第一，《三国杀》倒数第一 ​​​
感谢我的张老师！ ​​​
愿走出泥潭 ​​​
看完，爱在黎明破晓前，有一种轮回再现的感觉，当这有趣的经历也不相同，言语和讨论以及那种热烈的情绪，现在想不再感伤而是精彩人生的一篇，我和她不会有第二部第三部。电影中原话，你十年二十年以后你已经结婚了，但是你的婚姻已经没有了当时的激情，你开始责怪你的丈夫，你开始回想你曾经遇到的所有 ​​​ ...展开
《超脱》忧郁的的风格下讲述男主，作为代课老师1个月发生的一切。他仅仅作为代课老师这样一个临时人员，却却愿意了解学生鼓励同学们学习。感谢我一路上遇到不止一个这样的老师。当然一切不学习的原因，不是一个老师可以解决的。但是那些勉励，和同你沟通是真的。它触动了我，我去做了很多事情，改变着 ​​​ ...展开
分享图片  ​​​
龙哥多恰
加宝加油！
苏州游！ ​​​
留个ip过段时间再来 ​​​
关于学校的考试，可能在今天以后就告一段落了，不知我未来会不会考研 ​​​
今天好多人过生日，只有躯壳长大的感觉，在一晚的放肆中享受当下，而又依然要面对接下来的困惑与忧虑。今我故我同为一人，并不使我难为情——米沃尔《礼物》 ​​​
我为昨晚做的决定，感到高兴，这会是一个好的开始。不会再有这样人来攫取我的精神能量了。 ​​​
我必须克制心里的拯救者的角色，但是我却很想靠近她，给予一些安抚，而这会是种侵扰，所以我只能克制，我不能入侵她的生活，却又只能远远地看着她在受苦 ​​​
好帅啊
一篇随笔和阅读碎片，碎片1是懒惰，碎片2是礼佛，来自佛法的解释。碎片4是古希腊哲学中两派的介绍。碎片3在发之前，我想起和这本书相关的纪录片，一位川西的僧人，在外游学后回到川西建了一座图书馆。昨天是世界读书日。 ​​​
