家有两宝儿 ​​​
最后麦子熟了，却成了一株空麦壳 ​​​
中午带上AirPods pro3 啥声音都听不见 从十二点半睡到四点半 ​​​
全天然美女就是牛
就是特别喜欢无印良品的东西 ​​​
我本科就关注的几家武夷山民宿现在在被挂在小红书上避雷，破房子整点文艺的装修一个晚上三千多怎么敢的捏 ​​​
已删掉大部分同门、师弟师妹们和研究生同学还不够舒服，直接把微信卸载了讨厌信息过载 ​​​
兔说：请不要骚扰你的室友！没有给摸的义务！ ​​​
我的咖啡饼子第一次成型了 ​​​
好消息：pro3可以把邻居打豆浆声音盖住坏消息：有底噪像下雨声🌧️ 闹钟直接在耳机里响了把我吓醒我的bose可能是时间有点久了降噪也老化了 谁懂我之前被吵醒带上bose还听得见豆浆机嘤嘤嘤嘤嘤的声音有多烦 ​​​
我初升高的时候家里就切断了电视信号 十几年都是只有春晚才能看电视 现在我的小房间又有电视了 洗完澡躺床上看电视 ​​​
星巴克杯子买一送一我买不买 ​​​
都说AirPodspro3戴上像聋了一样 对我没什么效果 有没有什么办法在不伤害身体的情况下听力差一点 ​​​
抱着xx主义去看好东西会大失望 拍的什么东西啊PPT电影 ​​​
兔孩子又开始掉毛了 幸好我不对兔毛过敏 ​​​
我可以一分钟内喝掉大杯的奶茶 只要我的嘴巴接触到吸管就自动狂吸 这是小初的时候每天必须带一盒牛奶去上学 必须在一个课间内喝光留下的创伤😢 ​​​
原来磨豆机还要归零 我都是随缘开始磨怪不得那么难喝 ​​​
学文字学学的：
为什么房子不能在拼多多上买 ​​​
我囤货的樱花水到底去哪了 日上现在没货了还
我们老福建人从小就有这种生活经验
每天仅有的一点乐趣就是骚扰兔“噫，吃着咧？” ​​​
分享图片 ​​​
无论我流多少痛苦的眼泪 无论我多么激烈的喊叫 一切都不会有任何变化 我有些累了 我现在只是这样平静地坐着 感受着眼泪呼之欲出 痛苦的回忆在我脑海里翻滚 我没有任何表情 ​​​
