檀健次超话#檀健次 商务大片#芬迪晚宴@MIC檀健次JC-T 一张伟大的脸 ​​​
檀健次超话#檀健次新剧 杀青##檀健次 剧抛脸##檀健次 广西老表标配#  jct #檀健次震耳欲聋#檀健次有着对事业的纯粹热爱，不管是唱跳舞台上的光芒万丈，还是影视剧中的角色塑造，都全力以赴。 在《猎罪图鉴》里，他用细腻演技让沈翊深入人心； 为《震耳欲聋》，他日夜苦练手语，只为真实演绎聋人世 ​​​ ...展开
檀健次超话#檀健次 天才演技# 震耳欲聋 期待大哥的新电影#天才演技 内娱全能艺人。为自己是小炭火而骄傲。（以前，我为自己是中国人我骄傲！现在要附加一句，我为自己是小炭火而骄傲！） ​​​
檀健次超话#檀健次 天才演技#震耳欲聋杀青大哥返京啦！期待电影早日上线，期待二巡来武汉😊@MIC檀健次JC-T ​​​
檀健次超话##檀健次 沈翊#我会千次 万次 千千万万次奔向你  我的大明星@MIC檀健次JC-T ​​​
檀健次超话#檀健次 成电影节评委了##檀健次 成电影节评委##檀健次 舞台#哥哥闷声干大事 ​​​
期待啊宝宝。闷声干大事
檀健次真爱粉检验来啦！ 挑战猜歌赢檀健次惊喜周边&gt;&gt; 网页链接 @QQ音乐 ​​​
檀健次超话 我的宝来空降啦，发出爱的表白~ 哥哥翻我 ​​​
暂别唐奇  爱大哥的每一面   幸福多  见面多
滤镜大爆檀健次超话 我投给了“滤镜”~
檀健次四方馆
檀健次猎罪图鉴
投票檀健次滤镜
大哥大哥 爱你爱你
我在#星品影响力#被这个好物成功圈粉，迫不及待要入手啦！赶快也来pick你的心动选择吧～星品影响力
檀健次。 永远的檀健次
