#BTS世巡演唱会预计观众将达400万#……我真求求了 ​​​
八点五十上完最后一节课 挑战最晚放假 ​​​
好乖啊//@我就是为弹爆肝的人吗:宝宝宝宝//@雾屿叽哼:🥺🥺
好有感觉！
怕我们今天偷溜导员已经要全天监视我们了 下课都要点名 ​​​
啊啊啊啊啊啊我不行了//@xxxxy_13:啊啊啊啊啊啊啊xswl
套叔叔们今年去mama大杀四方吧 ​​​
#朴智旻金发#这是谁的橙光男主跑出来了 ​​​
本来就是啊//@树莓姜果:套粉想要的哪个没得到//@菠萝包有只猫:本来的事//@涩纯-:我要开始争了//@极品人叽:你们继续又争又抢呢//@苹果子意_:这个嫩套深得我心//@桃子脆了没:又争又抢//@irpitlots:我想要我得到//@天才赞赞赞-:闺蜜我们又争又抢吧
状态这么好
七套这个回春速度根本不知道拿什么输 ​​​
学习通抢答都抢不到 我还抢什么原价票 ​​​
#闵玧其天才制作人#
这张真的太迷人了吧！谁懂！越看越喜欢 我要和你们不喜欢胡茬的人拼了！怎么忍心批评的！ ​​​
是的
帅帅的很安心
#朴智旻1013生日快乐# //@SSICK破碎版:#朴智旻1013生日快乐# 
望周知 听不懂我说的话不是我说话无厘头 是你的大脑跟不上 别想pua我 ​​​
朋友圈不许回家了 学长学姐不准拉着行李箱在我眼前出现了 我真的会忍不住翘课 我明天晚上八点五十才上完最后一节课 ​​​
被tata装到了
#金泰亨为爱而生# 童话一样的性格值得最纯粹的爱意 感性是他的天赋不是他的缺陷
#金泰亨澄清# //@你也没有心脏吗:#金泰亨澄清# //@锈色情书:#金泰亨澄清# //@泥桢蔻门:#金泰亨澄清# //@VanceMedici:#金泰亨澄清# #金泰亨澄清#
家人们觉得我国庆去看花样年华终场还要化妆吗 我感觉自己会哭成狗 ​​​
光顾着回宿舍吃饭了 喝的芋圆奶茶拿成细吸管了 ​​​
上了一节拆腻子空服 已经预感到期末要挂掉了 ​​​
妈呀美死我了
每天不知道自己在忙些什么
该死的王者荣耀再敢给我匹配些超雄男呢 ​​​
一开降噪感觉这个世界美了 ​​​
预感
课上在做证件照排版 老师说每届都有拿这个帅哥做作业的 ​​​
我排队 他做饭 我回宿舍吃饭 他做完饭吃饭 开着直播像在我对面吃饭一样 ​​​
爱自己
早八 水课 耳机 此局怎破 ​​​
要睡觉了脑子开始攻击我了 不是他到底啥意思啊我服了 为什么要打破我平静的生活 ​​​
明天满课 你们谁来哄哄我 ​​​
刚开学就穿成这样去晚自习了 ​​​
别搞我这个纯情小女孩了 ​​​
为什么我今天晚上有晚自习 为什么我调休补的是满课的周二 为什么谁能告诉我为什么 ​​​
男朋友 ​​​
刚梦到我去小韩了 在馆里看着闵玧其的海报 下一秒闵玧其就出现在我的眼前唱歌首尔病给我梦出来了 ​​​
//@安迪沃何尔:浪漫无处消磨 无聊伴着生活
//@TruancyBoy:和好//@吸猪病:请复婚
#张元英女五一# #金泰亨kpop永一#
老婆
十月一去看小桃线下观影 太腼腆了一个搭子都没勾搭着 怎么办吧 ​​​
卧槽 周末一觉睡到十一点 这个宿舍来对了 ​​​
好牛的脸
#张元英 金泰亨#
别班导员在发音乐节座位表 我们导员在给我们临时加晚自习 ​​​
这个空调就这样捉弄我 我就这样捉弄舍友 定时两晚上 没有一晚上是关了的 ​​​
草
赞了
我真的以为上了学我可以戒掉熬夜 谁知道全宿舍夜猫子 大家就一起开着灯一起熬夜 ​​​
我不是讨厌早八早十 我只是讨厌起床 ​​​
冒着闭环异常的风险在下大雨的大晚上等了半个小时拿蛋糕给舍友庆生 感觉自己灵魂要被淋出壳了 准备睡觉看了眼天气预报发现还下雨 我只觉得崩溃 体验了久违的浪漫雨夜还是发现我是真的很讨厌下雨 ​​​
😅😅//@溜达大豚鼠:贤妻扶我凌云志，我夸自己真励志
军训方队选好了 呼呼睡三天大觉 ​​​
我即将回家改善生话
好幸福好幸福好幸福好幸福
当屌丝当多之后发现幸福原来如此简单 自己嘻嘻哈哈逗的周围嘻嘻哈哈 倒霉了也嘻嘻哈哈之后整个世界也嘻嘻哈哈起来了 ​​​
看到最后也是只能说出一句为什么要变成这样 这也是无解的难题
谁说世界上没有无解的难题的//@IKliyyy:不行我要玩手机
2025.09.15我确认我还没走出背着善宰跑 最近看第一集又多了些别的感触 ​​​
这些奇怪的瞬间怎么解释 好几次在线上刚在聊天的朋友转眼我们都会毫无防备的在线下意外碰面 ​​​
回学校偏偏跟讨厌的女生碰一起了 然后我们两个体面的聊了一路😅 ​​​
一个妈怎么生出两种画风的 ​​​
让同学帮忙捎了两次东西一直没拿 呜明明是我让她帮忙 今天去找在打工的她 又是花钱请吃冰激凌又偷偷在袋子里塞了小蛋糕 怎么总有一些小惊喜 宝宝们你们真的是天使吧🥹 ​​​
再不给我匹配点正常人我杀掉你 现在王者局没正常人了吗我请问@王者荣耀  ​​​
photoism你好贵。好鸡肋。 ​​​
上天呀 请让幸福降临在所有善良的小女孩身上吧回学校拿档案 和同桌遇到了 收到了她一针一线缝的香囊呜呜呜真的好感动 这个世界没女孩子不行 好想和她们一直在一个学校 ​​​
一群嚷我是女的不爱男难道我还爱女吗 我不媚男还媚女吗的人真是脑子被💩糊住了 ​​​
？能说吗大半年过去了我才发现自己掉v了 虽然不常用…… ​​​
谁贴过大王扇 谁能告诉我该怎么选钻 ​​​
美的好随意
元气小狗
这个emoji就是很可爱欸🥺
分享图片 ​​​
买噶
你问我什么时候最紧张 跟随跳伞的队友次次跳p城的时候最紧张 ​​​
在朋友身边站一天了 每次她们都反应不过来我是谁为什么要站她们旁边 ​​​
欧尼🥺
辣妹爆改成功✅ ​​​
想要和别人制造羁绊 就要承担掉眼泪的风险
头发卷完之后怎么会这么毛燥啊 我服 ​​​
