蒽
其实我是一个很需要ddl的人 我是说给我一个明确的时间点我就可以完成任务 但是也不说什么时候需要我就会不知道什么时候开始 这件事情一直悬而未决很烦很影响心情！ ​​​
怀揣着希望就这样活下去吧！
明天见 ​​​
此生最拼尽全力无法战胜的就是困和数学饿了可以不吃饭 但是我不能不睡饱 不睡饱我会非常心疼我自己 头晕眼花 对做什么都没兴趣所以高中的时候困了我从来不想着提神 至今没有对咖啡和风油精免疫 而是想方设法、厚颜无耻、堂而皇之地打瞌睡困了就是要睡觉！这是人的天性！ ​​​
妈呀我二十二岁啦～我二十二岁啦～生日快乐！ ​​​
因为老是四五点睡觉被男朋友训了“那你到时候回学校怎么办 我又看不了你”一定早睡T-T认真地立flag了 ​​​
我弟再这样贪污买菜钱我就要瘦成80多斤了（虽然吃饭的不能骂做饭的 但是有些时候真的饿得头晕啊睡不着 虽然很累 所以爬起来了嗯就这样被赶鸭子上架地做事情 ​​​
#永远永远幸福#
我就这样安慰我自己呀！
真正的猪精来啦！一顿饭吃了三次还没吃完 每吃一会就累得要上床躺一会 然后再下去吃 ​​​
我的食欲在夜晚一两点左右达到顶峰 然后逐渐消退 ​​​
轉發微博
没关系的 容易掉眼泪也是你的可爱之处嘴上说着没关系的我接受我是个笨蛋我是个蠢猪 还是会忍不住偷偷哭（我以前到底是怎么做到对一切考试都满不在乎的…但是著名心理学家DeepSeek老师说 有这种感觉是成长的征兆无论如何谢谢老天爷老天奶 谢谢我的可爱的三个考官老师大人没有秩序敏感期！允许一切 ​​​ ...展开
做懒鬼的好处是偶尔勤奋（？）一点点就会被夸我：今天十二点前起床了npy：今天是很勤奋的小猪 起这么早去哪里玩 ​​​
分享Ashley Alisha的单曲《Clues》网页链接 (@网易云音乐) ​​​
毕业快乐大家谢谢你们 ​​​
浑身上下最敏感的其实是我的睡眠系统沾一咪咪咖啡因就会刚正不阿地失眠已被剥夺咖啡奶茶权终身 ​​​
有时候看到教育学史的内容觉得特别特别感动有人懂吗 就是觉得他们好厉害好伟大孔子 杨贤江 晏阳初…然后脑子里蹦出科学性和思想性相结合这几个字 ​​​
翻到很久之前拍的照片第一句就是男朋友写的 即使当时我们完全不熟 像是一个预言在我的悲伤过后的一个超级彩蛋我总是在讲我有多喜欢你 你有多好 我有多开心在你看得到的看不到的地方 对着别人对着你对着我自己我没有办法比较“理性”地看待你 我就是觉得你特别棒 你可以做到你想要的一切即使不能 ​​​ ...展开
好饿呀为什么这么容易饿 ​​​
好累奥 好累奥 ​​​
码
改签5次终于跟男朋友换到一起 呵呵此女有的是力气和手段原本都打算好一直试到24号出发为止了ps：高铁票没分到一起可以按改签 每天可以试三次直到看到想要的车厢和座位再按确定改签 ​​​
很喜欢听男朋友讲话我从来没有这么像一个小女孩 每天都哎呀哎呀地撒娇 然后听他笑 问我“又哎呀什么”“怎么了”感到无比安全安心 于是像对我的朋友一样讲我脑子里冒出来的每一个怪念头 分享遇到的一切 deep talk和八卦都能聊到早上五点钟 聊到两个人困到睡着 身体有点问题马上陪我去看医生 教我怎么 ​​​ ...展开
金台寺 澳门的圣诞节 猫咖 打双人成行等你考完试一起去玩 在这之前我就勉强当个懂事女朋友好了 ​​​
轉發微博
天啊可是我真的太幸福我一直觉得“被看见”这件事情近似于爱 真的会有人看我的收藏夹 我写的长长的无聊的碎碎念 pms时期阴暗的不快乐的 他却称为“很可爱”的文字 听我喜欢的歌（歌单跟我非常相似！）好奇我每一个怪癖 例如为什么喜欢在大半夜吃冷饭 记得我随口一提的想去的地方想做的事情 参与到我喜 ​​​ ...展开
好吃
是这样//@人的心灵可没那么灵巧:经历过的人真的会懂，当时那个人说的话只是一时心软或者在那一刻属于过去的幽灵重新回到了这个身体，短暂而不可捉摸，而就是这么一会儿真的觉得还有可能、还有以后。而当一切都彻底冷却之后他会发现你也会发现，这段关系已经行至陌路了。
挺喜欢最近的生活状态但是太平淡了我又会感到无聊我真难伺候啊 ​​​
我的一辈子
喜欢你🫶
我是幸福主义者 没兴趣沉浸在痛苦之中 ​​​
爱是天时地利的迷信 是塔罗牌的支付记录 ​​​
很奇妙的感觉 再想起对方的时候没有恨 尽管对方有对不起我的地方 只是觉得内心很平静 甚至想到以前的一些事情还是觉得很可爱的 “那时候真好呐” 这样的感觉 但是我并不想回到过去 也不想再回到那个人身边
喜欢说想见我就真的会计划来见我的人喜欢行为比语言更直接的人喜欢嘴硬心软的人喜欢会阅读我的动态 听我的歌单 在意我的心情把我当小孩惯的人胃里觉得很温暖 我每天睡醒都很开心 ​​​
嘿嘿 ​​​
3-23 9-3 3-3 ​​​
拍寫真！好好玩！ ​​​
轉發微博
根据我的微博  判断我的MBTI@MBTI小行家 ​​​
亲亲 ​​​
#女主对此感到厌烦# 在我心里算神作。很少有这么可读又有意义又不会让我觉得在说教的作品，虽然不够深邃（这本来也不是一两本书就能说明白的事情），但入门性和启蒙性强，女性或多或少会有共鸣。她们的对话总是引发我的思考，去关注一些不合理的“常态”，同时让我发现自身认识的不足，说实话我常常 ​​​ ...展开
希望我永远幸福 ​​​
