同学你他妈少装 ​​​
五十问这副为了让粉丝开心故意玩梗的样子让我觉得他好惨 ​​​
演都不演了
我可能是没办法真心实意对现生同学的 即使算得上是朋友 我就是会很轻易看到这个人的本质特性 好的坏的我都不否认 但也不想跟他们更进一步 ​​​
看得能幼稚和无视文他俩吵架冷战 气氛微妙的剧情让我爽爽的 ​​​
在学校没有喜欢的人又没有特别好的朋友我好可怜啊 ​​​
每次请假到这个点就会有些烦躁 一想到明天还得去学校就好绝望 求放过 ​​​
恋恋脸也太小了
吴是温你好事做尽 ​​​
陪你从人人喊打到人人喊杀
好事轮不到我 坏事把我轮了 ​​​
我最近是真水逆 运气差到没边 帮别人看真假 一手滑把自己的卡搞出瑕了 ​​​
中午吃的炒河粉 没两口就饱了。。 ​​​
好幸福好幸福 跟妈妈一起吃了草莓蛋糕 ​​​
出演倒霉熊的出场费在哪 ​​​
直接请假请一天我受不了了 班主任快讨厌死我了 ​​​
我操十点多了劳资刚醒这下真的命运多舛了 ​​​
又要默写那个死英语 不想背不想默 英语从出生就不好惹谁了 ​​​
烦死了我不要上学。。。 ​​​
睡不着的时候 我不数羊也不数星星 我数人生里的错误 ​​​
那段关系是我的错也是z的错 我们好像都没错 又好像只有我错了 就算后来我不太懂z为什么从好的高中选择到了和我一个高中 原来是可以进实验班 开学她被分到了实验班我在平行班 我们成绩上的差异一直都挺明显的 后来我试图窥探z的生活 但我们就像是完全不认识的陌生人 一点痕迹都搜刮不到 我只能看到优秀 ​​​ ...展开
z是我对于朋友这个观念的一个启蒙 是我真心想付出对待的一个人 也是真正意义上明面上断交的一个人 其实那一天我哭了好久 我那段时间每天晚上都做梦 每天晚上都会梦到z 网上说梦到一个人很多次代表缘分也快尽了 ​​​
我人生中犯过很多错 做过很多后悔的事 但对我影响最大的 我一直埋藏在心底的 是关乎初中的一个以前的朋友z 或许这个朋友只是相对于我而言 我不知道她有没有把我当做过朋友 我不敢评估我在她心中的份量 ​​​
我有时候会很纳闷人与人之间的缘分是如何的 为什么关乎我的缘分经过一段时间就断了 就算是小学最好的朋友一样 小学毕业后竟然就默契的再也没联系过 那说句实话 初中我还真没交上非常非常好的朋友 都是泛泛之交 高中之前遇上了算是比较好的朋友 但最近感情出现了一些困境 我们彼此好像都不愿意向前迈出 ​​​ ...展开
l和d考上的高中也不一样 我没想到的是 看了一眼l的朋友圈 他俩竟然还有着联系 其实不止他俩 和我初中同班高中同校的一个关系算是可以的女生 也跟不同校的之前的同学保持着联系 关系好像还是很好 ​​​
d是和我一直关系淡淡的一个同学 我当时好像没有和她关系更进一步的想法？但竟然是因为当时都粉sbt突然开始畅聊了 最最没有缘分的是我们刚熟络没两天就毕业了 然后考了不同的高中 就没了联系 ​​​
l初中的时候和我关系好过一段时间 后面就渐渐的不说话了 我有时候能感觉出来到后期她是对我有些不耐烦的 其实当时我是怎么讨厌的她也忘了 但也算不上真的讨厌 毕竟她也算是我初中时代少遇到的正常人 ​​​
说实话初中同学不怎么发朋友圈和qqkj 因为不跟我在一个学校 我很少了解到他们的消息 ​​​
依然随时可以为你疯狂 ​​​
前田撸像演那个唐奇的
我服了
。
我踏马忍不了了
如果思念是条围巾，那我想我应该能织很长很长 ​​​
可是你人缘又为什么会这么好 为什么有这么多人喜欢你你跟我背刺过的那些人我都还记得一清二楚哈 结果到头来那群人还在傻乎乎的舔你跟你玩 你跟其他人一样都特别特别可怜
同学我真的看透你的人品了 太会权衡利弊了 一会儿背刺一会上去舔的不累吗 ​​​
人和人之前的缘分太浅了 和有些人的情感会渐渐消失 破碎 我好像无能为力 又心有余悸 ​​​
人生若只如初见 ​​​
笑得肚肚疼//@Aporcelainlakeeee:双开门攻最喜欢的双性奶受软绵绵的小肚腩
一觉睡到大中午 根本没买早饭呵呵呵 连快递都没取 现在在吃螺蛳粉 ​​​
我咋刚醒 我操尼玛鞋套 你他妈不回我请假消息 ​​​
你太会权衡利弊了 后悔这个词不会出现在你的字典里 ​​​
吴是温老婆女神宝宝 ​​​
我又有点喜欢你了
不想上学 好烦好烦 同学我讨厌你们 ​​​
好像时间都在推着我们往前走 我没办法接受人和人之前感情变化的太快 我装作若无其事 可是亲爱的 我有时候也好想你 ​​​
这个暑假我一定要染紫毛 ​​​
你一出现阴天变成晴天 ​​​
以为新乌托邦的丧尸会很敷衍 看到现在竟然还不错 ​​​
我咋感觉自己食物中毒了 ​​​
nctwash粉丝简直不得好死 ​​​
妹子你失心疯了吗 再这么给我模糊排名试试呢吴是闻人气第四又怎 还真想把他塞进backline ​​​
我投给了“彬奎（崔秀彬×崔杋圭）”~
pdd出wichu娃娃版了 那之前找手作娘几十块钱买的算什么 ​​​
同学你让我帮你买东西 我直接送你了你都不感谢一句 ​​​
让鬼慕大直播太聪明了 一下子满足队内三组大势cp粉 ​​​
神人
真是
刚种完地记录一下
劳资还以为例锡城
太恨京爷了这是
寻真好磕是因为双向付出呀 是因为粉丝讨厌韩震但金道虚对韩震千倍万倍好 把粉丝噎的死死的 气急败坏也没办法这样让我觉得我磕吸油好可怜呀 物失闻你别再舔的能油脂了 我只想看到你被爱 ​​​
利诱鸡快恨死吴失闻这个死皇族了吧 坐中间产儿没法卖腐了 把自己产儿说成是牛郎织女 苦命鸳鸯 ​​​
直播啥时候有中字 叽里呱啦韩语听不懂啊呵呵呵 ​​​
亲爱的是温 祝 常幸福 无疾苦 ​​​
