因为在防灾所以更想死
//@萝贝贝:留证据留录音及时投诉，出发点是杜绝更多伤害、保护更多女性，一次性骚扰投诉怎么会被污名化成这样
//@百慕大肥鹅://@刀卜卜://@我必如水银泻地:看看到底是谁不具人形，没有底线，没有道德，让直立行走的畜类独占人的解释权才是文明最大的bug
们兔曲就是我的维他命
转发
好可爱
笑口常开，cheap man自然来，已婚男求不来沾边🙏 ​​​
以为防灾外面会好一点，结果发现整个国企都是依托答辩。温💩煮青蛙 ​​​
莫名其妙接到个电话遭受了一场职场霸凌 ​​​
来了
又浪费了一日春光… ​​​
//@CyberZhiqi://@透明人間的蒸气:“晚期资本主义的娱乐是劳动的延伸”--阿多诺。//@落在最后的马拉松选手:消失的是“闲暇”，不仅仅是时间，还有心情。
好喜欢…
心情 ​​​
点了//@绿宝再次苏醒:Repost
情人节下班第一声爆笑
//@落在最后的马拉松选手://@透明人間的蒸气://@chicheng-:好的姐姐//@过细雨:以后我们的生命力只能浪费在自己身上
//@賣勾靠杯:轉發微博
我问
已经有点微信ptsd了，后悔当初没有建工作微信号 ​​​
今天累到回家吃完饭直接坐餐桌边睡了一小时，醒来的时候手脚发麻恍如隔世 但也依然要为这条按下转发键
老公大回春
//@落在最后的马拉松选手://@张批话://@库特纳霍拉的骨头:划重点：没编制//@朝阳地区非著名不狠人:她没编制，她在北体大读完书，进了一家杭州的公司，主要给一些机构做体育方面的活动策划，公司基本上都是退役小众项目运动员，并且做了不少山区公益活动。结果2019年到2022年，三年公司黄了。她再出现在 ...展开
智齿又发炎了，好想拔掉…发条微博，转移痛苦 ​​​
嗯嗯
主人//@kudoo:天啊这张绝了 查看图片
这下真变吒耳了
//@严艺家:也想告诉家长们，每天和孩子一起骂骂学校里的各种不爽5分钟，可以节约不少未来可能要花的心理咨询费
//@诨名唤作巴布尔:「愛情離開的時候，唯曾經相愛的證據留了下來。」//@黄小妖:天呐//@seabisuit:原来背景还有张一闪而过的合影，《再见杨德昌》作者王昀燕发文“是爱过的吧”回顾杨德昌与蔡琴的“爱情”。 查看图片
在你防灾休个两天假仿佛是做了什么杀人放火的事 ​​​
//@Sayrohan:世界各国养老金 分成two-tier和three-tier两种…… two-tier的就是缴纳养老金 企业年金 three-tier的外加一个是个人到岁数就能领的universal pension…… 所有二档的国家 没有任何资格碰瓷三档的……🙂‍↕️//@杨晓春://@洛兵://@很好看的秋天:夹总故意装的吧？
再接//@十一_SHIEU:接删防灾全员
转发
接删防灾全员
转发
我会买//@在也门钓鲑鱼:我会买
转发
//@萤风抛壳:转发一些周雨彤。
累了
转发
//@我又有一些真知灼见:宁静致远了//@方出神:一种人类精神。//@谷大白话:找到了inner peace//@stage1st宅社区:进入了一种开悟状态。。。
//@我又有一些真知灼见://@顾不厌:转发
//@诨名唤作巴布尔:语言的魅力在于，“工作吞噬了我们的日常工作，我们不计一切代价拔高工作的价值和意义，甚至神圣化，这是一种生产主义意识形态的暴力”，这个话题，这个观点，用中文说好像就没那么有底气，但用法语说出来，似乎就非常浑然天成。
伟大
//@炸至两面金黄-:很美，特别是胸美得有点出众了//@脱下晒晒ShyShy:这真的是神//@Carmen女士纯享版:我心里的神就长这个样子
//@萝贝贝:叹气。
//@Sayrohan://@李海鹏:是的。//@大豆钭江明:不屈服、不腐化、不猥琐
立夏
//@萝贝贝://@啊熊姨:张永振到底是谁，他为什么今天睡在实验室露天的门口。
太喜欢了
好米
//@Sayrohan:9. 离开任何一个需要“xx20分钟”来有效解压的环境 去到一件事能干一整天的环境里生活（啥啥都20分钟 这人得多忙啊？⏰ 正常原始人类一天就工作2小时 剩下都是上述所有这些不断循环 当然没压力了！😓）
//@WowDaikon:该理解为做书卖书的人自己并不读书，还是说有些人就算读书也只是为了装点门面，并不能从书中汲取到任何呢？
转发
//@Sayrohan:🥺🥺🥺
//@落在最后的马拉松选手://@诨名唤作巴布尔:以及，在荷兰，由于隐私受到法律的严格保护，员工向请病假不需要自己提供任何证明，公司会委托第三方医疗机构对员工进行评估，但也只会提供关于休假的评估意见，不能透露任何具体病情
//@贫困生活方式博主://@速溶沙漠://@扶南:“忘了人类一切伟大的意义，脚踏实地，放肆生活。”//@冰岛悍妇:好！希望我们都能坚定自己内心所想，不攀比，不盲从，不被他人影响，一门心思过好自己的日子！！
//@张批话:永久心情//@炸至两面金黄-:永久心情
//@我又有一些真知灼见:今天的微博天使含量高到离谱，我心软成鼻涕了//@内藤君和西瓜酱:看得哈特软软
//@我又有一些真知灼见:残忍//@三坨土:天呐//@啊熊姨:天啊！太难受了//@失眠狸:这鲸鱼做抗抑郁药研究都不用造模了，平时生活范围几千公里的生物被困在这么0.1公里长度都不到的地方。可以把她的声学数据记录一下，就可以了解虎鲸痛苦得想目杀时的发声模式了。
//@尉迟燕窝://@顾不厌:但愿这个小狗一直有人疼爱受到保护
