前段时间5推大规模维权的时候我就想过，恋与跟光夜谁先换谁就在PR上占据高地。好了，现在压力给到光头，长痛不如短痛，我不想再看哑巴新郎了！
熬了两天把《见鬼要趁花开之前》重温了一遍，每次读这段都会被逗乐，长公子就是变成了鬼也要拖着孱弱的身体给自己争取一包抹茶饼干。看这段的时候刚好听到这首歌，就很适合唱给袁宝听。王OK/洪佩瑜《这条小鱼在乎 (I'm a little fish)》这条小鱼在乎 (I&#39;m a little fish)（@网易云音乐） ​​​
因为不会记录，也没什么毅力，所以只能靠别人帮我创造的回忆来偶尔怀念生活。日复一日的消磨常常让人觉得自己抱着一颗破破烂烂的心，会聚焦于自己的苦痛，误以为自己是世上唯一被命运抛弃之人。但又总能遇到那么几个有耐心的人帮你修修补补之后，你发现自己依然是完整的。 ​​​
讲真玩了这么多游戏，最刻骨铭心的还是鸟，以至于不玩了也不舍得删掉，因为没有代餐。别的女性向都在塑造“男主是因为爱你而生的”五彩泡泡，它是独一份：没有光明正义的骑士，男主们对你各有算计，利益、共谋、排兵布阵是生活、情感交互是完成上述任务后让你缓一缓，甚至不得不反复疑惑然后思考自己要 ​​​ ...展开
lysk是一款大规模集成类游戏，它集合了卡牌、战斗、换装及抓娃娃、装修等小程序游戏，每天做活动、做任务就令人无比充实，再去许愿池抽卡吃满大保底，真正做到了在财力、体力和精神上对玩家进行多维度、深层次的考验，每一位猎人小姐都是“手游届的特种兵”。（它每开发一个新男主我就精神抖擞被骗进 ​​​ ...展开
接上一条反思自己，我对别人的痛苦叙事容忍度也很低。虽然自己也是爱讲话的类型，但无比认同倾诉并不解决问题，如果安慰的尽头是“比惨大赛”或者“抱着哭”，我甚至觉得在别人倾诉的时候沉默是一种仁慈。当然我以前也完全不是这样，这就像是…一个人逐渐褪去“人味”的过程，全姐身上的拧巴是我非常能 ​​​ ...展开
//@有杯榛果拿铁:我有一个理论，很喜欢骂别人「软弱」（比如紫砂者，各类精神障碍者双相玉玉ASD ADHD，在关系里不够强的人等），致力于发现自己周围人「软弱」的那种人，多数是自己痛苦时没人帮没人爱，但也扛过来了的。他们对「软弱」又爱表达的人特别不能容忍
