我没有办法向任何人解释我的内耗和执着甚至我自己都没有办法理解 ​​​
你喜欢吃鱼 他喜欢吃虾这不是三观不同 你喜欢宅家 他喜欢出去玩这也不是三观不同月亮与六便士里的讲的 你敬畏天理 他崇拜权威这是世界观不同 你站在良知的一边 他站在赢者的一边这是价值观不同 你努力是为了理想的生活 而他是为了做人上人 这是人生观不同带入到生活里就是你喜欢打扮 他觉得浪费钱打 ​​​ ...展开
最近… ​​​
喂饱一个男朋友不成问题 ​​​
跟朋友聊天聊到一半 她突然说了句 我发现你是个很善良的人 我感到莫名其妙 就问怎么得到的这个结论 因为善良这个品质毕竟很抽象 她说：对你好 你不会蹬鼻子上脸 也不会觉得自己很拽 跟你好好说话 你也不会摆谱 也会用很好的语气回应 听完后我感到有点莫名 这不是应该的吗？她说 你不懂 大部分人都做不 ​​​ ...展开
脸怎么就能老过敏 ​​​
我的情绪太重 像一团湿棉花 你问我想要什么 我不知道于是我只能叹气 ​​​
#大S去世# ​​​
第三次读李诞的《笑场》太喜欢这种诙谐幽默又带着嘲讽的写作风格 ​​​
小人畏威不畏德君子畏德不畏威 ​​​
讨论爱意的同时也要讨论如何让我们俩都高潮 ​​​
小城b事多 ​​​
我好像是病态的 我希望我爱的人如同疯子用接近病态的感情爱我 我喜欢和我在下雨天一起去雨地发疯的人 不管是男友还是朋友 一定是疯批 病娇优先健康的恋爱是一点谈不了 ​​​
有些人真的是近之则不逊 远之则怨 ​​​
爱是不能断续的 你不能爱过我后又去爱别人 然后又回来爱我 我不会选择你的原因很简单 我有条件跟别人去周旋玩新鲜感 为什么是你 不可能再是你了 喜欢是情非得已 放下也是 ​​​
爱的传承 ​​​
我是一个没有精神病院的精神病人我有意识地疯 我冷静的疯 我格格不入于一切我处于一个清醒的睡眠中 ​​​
这个世界上 没有完全自由的人 除非他不爱钱 ​​​
哈～喽～巴～旦～木～老师🙄 ​​​
分享视频 也不是那么OK的微博视频 ​​​
两个宝宝天下第一好@菇蘑吃不 @斩虍nine 也不是那么OK的微博视频 ​​​
十六岁的时候我就知道我不想要一成不变的人生 ​​​
英雄联盟陈泽超话 真招人稀罕 ​​​
分享图片  ​​​
他半夜吃泡面也让我大半夜干了一碗 悔死我了#陈泽# ​​​
恰饭咯…  ​​​
陈泽微博活跃度是真高 一天22条  ​​​
爱因为有差别而厚重 ​​​
@菇蘑吃不 确实有牌面了泽#英雄联盟# @英雄联盟 ​​​
打了一天一夜游戏 掉段了 终于可以安心睡觉了 真好#lol手游##陈泽LOL##陈泽LOL大片# ​​​
真的挺喜欢你的 后来天天喝酒喝忘了 ​​​
分享图片 ​​​
祝我开心 ​​​
只有感受到身体上的温度 湿润的头发 急促的呼吸声才能抵消我的不安 ​​​
露脸和显眼只差一步 ​​​
ZIK張國榮《不会过期的罐头》 ​​​
就自暴自弃 就吃 胖死拉倒 不活了 ​​​
哎呀 别管我了 ​​​
如果百草枯有草莓味的 我绝不苟活 ​​​
生活本就不是电影 ​​​
掉到白银又能咋滴 一个破游戏 CNM 掉吧掉吧 ​​​
昨天误入刀战房了 ​​​
我想发疯 一天一夜没睡觉 真好 ​​​
如果爱是明码标价 那他一定在最显眼的位置 来往的人络绎不绝 被拿起又被放下 周围都是议价的声音可谁都不知 爱之所以被摆在显眼的位置是因为大多数人 可望而不可及 ​​​
