老娘。好爱磕cp。 ​​​
人甚至无法共情以前的自己 感觉以前好明媚好单纯好若之。。。现在有点像毒妇and阴沟里的老鼠。。。。dbq。。。。 ​​​
开会废话多的真的是平时没人和他说话逼疯了吧 ​​​
侯佩岑竟然参加浪姐了！！！！这届浪姐我要看！！！！我爱的美丽女人 还有吴宣仪cc哇咔咔 ​​​虽然不太感冒但是女团出来的唱跳我超爱啊 ​​​
单排上王者 什么实力哇咔咔咔꒰꒪꒫꒪⌯꒱我是个出装都不会的人呀 纯靠手法小乔的我已经出神入化了嘿嘿嘿嘿牛牛牛 ​​​
令人绝望的生物钟 ​​​
明早的早操 拜拜了您嘞明天任务：备课：单词➕作文改：作文 ​​​
最近的人设是怨天尤人的小喷子 等这份工作结束后应该会好一点 ​​​
我在想是不是男的基因天生就有劣根性 所以我身边的男的都这么贝戈呀感觉又自私又恶毒 又蠢又坏 又小心眼 所有恶心的词都可以形容在他们身上 利己主义 没有同理心 没有感恩之心 真的特别恶心 所以我真的特别不想结婚 特别不想生孩子 特别是男宝 他们恶毒的是还会不停的压榨女性 并 ​​​ ...展开
因为我爸和我弟 我已经彻底厌男了 这真的很有生活了 ​​​
一边。。。一边。。。演都不演了但凡装一下呢 ​​​
看到迅猛龙讲她考研 简直是女神级别的 长得这么一个明艳大美女也能好好静下心来考试 还考上了 情商也高 女人中的女人 ​​​
结婚对我来说就是没苦硬吃男的实在是太恶心了啊啊啊 ​​​
不知道为什么另一半是老师或者公务员给我一种很萎的感觉 像那种性缩力满满一成不变的封建老古董 长得老气横秋书生样的那种 刻板印象非常严重 可能是我校长们给我的刻板印象太严重了 ​​​
好想把头像换成人善被狗欺 他妈的明天再冤枉劳资直接在群里发疯 ​​​
好想辞职干不了一点 好讨厌工作啊 ​​​
把善意的竞争推荐给我妈看之前我也不知道后面有这么多凰凰的情节啊啊啊啊好炸裂2333 ​​​
上班之后都没怎么请假过 因为工作不会跑 相比于交接和还要找人交接的麻烦还是忍忍继续干吧 ​​​
想到要上班就有种生理性想吐_(´ཀ`」 ∠)_🤮 ​​​
我真的好厌男🤮🤮🤮婚姻简直就是普通大众女人的牢笼 吃干抹净既得利益者都是男人罢了🤮 ​​​
妈呀肚子好痛 晚上的那碗炒粉 你把我毁了 ​​​
想到之后还要跑操天天早晨6点多起晚上九十点回就可怕  ​​​
上班是人类十大酷刑之一 老师是top1 班主任更是top中的top ​​​
根本舍不得闭眼 一睁眼就又要上班了 天都塌了 ​​​
我怎么这么爱看想见你呀🥺🥺🥺由此爱上了台湾想去台湾玩 ​​​
天气一冷 就给人一种很命苦的感觉 ​​​
领导同事在天堂 ​​​
我好气我好气我好气有些人就该去鼠😡😡😡😡😡都给我两巴掌 ​​​
明天就要上班了 好想死 突然噩耗 ​​​
窝妈妈真的太伟大了 一个人做一大桌子菜 太牛了 ​​​
放假在家每天只吃一顿还瘦了上班后争取保持 ​​​
从今日开始 减少自我贬低 减少pua ​​​
人家用最低成本的方式吊着你 就轻松把你勾的几天魂不守舍 自己折磨自己 让他gun 直接拜拜 算什么东西呢老娘未来大着呢 ​​​
世界上最大的假象 就是总有人觉得自己是那个例外 ​​​
好想一睁眼变成富婆躺平啊话说有哪些工作是比较轻松愉快的吗 ​​​
学会对一切祛魅！！但素俺要好好努力起来 2025也要是努力的一年！ ​​​
学会对一切祛魅🤟🤞💪 ​​​
以前的自己真的矫情到不行喜欢那时候的我的人也是勇士可是回过头发现当时的自己尊嘟很开朗很努力啊 ​​​
不牵狗绳的人应该枪毙 ​​​
过年外卖配送费7元？？？？也是分不清大小王了 ​​​
学校里的雄性激素真的太多了🤮🤮太超雄了集美们 ​​​
跑操天天被点名 好难受 ​​​
好饿好饿 ​​​
养活自己 保护自己 原谅自己 ​​​
每天就是看这些把脑子看坏的 ​​​
昨晚做了个美梦 居然特么想谈恋爱了卧槽。。。。。。。。好可怕啊啊 ​​​
每天早上没吃饭就快饿晕了 ​​​
下午又要上班 真特么烦也验证老实人就是受人欺负的 外耗别人才不会内耗自己 ​​​
坚定了真的不太想待在这 所以赶紧跑！！！加油考试fighting ​​​
受不了了 啊啊啊啊啊啊啊啊我要睡觉 半年不喝霸王茶姬了 ​​​
好像有下定决心干好一件事了 ​​​
霸王茶姬我恨你。。 ​​​
这个世界上奇葩的人真的好多。。。。🤮 ​​​
领导为什么这么喜欢开会叫一堆人来说一堆废话🤮 ​​​
恶心的同事🤮🤮 ​​​
Apt真的是太难听了 火的更是莫名其妙一点都不耐听 听起来真的土土的感觉 ​​​
再看一遍太阳的后裔还是被宋仲基帅飞 不愧是我少女时期最爱的男人🥺🥺🥺呜呜呜 ​​​
@怼怼模拟器 我的账号总结。 ​​​
不想早起 不想上班 ​​​
老娘六点要起来上班啊烙铁。。。放过我吧啊啊啊 还有早读和第一节课 疯了
真的抗拒不了一点拧巴的东西卧槽尼玛 看早春晴朗看到现在太特么好看了 好喜欢女主我靠 你别说一夜承明还真能代入 ​​​
令人绝望的生物钟 ​​​
紫紫真的好适合彩色的眼影
我们班女孩子我心软软呜呜呜呜 ​​​
其实我想学习一下🌸🌸们的心态呢 ​​​
姐姐生日快乐
今天又要上班了 我嘞个超绝难受下午搬个凳子在门口真的好傻呀 ​​​
小紫紫看的人心软软
明天断食一天。。。今天暴食的惩罚 ​​​
忍住 泡面明天再吃吧 ​​​
放假时候躺在床上当一具死尸就是最大的幸福惹 ​​​
好甜哦翁翁美美哒太阔爱噜
每天看着我的露露心情都好起来了呜呜呜快发工资吧还想买一个贝儿 中秋限定真的都好看的要鼠啊 ​​​
好好打扮确实可以让人自信起来
早上来的时候已经跑完操了并且无事发生有一种摸鱼成功的快感 ​​​
这115我是下不去了吗烙铁 ​​​
57.65kg一杯奶茶的威力居然如此之大 ​​​
57.5kg ​​​
57.95kg ​​​
好想放纵吃一餐 但是想到油腻的脸就会忍住饿就是在燃烧脂肪 加油 ​​​
好神金的人 雌竞吓鼠了 观感好差
学校里面放周杰伦的歌简直青春拉满借别人的人生重回一回高中好了 ​​​
现在已经开始享受饿感了想吃的时候想到自己穿衣服挤不进去的腰和油腻的脸瞬间没有食欲了 ​​​
当对你状态不满意的时候，对身边的一切都不会满意。因为你本身就不自信 ​​​
我真的好讨厌社交 ​​​
点
我只能进行精神恋爱 肉体接触让我觉得恶熏且只喜欢幻想中的crush ​​​
