不能遗忘
感恩，怀念
致敬
送别
接财
外卖吃到蟑螂，不仅告诉我你们是平台管不了，还告诉我投诉市场监管局没有用，让我不要浪费时间，一旦投诉了就不会补偿我200元。先让我把证物扔掉，再告诉我证据不充足，所有通话我都有录音，这就是一家独大嚣张跋扈吗？
