码住
不要想那么多 我有很多书要读 ​​​
宝宝 身体健康 事事顺利 一切都好 ​​​
这个世界还会好吗 ​​​
去经历 去成长 去接受变化迎接变化二十几岁是人生的梅雨季吗？是也不是是潮湿是风险 但同样 它也是水源储蓄 是滋润万物 是梅子成熟时我亲爱的自己，请允许自己迷茫、犯错、停滞，允许一切发生。我希望人生的任何一个阶段你都有足够的从新开始的勇气和打破过往、不计成本推翻重来的决心，你有能力去 ​​​ ...展开
拜拜微博 ​​​
讨厌emo ​​​
多关注自己 少在乎别人对于今年的事情 再坚定一点 再勇敢一点 好吗别东张西望三心二意了 拜托 ​​​
多点微博少点朋友圈 ​​​
亲爱的自己 人生不要东张西望 ​​​
把朋友圈关了 谁也别影响我了 ​​​
人好奇怪。总是莫名其妙想到一些过去的人，明明早就断了联系，未来也很大可能不会再有交集，可就是会莫名其妙想到。过去的事情早点翻篇吧，好吗？ ​​​
好好学习吧 好事好运好人都会在下一个转弯出现 ​​​
分享图片 ​​​
怀疑任何人的真心 ​​​
讨厌装的 讨厌演戏的 讨厌真假不明的 讨厌态度不明朗的 讨厌玩笑掺杂真话 真话掺杂假话 讨厌不纯粹 讨厌模棱两可 ​​​
那就让看不惯我的人更看不惯我一点好了 ​​​
我应该把自己的感受放在首位 其次才有其次 ​​​
没关系不要过度去纠结人际关系 在今天的文字中特指“友谊”你总是过度追求纯粹的友谊 有点共性彼此吸引一下就不断剖析自己 不断分享关于你 展现出去对友情的渴望与珍视以及对对方的肯定 不要这样 我亲爱的你 不去表达你 不去分享你的生活 好的坏的 特别是不好的事情 自己咀嚼明白然后放下 分享出去就 ​​​ ...展开
不要输给瞬间不要转嫁自己的课题 ​​​
不解释任何 除了自己的事情其他都是别人的课题 ​​​
离我生活远一点 对我影响小一点 ​​​
大部分人都只是我生命的玻璃窗上缓缓划过的雨水 ​​​
我不要再交朋友了 ​​​
特别特别讨厌的一句话是:天下没有不散的筵席 ​​​
不会告别的人 很难周旋于匆匆的世界 ​​​
宝宝你的中奖名单什么时候能有我
我投给了“潘帕斯蓝生酪茉莉拿铁”~
#小鬼王琳凯 王源#小小鬼也是蹭上大的了 ​​​
好早之前微博刷到一个超级好看的小女孩，后悔没点关注，再也没刷到了 ​​​
面上什么东西都没有，但里子全是坏的。浮于表面的假装是所有理智的成年人该有的体面。 ​​​
我投给了“柚见美式”~
永远讨厌小组作业 ​​​
我偏要跟自己作对 ​​​
我在#歌手2024请揭榜#活动中预测@种地吧李昊 会进入#歌手2024#，@郭先森Light 快来和我一起参与吧！ ~
我在#歌手2024请揭榜#活动中预测@种地吧李昊 会进入#歌手2024#，@郭先森Light 快来和我一起参与吧！ !
我在#歌手2024请揭榜#活动中预测@种地吧李昊 会进入#歌手2024#，@叫我十七就好啦 快来和我一起参与吧！ ^^
#TFBOYS是什么组合发首歌听听#我天哪这是什么组合听都没听过 能不能几首歌看看实力 ​​​
分享图片 ​​​
尊嘟假嘟
宝宝新年快乐！
往前走 别困在过去和梦里 ​​​
