忍不了一点啊文哥
婚礼存档
也是走上了星光大道//@谅夏恸_:还是要多出楼啊 到了楼外雨也不下了太阳也出来了 宋亚轩刘耀文也一起等到雨停了
好心动好甜
歌词适配度1000%
啊啊啊啊好帅//@睡好觉是人生第一要义:北京送你们了//@失眠相对论:四川送你们了//@用篮球当鼓点_://@引力情诗:湖南送你们了//@滿格訊號_:江苏送你们了//@焦糖鱼丸43:广西送你们了//@昏迷Puppy:那还说啥了，湖南送给你们了//@Wen哇Wen啦www:哇擦
我们碗盆
啊啊啊啊啊啊啊啊啊好熟练好自然
啊啊啊啊啊啊甜甜的碗盆百分百适配小甜歌
小情侣看这里//@都觉得口渴:老师们看这里//@觉醒小喵:小宋老师小刘老师这边//@下楼会踩空:先帅后萌的就走过来了//@脑袋困薯了://@薯薯i睡觉:权威情侣//@求个函数:我靠好帅啊
宋亚轩刘耀文好帅好配
我家碗盆太配了//@文轩星系:感谢@新华社 的分享💕湾区夜璀璨，光影绘盛景；幕起藏万象，步落绽锋芒；静待@时代少年团-宋亚轩@时代少年团-刘耀文 以音为笔绘浪漫，光承热爱赴山海！
好般配
又结婚了
好喜欢轩轩跳舞//@懒不素错:发抖音我要给小美女投抖+//@觉醒小喵:woc完美卡上//@Bubbjelloo:我草全世界来看//@基魔法生效中:鼻血喷射
好美//@依偎臆想:好美//@成为皇子妈的那个夜晚:女神//@碗盆炒年糕_:女神//@过季交往法则:女神…//@Sweet_碗盆犬犬猫:女神//@亚素解耀:好美//@纯情小狗脑:女神！//@私探月亮:女神//@妹塑动力学:美…//@大眼萌盆爱俏夫:女神//@阿猫拾夢:清。
//@你的存在治愈我_a:真心换真心 还会再相遇的！
这个夏天和你们一起收获了这份感动，真的都很棒轩轩文文
是今天见啦
//@BOXING2KIL:美//@裁萤:我去 好美的图图//@谅夏恸_:命中十环！
//@月门夜话:特别棒！！特别厉害！！
中单的神
明天见
海椒炒蛋//@评估零风险:有的人的“遗憾”用一整季来铺路 有的人意义非凡的第一次成为垫脚石
人生可能没那么多圆满，但还是希望你们能圆满
太生气了！！！//@金盆洗手止风雨雨雨:好不容易做一次密保还要让我那么伤心//@我拿狗咪莓什么梗:七个男孩追梦路上的最大挫折就是战至巅峰
你们就是冠军🏆
服了，B&amp;B离场还有个比赛回顾呢，我们炸什么也没有。。。啥也不说了，卸载腾讯视频停止续费 ​​​
最棒的中单和对抗路！！！
好可惜的第三局，那局差点就能赢下来，我们文文肯定是MVP了，文文轩轩真的都很棒了
炸弹猫司空震都是拿过MVP的！！！！！！SDG给我冲啊！！！！！！！冠军冠军冠军MVP FMVP都拿下！！！ ​​​
耀文今天发挥也很好//@失眠相对论:老爸//@刷啦啦冰冰棒:神。//@我素包菜噢://@温顺乖巧一男子:卧槽//@不锈钢狗狗盆:好帅//@磕了爸爸妈妈:爸爸//@小顽皮到底是谁:啊啊啊//@哥哥我错了lu:啊//@碗盆炸厨房:阿斯帕躺
中单之神//@别问长不长我就是方长:女神又一MVP ！ 查看图片
加油加油加油SDG！！！！！！ ​​​
拜托拜托拜托🙏SDG一定要冠军啊🏆我们碗盆今天发挥这么好必须MVP啊 ​​​
？？？？？？ ​​​
实至名归了这把甄姬！！！！！轩轩冲击FMVP
我靠！！！！！！！！太牛了这个SDG ​​​
SDG冠军！！！
太紧张了啊怎么办我求求了SDG拿个冠军好不好🏆 ​​​
太帅了
SDG必胜！轩轩文文MVP！！！ ​​​
//@睡好觉是人生第一要义://@睡好觉是人生第一要义:我靠再看一遍 这不就是在秀吗//@Aernoresia:难道不是吗 包秀的啊//@c2h5ohhhh:这真的不是在隔空示爱吗？没人觉得吗？
收藏
幸福到想流泪🥲原来只要知道你们幸福我也会很幸福，宝贝们一直幸福下去吧，我在这半途给你们祝福
回味//@doododada:怎么办我又感觉这半年好幸福好幸福了呀！
喜欢
我嗑一口//@喝豆浆有利于美白:互相求过婚的关系
交出你们的x号//@_金盆洗手止風雨_:有点吓人了//@明雨木枭://@楼主一://@当家小猫厨:黑叉账号扒一下行吗//@吗椰你谁:我突然有点那个
我靠肯定是勾引他老公的
结婚//@失眠相对论:结婚//@3annue_og:结婚//@狗啃盆盆:结婚//@老公今晚还回家吗:结婚//@weitimy_:结婚//@Y_抱抱碗盆:结婚//@7604071380_713:结婚💐
啊啊啊啊啊浴袍重现了！！！救命
好可爱好萌啊，故事的结尾碗盆幸福到永久，谢谢酒老师给了他们一个美好的结局
收藏//@都觉得口渴:这个我要存
//@老太太不会玩微博:我一定要在你身边//@猪猪桃芝:磕死我了。//@想看碗盆一起睡觉:和去年11月一模一样…最后的最后就为了在他身边跑了大老远//@-不典型的典型美女-:跑了大半场去找亚轩🥲
太亲密了
这两人平时在家看美剧就这样吧啧啧啧
在一起就是奇迹//@你的存在治愈我_a:在一起创造过奇迹～这个站位能不能一直保持
好喜欢//@蓝胖子爱侦探:天呐🥺//@Trsly小佳:好幸福//@只是一粒蘋果:好喜欢这个幸福的眼神😭 查看图片 //@糯叽叽鱼丸:盆盆把自己嫁出去了
太好了终于能看见我的小盆盆了
我要转一万次
要一直这么幸福啊宝宝们
太帅了刘耀文
💧//@剥离最后一根软肋:很多时候都是这样，掩饰再好也没办法掩饰在你情绪宣泄时担心你在乎你，即使偶有虚惊一场，也改不了爱的本能
//@月门夜话:太高清了 再看一遍👀🩷
碗盆互动太美好了
原来私下就是这么勾引lp的
//@油条五元钱:提着昨日种种千辛万苦
//@_嘚-:卧槽啊啊啊啊喂喂喂//@扁羽扁羽-:啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊//@我宝是碗盆:这是。这是。
好漂亮的宝
爹地妈咪是我呀你们的女儿
眼里有星河//@老太太不会玩微博:漂亮的宝宝 希望你永远幸福
太好笑了文文
坚定走向你
害怕你哭//@剥离最后一根软肋:每次都怀着很单纯的心意，能看到你、看着你。
跟老婆一起学的
好帅//@非第一定律:男神。。。。。
好可爱啊宝//@失眠相对论://@女主旼:小宝宝//@小肉包嘻哈嘻://@药到饼厨_:宝宝//@街头的橘猫:好萌啊//@凉拌鱼鳞丸:好萌啊啊啊//@一碗盆盆猫_:好萌呀啊啊啊
好可爱啊啊啊
我去//@失眠相对论:卧槽这个身材//@窝老公薯仔了24碎:卧槽//@睡好觉是人生第一要义:卧槽这锁骨真绝了//@老太太不会玩微博:名品锁骨//@·面包与海:全世界看
OMG//@懒不素错:不。。不。。。不。。。//@拜托了当狗也不错:卧槽这是在、男神我流口水了。
好帅//@玻璃沃特:21号怎么不脱衣服//@调皮素质低:欧巴啊21号怎么不脱衣服
靠//@懒不素错:性张力好强//@三季日桃:爸爸//@工藤-美作:爸爸
太好看了妹宝//@懒不素错:我看一万遍
//@老太太不会玩微博:小宝宝你不乘。
好帅//@换号换到自己烦:无袖无袖我们喜欢你//@薯薯i睡觉:h好烧//@耀初恋的鱼://@不午睡怎么行:卧槽没人能抵得住//@猫饼不犯病-:配上这个纹身太s了吧
靠好帅//@懒不素错:不要啊别盯我我不行了//@点牛肉丸送鸭血:人家被帅晕了//@吃口猫堡王:啊啊啊啊啊//@脆皮肥肠o_0:啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊//@比奇堡第一特工:挖槽给我盯的人没了
又结婚了
啊啊啊啊啊碗盆互动了
啊啊啊啊啊我们碗盆
神图+1//@玻璃沃特:神图有了
宝宝//@千金不换酒老板:这个宋亚轩又偷偷开挂了
帅炸了//@千金不换酒老板:帅成啥样了！！！//@当家小猫厨:哥哥爸爸
好看//@懒不素错:欧巴我要给你投票//@丸安水饺:沦陷了//@萌牛牛萌主:欧巴
太甜了我们碗盆
因为想看你们一组//@WhatBeatsReality:好看//@什么你说什么-_-:因为我想和你一组
碗盆cp//@WhatBeatsReality:包神图的 尖叫！
太好了是雪停老师
啊啊啊啊啊啊好甜//@aya南豆豆豆:明眼人都能看出来啊呃呃
有道理//@睡好觉是人生第一要义:总不能是晚上睡觉蹭上的吧//@月门夜话://@看我微博别白瓢:基佬紫一起穿 头发一起染 查看图片 //@就叫小狗狗吧:这次我认真的 绝对有问题。//@初夏里的春和景明:我想嗑//@蜜露桃汽水-v-:这个其实很好磕的//@也许是这样那样:我磕一口贵药
