自能往前看 勇往直前的往前走 ​​​
舍不得 ​​​
竞选团支书成功 我愿意吃一个星期素菜➕1年单身 ​​​
想要的自己要去争取 加油 ​​​
事在人为 我有勇往直前的勇气 ​​​
突然好饿啊 ​​​
俺不中勒 为什么男的一出汗就那么臭 我不行了 谁来救救我 ​​​
我真服了 我们连有些傻逼 你要是不想练你就滚回家去 别隔着闹了 深井冰 ​​​
本来我以为来到一个陌生的城市上学 没有人管得到我了 我会特别开心 但现实与理想的差距实在是太大了 我不止一次流泪 甚至在我起床的时候 我都在想家 ​​​
今天交到了新朋友 下午和她一起去吃食堂 ​​​
要是有个好朋友在学校就好了 在这没人迁就我啊 呜呜呜😭 ​​​
今天依旧想家 但是没有那么想 因为和舍友熟了一点点 ​​​
我想我爸妈 我想我的朋友 我想我的家人 谁能给我打钱 让我买机票回家 ​​​
我想回家 ​​​
对待新的学校新的生活我一点都不激动 我讨厌这个地方 讨厌这些人的口音 我想回家 ​​​
突然感觉自己好对不起家人…… ​​​
万宁这坑地方 我被坑惨了😭 ​​​
换个角度想了一下觉得好受些了 诶 别生气 过几天去散心去 ​​​
我真的是受不了了 能不能死啊…… ​​​
fmg 你去死吧 你真的太没用了 你可不可以勇敢一点 你真的你太稳了 我去你m的 你真的可以去死了 中考这样吗的 高考也这样 这下好了吧 你去死吧 ​​​
我恨死这个世界 能不能毁灭  全部都去死吧 ​​​
