#生活手记# 花儿再美，终会枯萎🥀 ​​​
精神寄托可以是任何东西    但唯独不可以是人 ​​​
爱情是这个世界上最没用的东西      没有物质的爱   都是空谈 ​​​
好像没有勇气再爱了
婚纱是浪漫的，但婚姻不是 #人生感悟# ​​​
