日常超话#日常妆# 啾啾Ammy的微博视频 ​​​
很好最近的目标 新的挑战 ​​​
说了一万遍 没有什么感同身受 ​​​
其实也需要你在 ​​​
#权志龙 演唱会##GD  ​​​
很好 jiankao也闲不住！#健身打卡# ​​​
拜托下次一定好好骑车呜呜呜 啾啾Ammy的微博视频 ​​​
爱 像流星像陨石 ​​​
#大S影响我最深的一件事#“不管你这辈子做错多严重的事情，或者是你犯了多让人家没有办法接受的错误，可是你只要活下去，事情都一定会有转机。” ​​​
⏳ ​​​
慢慢来比较快！笨蛋！！ ​​​
根深蒂固的想法我要变得越来越强！！ ​​​
向前看！#健身打卡# ​​​
找自己 认知自己两年了 找了个寂寞只学会的一件事 顺其自然太想要的东西 必定会溜走 ​​​
健身的快乐我知道#健身#每日健身日记超话 ​​​
今年生日一定要穿漂亮裙子啦！！ ​​​
慢半拍也没事 只要没停下来就行 ​​​
今年目标 好好爱自己 多运动 多读书 练好语言 多写心得#运动生活# ​​​
我相信我一定越来越好呀！ ​​​
细腻的人 唯独没有看到自己的珍贵 ​​​
不开心的一天从吃到不好水果开始哎 ​​​
新的一年，希望自己开开心快乐，敢于做自己，继续努力！！ ​​​
爱哭鬼 ​​​
巨巨巨搞笑巡考给监考老师说，都不让睡觉，哈哈哈哈哈，就我和我监考搭班以为不让学生睡觉，然后把场里睡觉都喊起来了哈哈哈哈哈哈哈（一脸抱歉和不好意思的喊起来）哈哈哈 ​​​
日常超话  精神富裕 总要给自己幸福 ​​​
最近巨爱芭乐 谁懂 一天炫两个那种 ​​​
冬至快乐！！你的优秀你知道！！ ​​​
我我我超牛！ ​​​
12月的奇迹🎄#生活手记# 啾啾Ammy的微博视频 ​​​
我觉得我很有趣 也超有意思！！#自我提升# ​​​
说了巨疼 没人觉得真疼 主要是真疼 最后高低输了消炎针 半个月的炎症还没下去哎果然还是自己扛下所有 ​​​
好了 我是勇士 直白告诉了小孩 老师被拔牙疼哭了 而且眼睛也肿了（巨肿，而且掩盖不了） 被爸妈嫌弃没出息 主要是它是真疼 我我也不想哭啊啊啊啊 孩子们竟然哈哈哈良心大大的在 很听话 #教师# #拔牙# ​​​
一遍遍的告诉自己开心万万岁希望这个冬天不太冷 啾啾Ammy的微博视频 ​​​
稳 慢慢上升Up ​​​
真的要夸夸自己 我的太棒啦 期中Get！！孩子们继续加油呀！！[奋斗][奋斗] ​​​
哈哈原来不想回家的时候是想工作！ ​​​
最近的状态是有病 喜欢加班 有种领着孩子过日子的感觉 ​​​
认真过好每一天 ​​​
累并快乐着，本周计算呜呜终于有点进步了！！一起努力吧嘻嘻！继续当个有魅力的teacher 🏋️‍♀️🏋️‍♀️ ​​​
哈哈哈哈太真实了
手指头真的巨巨巨疼在讲台上真的巨想哭呜呜 ​​​
#付航值得##付航：只要你勇敢的做自己 就总会有人爱你！！！ ​​​
看吧 巨巨巨委屈 难以形容 ​​​
我爱coffee everyday！！！#生活手记# ​​​
#自我提升# 提升自我的配得感真的很重要 ​​​
上班vs不上班假期vs假期后#今日穿搭(ootd)# ​​​
感觉不到幸福的时候 就寻找幸福呀 ​​​
最近买了一本书“什么是教育” ​​​
有时候在想幸福在哪 是否可以找到幸福，每个人有不同的追求 有不同对生活的理解，并不能你觉得该怎么样，就一切都按照你的想法来，你看到我的是快乐，所以你从头到尾都没有真正的认识到我！ ​​​
保佑保佑 一定很好！！！ ​​​
中秋节快乐 你我都是#中秋节快乐# ​​​
我希望我自己幸福 而不是跟任何人比幸福 ​​​
Plog｜ 威海#旅行plog# 海是看不够的  你也是#山海旅行plog# ​​​
想对你说的话有点多 ​​​
真的很希望有人能教我长大 我也希望自己可以一直不断进步 不断努力 我坚信未来我超级无敌爆炸棒 才第一年 慢慢来吧 只要想进步 慢一点也无偿！！ ​​​
不如只相信自己要进步要学习的还有好多慢慢让自己厚起来吧 ​​​
该死 想过七夕 难搞 ​​​
我则异于是无可无不可鬼知道我有多么想进步！！ ​​​
理解 尊重 止损 长大 ​​​
现在的情绪稳定到  谁都不要打扰我🏋️‍♀️🏋️‍♀️🏋️‍♀️#健身打卡# ​​​
早点见🌄 ​​​
健身女屌丝的日常🏋️‍♀️🎀  ​​​
不知道现在是对是错 搞不懂啦 ​​​
乱七八糟 ​​​
早#健身打卡# ​​​
该长大啦要稳重一些啦 ​​​
下雨了 怎么回去太大了 你在学校睡一晚上…. ​​​
减少期待 减少依赖 更换磁场！ ​​​
#法老diss#哈哈哈都是土狗，太炫了吧 ​​​
运动 暴汗的快乐再进步一点点！！#一张照片欢迎夏天# ​​​
救命 才上班不到一年 一上班就累够 周末还不想动 ​​​
最近的状态 一到周末就想躺 懒得动 ​​​
要知足才快乐 ​​​
#健身打卡# 运动让我快乐#运动健身打卡群活一天动一天# ​​​
很好 又失去一个释放自我的平台 ​​​
#真正难熬的其实是经前一周#现在的状态看见不听话的就要卷两句甚至昨天从9点多睡到了天亮 ​​​
有趣的周末运动满环的一周以及放松的两天下一步就要好好看书啦 ​​​
拒绝浮躁 ​​​
#一张照片欢迎夏天# 夏天该有的样子 ​​​
一直都在这句话对我好重要 ​​​
可能还是太天真了 以为做好自己该做的 都会好起来 可没想过事情没那么简单 总有不怀好心的人 慢慢成长吧 ​​​
表扬自己，勇敢说“不”呀 ​​​
inmyfeelings 享受运动#健身日记#  ​​​
无聊的日子里要自己找快乐 ​​​
夏天的目标小ck加低腰裤！！！#ck##乖乖女穿搭##小ck# ​​​
谁懂 要强到只想当生活的大女主独立向上的那种哪怕上班工作了 健身自律的心真的没有停自己想做的事 就算什么来了我也得成！！内核稳！ ​​​
