@-未央-_ 要开演啦
在现场！！！
我要去打卡！
《妈妈，万一你去世了，我还没结婚怎么办？》昨晚上睡前正读着《班上来了一只猫》，我的孩子突然说了一句：“妈妈，万一你去世了，我还没结婚怎么办？”，不出所料，又是带着哽咽。 “我还活着呢，要不咱们别聊去世的事儿了吧，先好好活着？” “那我一个人怎么办，我不想一个人……” “你想 ​​​ ...展开
今天我坐在餐桌上，看着一本书，心神不宁的，一会儿想着快递员是不是就要敲门了？一会儿想着，昨晚上怎么又跟我那个7岁的孩子吵架了？       他吵架气势很足，那么小小的人竟然可以达到我近几年才有的“水平”，也可以反问出“为什么你可以一直玩儿手机？”，我竟然也是哑口无言。但是，我怎么会输， ​​​ ...展开
有时候我会经常思考，那到底是一些拥有怎样人生底色的人啊！ ​​​
哇哦
顺毛的小丁儿～
//@黑板报的水晶://@明仔和二毛子://@雪霏Sophia:🙏//@M大王叫我来巡山:功德无量//@芝麻糊了吧://@蓝爵Yoyo://@黄腿肠://@我又有一些真知灼见:她2020年就在提删除离婚冷静期，今年的提案依然是。谢谢蒋胜男女士。
辽宁省营口市鲅鱼圈区新港小区，三供一业改水，发了一个这样的无任何公章的类似小广告宣传单一样的通知后，一群无证件人员上门无任何沟通直接要给改水管，我要求他们出示证件以及相关文件，没有，直接给我停水。联系水务公司，踢皮球到现场施工人员，施工人员说水务公司是指示他们来干活的，电话沟通就 ​​​ ...展开
我也觉得我一个人在异化全世界所以我真的一直是主流，尽管只有我一人
从鲁豫这番话中，我突然又意识到一个问题，就是所谓的女性化的那部分，对于女性的“女性化特质”我有一些疑惑，我认为什么男性女性的特质其实也是社会化的结果，原本一个人类身上就是会具有很多特点，男性也有，女性也有，只不过因人而异，但是为了男权社会的巩固，就把人类分了出来，再用一些专有名词 ...展开
从鲁豫这番话中，我突然又意识到一个问题，就是所谓的女性化的那部分，对于女性的“女性化特质”我有一些疑惑，我认为什么男性女性的特质其实也是社会化的结果，原本一个人类身上就是会具有很多特点，男性也有，女性也有，只不过因人而异，但是为了男权社会的巩固，就把人类分了出来，再用一些专有名词 ...展开
希望出播客！因为我也想听啊！
//@莉莉白的传说://@写南嫱:女代表们真的很棒
@-未央-_
光是外表都这么迷人，况且还有颗迷人的内心！
保存一下
//@nownow:贵阳实验小学
//@陈阿信的小女巫:对，我就活生生的在你面前，而你却只看到又高又远的东西，可是那些跟我有什么关系呢？甚至正是那些又高又远又庞大的东西给我造成了痛苦。
//@丁禹兮:非常开心的一次拍摄，谢谢@时装LOFFICIEL 
@小慢吖_ 在这里
热起来！//@小慢吖_:心要热起来。❤️
//@椰青咖啡真香:存
我推荐@丁禹兮 为2024#微博年度星光人物#，希望TA继续站在热爱的世界里闪闪发光！一起来#微博之夜#推荐你喜爱的TA，加入粉丝战队，抢占成就席位，还有机会赢取盛典门票亲临现场哦！戳&gt;&gt; ​​​
我在丁禹兮超话抽到了R卡“心动相禹”，快来试试你的手气如何！网页链接 ​​​
哇！
//@小慢吖_:永恒之女性，引领我们上升。
丁禹兮超话  ​​​
人性真的是一次又一次的震撼了我。此时此刻我也在心乱如麻。 ​​​
“是需要一个光明的结尾吗？”
😁
