人和人如果不在一个层次上， 那么无论你做什么， 对方都觉得不对， 所谓层次，不是社会地位， 而是人品和认知事物的清晰程度。  —— 杨绛 ​
🎐  有人问：“世上什么最容易，什么最难？” 泰戈尔答：“指责别人最为容易，而认识自己最难。” ​
佛经里有这样一句话： 境随心变，允许一切发生， 你要学着接受身边的一切， 不必强求，顺其自然些， 让花成花，让树成树， 让自己成为自己， 也允许别人成为别人。
读书  是世界最无用事 亦是世界最有用事 ​​​
