到底是谁晚上九点还喝咖啡啊我一点都睡不着 ​​​
我今年是怎么了！！！！怎么会那么倒霉 我没招了 ​​​
p1 学校摸底考英语 头都要做烂的wyx！！老师你不是说很简单吗p2又是老搭配了 啤酒➕江小白p3纪念一下自己第一次学到一点半p4ysy求我跟她去拿快递 再三让我换睡衣 我坚定的说不换 我也没有想到人那么多啊p5玫瑰贝果我太爱了p6我的室友每日投喂（对了她还会剥好石榴 剥好猕猴桃 ​​​ ...展开
头发你再掉掉看呢 没有人会崩溃 日本人可以考研吗周六就是去大拍特拍 ​​​
这个小女孩系列太喜欢了！！我一定还要买 来哄着自己读书 去吃珠光玉 上次去吃还是n人行 这次就是两人行了 要是玫瑰贝果是记忆面包就好了 吃进去全部背的了 ysy和我的屁股 ​​​
铭记历史是最好的纪念。中华民族14年抗战，14亿人民，14条彩带。 ​​​
清早谁会拒绝一杯香香的小杯面呢？痘痘你再长长看呢？谁懂大晚上回去复盘写题突然放到我怀念的？？怀念姐实锤了笑死了丹丹写的“没救了”我写的“没招了”看样子是真没招了到底是谁去逛超市买一堆泡面 归来仍是泡面姐 🐑📖☁️的小老鼠 太可爱了！！ ​​​
333终于开始二轮了 不容易啊！虽然其他人早就完了 但是别管 我有我的节奏从家带的鸡棕 香喷喷 对了我的好朋友生活里面 我的参与感拉满哈哈哈哈哈 ​​​
偏头疼要如何？？虽迟但到？？？ ​​​
干就完了 ​​​
乱七八糟的照片 跟我一样 每次吃之前都忘记拍照 米线像是别人剩的 嘻嘻还好今天我姐姐来昆明带我吃好吃的 不然好日子真没有了 ​​​
回来超级幸福啊 遇到了超好的老板 免费喝了很多鲜啤 才知道昭通好小 原来啤酒店的老板是父辈认识的 wyj每天都在被我逗哭 还有就是回来就不想看书 以至于我妈已经看不惯我在家里呆着了 希望明年可以收到好消息 ​​​
奇怪了 一回来就像怎么了 一天睡到晚啊 好睡的很啊 ​​​
怎么能这样啊 又梦到了 再这样下去 真的要当梦女了。。。 ​​​
回来就吃吃吃 超级大芒果 还有削好的水果 以及每天被我逗哭n次的弟弟 ​​​
我以为用上金色传说我可以秒睡！今天下雨好适合睡觉 算了昨天就休息了好久 回家倒计时四天！！ ​​​
第一个到教室以及每次才洗完头早上都是超绝高颅顶 ​​​
蜘蛛都来了 这是在暗示我一定可以考上吗 哈哈哈哈哈哈哈 ​​​
哈哈 们咋个整 ​​​
今天早上怒睡到9点 昨天晚上也是一点看不进去 索性早点回去哈哈哈哈哈哈 我室友回来“你今天怎么那么早”我说“因为我看不进去”她说“逼自己看”我说“逼了，还是看不进去”怒写一大篇备忘录 我备忘录是我的负面情绪输出地方 ​​​
为什么发微博呢 因为微博的都是和我很熟的好朋友哈哈哈哈哈哈 考试这种事当然是她们都知道的哈哈哈哈哈哈哈 不用藏着掖着 爽！！！ ​​​
