傻逼boc 都滚 ​​​
没事，拿boc的offer 在这上班就是我纯见，一想到过年还值了两天班我就更剑了 ​​​
芜湖#猎罪two见之约定卡#
眼泪配饭的滋味小时候没怎么尝过，现在倒是不少感受 ​​​
#肖战的夜晚时光#
这b世界撒时候才能爆炸? 放我去死 ​​​
永远期待檀儿
期待沈翊期待檀健次@MIC檀健次JC-T ​​​
#建议i人都去尝试十点睡五点起#谢谢 最近都是五点睡十点起夜晚于我弥足珍贵 ​​​
我正在参与2024#微博电影之夜# #微博网友年度期待影片#线上荣誉推荐活动，快来和我一起为射雕英雄传：侠之大者助力，为大银幕点亮期待！微博电影之夜
绝了狠狠爱宝宝
学校广播在放《曲尽陈情》四年了，好像是头回我真的哭了...战战肖战超话  ​​​
#微博纪念背景墙# 我正在使用#檀健次# 粉丝认证号专属卡片背景，粉籍认证，你值得拥有！快来试试吧！ ​​​
