如果你的眼泪被忽视 那么这段关系就结束了 ​​​
人总是在拥有时最多疑 也总在失去后才懂得珍惜的道理 ​​​
我想要的只是一个感到疲惫可以依靠的肩膀 能接住我不知所措的眼泪和怀抱 ​​​
我反感的从来不是你不回消息，而是你敷衍式的回复所带来的冷漠感。一张爱我的嘴，千万个不爱我的细节，我讨厌口是心非的人。 ​​​
爱到尽头就应该恨死对方才好 不然总觉得有机会和好 ​​​
最美的是刚认识的那时，还不了解却又想赶快了解彼此的日子。最难的是最熟识的那时，不想伤害却又想离开彼此的最后。人在将爱时最心动，也在将分时最折磨。 ​​​
世界上最难的断舍离不是找不到理还乱的衣柜也不是总也填不满、止不住的欲望而是一个人对另一个人爱恨交织、拉扯不断的怀念 ​​​
有的人看似把爱看得很淡     好像得到和失去都不要紧     实际上呢   是一个会为爱心碎一万次的小笨蛋 ​​​
时间不是良药，什么都治愈不了，只是之前在意的事变得不再重要。 ​​​
你以为在你们断联的时候他会和你一样难过   直到你听闻他是轻松的快乐的   甚至有人一直替代你的存在   你一直不愿意承认自己看错人   但事实却一直在反驳你 ​​​
隐约记得那天我向你袒露真心  我和你说我之前过得不幸福  你说你不会像他们一样对待我  不会无视我的情绪更不会像他们一样对我说难听话   可后来你好似忘了你的那些承诺   你也变成了我最讨厌的人 ​​​
我当然知道用服软 撒娇的方式说出问题会更有效但我不想这样 我喜欢说反话 喜欢阴阳怪气 怎么难受怎么来 痛苦的应该是我们两个 而不只是我 ​​​
你鲜活的生命，只有真正爱的人才配分享。最讨厌的三个字就是：你变了。 ​​​
因为你的回应   所以累积了彼此之间的关系   也因为你的冷淡   所以累积了彼此之间的距离   罗马不是一天建成的   离开也是 ​​​
世界上最让人反胃的事就是你把问题揽在自己身上               本意是想给对方一个台阶下 结果发现对方真的以为全部都是你的问题 ​​​
如果说是真的爱我 那为何都说不出口 有时候我也会想 我们执着于一段关系的意义到底是什么 就算一些人能回来 感觉也不可能回去 其实自己也回不去了 ​​​
当我对一个人产生依赖之后    我会疯狂的胡思狂想开始展现我的占有欲和我的自私   如果我的爱成了你的负担     我抱歉我后退 我讨厌落差感    像我这样的人爱要千百遍回应     我不怪你我怪我自己 ​​​
无法共鸣的精神和不消化的内耗是极致的孤独     而我只剩沉默 ​​​
我在干嘛 我在看手机在各种app穿梭不停地接受各种碎片消息来消遣等待你回消息的这一段空白时间我在干嘛 我在想你 ​​​
我希望你能明白    对于真正需要你的人来说沟通从来都不是一件困难的事 ​​​
女孩真的是越开心才会长得越好看 ​​​
我必须承认的是我是一个擅长流泪的人我喜欢流泪给爱的人看它像是脆弱和敏感的显化直到很久以后我才明白过来眼泪代表不了什么它只是一种由你控制的天气 ​​​
我更多的情绪是敏感 是没安全感是胡思乱想 是悲观是自责 是觉得自己哪哪都不好 ​​​
我也是后来才领悟到两个人能一直聊下去是因为双方都有聊下去的意愿跟你找到什么有趣话题是没啥关系的 ​​​
如果爱情再次降临到我头上   我希望我最终能遇到一个害怕伤害我感情的人 ​​​
因为太想找个靠山     所以匆匆在一起    后来却发现是泥潭 ​​​
我懂你的苦衷  也理解你的难处  山高路远  我是你第一件抛弃的行李 ​​​
如果迟来的醒悟和道歉都太晚了   那就让离别教会我们懂得珍惜和悔改吧 ​​​
我假装无所谓   却发现你真的不在乎 ​​​
她扇你一巴掌先飘来的是香气 ​​​
祝你成为漂亮健康且会赚钱的女性 ​​​
你要是跟别的女生聊的也很开心就永远都不要和我说话了 ​​​
