这个点收到工作消息就是 从天堂到地狱 ​​​
已经在构思一篇一年后要用到的小作文了一年后发表完再翻回这条打卡 ​​​
凌晨一点半收到工作消息 怀疑人生 ​​​
Wabi Cofe比起加班更适合放空 羊肉汤店的老板和羊肉汤一样温暖 再次路过鲍师傅 饿了么小哥停在马路边随机喊美团小哥帮忙递下xx号外卖 美团小哥停住脚步转身去拿 人世间也太美好了8️⃣ ​​​
修改电脑系统时间设置 往前调三个小时的优点之一 还包括欺骗自己现在十一点零八分 还可以再加一会儿睡觉 累了💤 明早起来干吧叹气😮‍💨 ​​​
松弛小周末的晚上 ​​​
咖啡振奋不了厌倦的精神 但刺激到了敏感的膀胱 （下午一杯咖啡每四十分钟去一次洗手间 ​​​
人阿 就算清醒 也难免沉沦 ​​​
“如果你抑郁了，说明你活在过去；如果你焦虑了，说明你活在未来；如果你平静了，才说明你活在现在。”总是太多时候把喜欢的自己锚定在年少惊艳的时刻里反复回味 困囿在那些美好时刻里觉得此生难以超越 那些美好没能成为攀峰途中的落脚点 反而成了教人不敢往前迈出下一步的崖巅 返沪的高铁上 没什 ​​​ ...展开
少年时乘舟途中不慎坠入水中的剑 可能已经随波逐流地去往了武陵源 缘江而下支流汇入处忽逢桃花林 一路行至深处 路过芳草鲜美 也看过落英缤纷 从林尽水源的山口而入 曾经遗落的剑不知道怎么地就赫然插在那儿 风过鸣铁 少年停数日后辞别 但仍旧是赤手空拳乘舟而出 ​​​
兴尽晚回舟 ​​​
微信置顶都是工作群原来这就是牛马阿
呜呜好喜欢我的便当袋和MUJI家的便当盒Share食谱：1-🥩牛排自然解冻吸血水后用黑胡椒海盐腌制+欧芹碎（没有时间腌制我觉得用勺背给它massage下也可以）撒一点点橄榄油 空气炸锅叮6min后翻面再叮6min （喜欢全熟或者牛排比较厚可以叮8min）再撒点儿欧芹碎（这时候纯粹为了好看）2-🥒水果黄瓜切 ​​​ ...展开
强迫症的工作解压方式#工作哪有不疯的# ​​​
在我惯常的认知里 人应该越长大越坚强越理性 但人生经历同样也在丰富情感维度 带来敏感与脆弱 ​​​
胜负心死。好好读书 ​​​
我要开花 我要发芽（开始甩脑袋 ​​​
当我自己百度血常规结果 给自己看病的时候 我只会下 我一定是饿了 这种结论 从那么多种可能里迅速锁定了饥饿 不愧是我#百病不侵# ​​​
抛弃掉自己所有的主观情感和感性思维 回归理性思考 识别接纳表达疏导控制和重建 形成以客观存在为基础的判断 无论是对人对事还是对一段关系 皆可适用🙏🏻 ​​​
落日 黄昏 暮色 停云 霞光 这些从来都是美得势不可挡 真好 在喜欢这一切的年纪见到了这一切 #闲言碎语# ​​​
上海的冬夏界限真的有吗 18度的天气里生生燥热地把空调开到了16度  好像从太湖湾带回来的感冒还没好 当然从太湖湾带回来的躁动也没散 ​​​
分享视频 -Horea-的微博视频 ​​​
想把牙套一起丢进这个大桶里！ ​​​
作死作息 ​​​
向风奔跑吧 吹散的发梢都在自由呼吸 ​​​
怀着寡淡的心情走进缤纷落英中 带着暮秋的情绪感知春意盎然处处世若大梦 胡为劳其生 ​​​
贴切地仿佛是我二十七年生活观察笔记的结论
@MBTI小行家 根据我的微博判断一下 ​​​
晚上十点在健身房镜子前药球下砸的时候 哗啦啦六七个男生在我身后开始脱上衣…摆出妖娆的身姿开始对镜合照…落荒而逃 还差点儿被药球跘倒 还好今天没带眼镜 口嗨届王者 现实中弱小 我终究是不行不行不行 ​​​
生活里绝大部分的焦虑 往往来自于对自己的不满意 从没有办法容忍一个错别字 一个可能不那么周全的表达 到没有办法容忍一个错误的决定 所以 与世界和解的本质可能还是与自己的和解 平静地自我内耗 就是一种看似古井无波 内里迅速灰败的状态 用上世界就是巨大草台班子的视角先建立自我认同吧 可能会容易 ​​​ ...展开
玩累了… ​​​
困到出电梯撞到教练怀里 困到差点被跑步机甩下来 好困好困 我已经不适应加班了 ​​​
#徐家汇# 要不是我最近勤于锻炼 是无法从11号线下来走到徐家汇9号口的 ​​​
不敢相信 周末走的这么突然 我化了 ​​​
开工一周内的精神状态 ​​​
#十年陈奕迅# 老朋友在一起设想未来的时候总爱说十年之后 好像十年够完成所有想要的改变 又好像是十年是所能保证的这段关系平稳持续地最短时间  09上初中12年上高中15年上大学19年读研21年工作 09至今以日计发生了一千多个十年 总是漫不经心地从一个故事又走进另一个故事里 所幸时间是这样地神奇 一边 ​​​ ...展开
#要久久爱# 呜呜呜无论长到多大都好爱这种故事 连带着喜欢上孙燕姿 许愿陈奕迅周杰伦五月天孙燕姿演唱会2024在现场 ​​​
今天就很莫名其妙地 格外期望 所有人都能拥有十全十美的过程和结局 -Horea-的微博视频 ​​​
现在你有59秒的时间思考到底要不要穿过这条马路了 ​​​
灵魂生于理想世界 但走入凡尘俗世轮回 所以迷茫难寻出路 所以挣扎不甘现状 看似汲汲营营 但实则不忮不求 只是摸索着找一点理想世界的自己吧 ​​​
繁花的感情线 够我想十年吧 ​​​
第七天 我终于有2024愿望啦 ​​​
