我不会失败 我只会成功或者拥有一些经验 ​​​
每次做指甲 当时做上都不觉得有啥 只有之后翻视频才觉得好漂亮呀 ​​​
怪我骄纵难哄这个id每次取都取不上 于是我转念一想 不如理直气壮 ​​​
omg翻了翻记录我才意识到这已经到我这两年的最低体重了 ​​​
10.01早餐40g上好佳虾片午餐一桶粉面菜蛋一瓶可乐➕两个小熊可可饼干居然这么快就到十月了 感觉好神奇 今天不太想称体重 因为最近一直卡在109下不去吧唉 1号2号3号打算要冲刺一下 冲到109以下 ​  ​​​
上初中的时候打印了很多贴纸为了贴公共厕所上取卵子的小广告 一直没用上 因为我见过的厕所里从来就没这种东西 一直以为是现在社会环境好了 直到中考那段时间补习 好朋友要上厕所 我俩走进了一家地下商场 才发现墙上真的有很多 我才猛然醍醐灌顶原来这是新时代的何不食肉糜 ​​​
对啊我就是有公主病因为我的好朋友同学老师都特别特别好呀真的有点溺爱我虽然我不知道为什么 ​​​
所有人吃饭暂停睡觉暂停喝水暂停洗澡暂停干啥的都暂停zsk答应陪我出去了 ​ 专栏 · 我要烤软软小面包 ​​​
109.5早餐蔓越莓牛轧糖蛋白棒一根午餐可可燕麦蛋白棒一根 半个荷叶饼就这吃法嗯… ​  ​​​
气死我了我不吃泡面了呀 我他妈要吃一天蛋白棒 ​​​
09.29 109.9早餐 半个玫瑰荔枝三明治午餐 紫薯松松三明治加餐 一个曲奇小丸子我就弄不懂了这很多吗 为啥会一下子体重上涨这么多 也没有很咸啊 ​  ​​​
喜报 我明天打算吃泡面 ​​​
9.28 109.1早饭没吃午饭半只窑鸡去皮晚饭三只虾➕一盒鸭肠本来没打算吃晚饭 但是晚上莫名很想吃虾 所以还是吃了一顿 本来有点担心吃的太咸会储水的 结果体重还是下降了 虽然下降的不多吧 这110以下瘦一点和要了命一样 晚上把我饿的都哀嚎了才比昨天瘦三两 ​  ​​​
人这一辈子可以天真的时间实在太短 ​​​
dqy再瘦9斤别人就能看出来你瘦了了 ​​​
我就要玩玩玩玩玩 ​​​
下周末就可以吃巧克力饼干惹 ​​​
来来来 ​​​
还没有我的理想型爱上我说明我还不够屌 ​​​
09.27 109.3早餐一个馒头午餐一个馒头库迪抹茶拿铁半杯哦耶终于下110了 这个抹茶拿铁只喝了半杯是因为害怕太苦点了半糖 结果甜的齁的差点晕过去了 没办法实在喝不下 ​  ​​​
09.26 110.4早饭没吃午饭三块烤饼➕一块鱼肉➕一块豆腐求你了下110吧 ​  ​​​
你居然不喜欢我 ​​​
我他妈下次放纵餐绝对要吃烤肉 ​​​
好吧 那就算了 ​​​
好奇怪呀今天这么饿居然 那么明天一定会瘦的 ​​​
我受不了任何站在荧幕前的成年男性扮傻子…好想吐 ​​​
原来我与她 不是江湖夜雨十年灯 也不是欲买桂花同载酒 是人生何处不相逢 ​​​
对啊我就是有公主病 谁惯着我我就和谁玩 怎样呢 ​​​
相当喜欢这套了 不过墨镜丢了 ​​​
我一天想笑的要死 每次打球都奉行着你可以扣杀我但我绝不会捡球的卷则 ​​​
有的时候我会暗自埋怨恋人不够了解我 但我又不喜欢被了解的太清楚 那样的话就会被分辨出什么时候是真心什么时候是假意 ​​​
突然发现草稿箱里好多东西都没发出去 ​​​
蠢货别来和我说话了 偶尔心情好散发一下善意吧能给我蠢的这辈子都不想再大发慈悲了 ​​​
每次和人说我保护你结局就这样被带飞 ​​​
十四岁你许愿有人最喜欢你 我猜你不会想到 十七岁真的有人试图了解你的喜好再在一个平常的星期天送给你 只是想让你开心 ​​​
我不信什么绝对的缘分天定 ​​​
一上体重秤重了就焦虑 所以周三周四连着两天都没称体重 打算明早起来称一下 ​​​
感冒了请了假吃了药 热水暖暖的 被子软软的 下午要排练新的话剧 睡一会打算去上学  好幸福 ​  ​​​
我觉得自己很厉害是因为我什么都敢做 我从来不考虑后果 尽管这会给我带来一定弊端我也不在乎 ​​​
我减肥的意义就是任何我觉得很失落沮丧的时刻意识到我还是瘦瘦的美美的 我就觉得自己依然很强大 还是可以一往无前 ​​​
9.23 111.6那天上涨了心情不好忘记发了 ​  ​​​
09.22 110.6一杯库迪潘帕斯蓝茉莉今天比昨天瘦了整整一斤 ​  ​​​
09.21 111.6昨天放纵餐 买了很多想吃的东西结果吃不下去多少就饱了 体重涨幅就也不大 今天周天刚好不用出门 胃里也不想有东西 打算液断一天 ​  ​​​
09.20111.1早饭什么都没吃午餐星巴克川香牛肉法棍➕一个鸡腿 ​  ​​​
灵魂的欲望是命运的先知 ​​​
09.19 111.4早餐一杯热拿铁午餐板烧鸡腿炒双蛋堡这周末可以吃刘文祥和布丁麻薯了 虽然不知道为啥我不想吃了 ​  ​​​
分享图片 ​​​
 北方不下茉莉雨的微博视频   专栏 · 我要烤软软小面包 ​​​
因为我是一块只有自己能决定什么时候融化的冰 ​​​
