丹丹老师教育学打卡超话 p7五谷丰登馒头@教育学丹丹姐  ​​​
丹丹老师教育学打卡超话 昨天休息了一天今天补上！九月的最后一天啦！十月份不许偷懒！提前祝丹丹老师双节快乐呀@教育学丹丹姐 ​​​
丹丹老师教育学打卡超话 今天我要回家了啊啊啊啊开心呐昨晚不知道咋回事就是睡不着今天一看才4h我要回家好好养养明天去自习室学习！又回到暑假时的状态喽@教育学丹丹姐 丹姐要天天开心呀 ​​​
丹丹老师教育学打卡超话 按部就班！ ​​​
丹丹老师教育学打卡超话 @教育学丹丹姐 丹姐最棒！！！ ​​​
丹丹老师教育学打卡超话 不知道为啥很喜欢在这种天气学习 有一种即将世界末日的感觉hh但不喜欢到外面加油啊啊啊啊啊啊啊啊 ​​​
丹丹老师教育学打卡超话 台风天🌀 ​​​
丹丹老师教育学打卡超话 今天又忘记拍照了服了这个记性了但是！真的越背越快了太棒了！ ​​​
丹丹老师教育学打卡超话 好天气！ ​​​
从小到大好像都没有做成功过任何一件事情很搞笑人生前二十几年最高光的时刻是中考从一个差生逆袭到考上我们当地最好的高中现在也没了当时拼的心气“少年心气是不可再生之物”不知道这次我到底能不能做到总之坚持到最后 ​​​
丹丹老师教育学打卡超话 啊啊啊啊今天忘记拍照了今天晚上状态很差哎 ​​​
丹丹老师教育学打卡超话 啊啊啊啊啊啊真想跪下来求自己别再胡思乱想了但发现跪下来还能想今天中午为了警醒自己甚至不惜扇了自己几巴掌结果是脸火辣辣的疼到现在@教育学丹丹姐 脑子也不听劝 ​​​
丹丹老师教育学打卡超话
丹丹老师教育学打卡超话  下面开始对着考纲费曼啦～五本全开加油！要更努力一点！ ​​​
丹丹老师教育学打卡超话 一定会越来越好的！！！ ​​​
丹丹老师教育学打卡超话 按部就班就是伟大！ ​​​
丹丹老师教育学打卡超话 楼梯间（阴暗版）hh@教育学丹丹姐 最近因为一些人际关系方面的问题产生内耗哎好烦😫 ​​​
丹丹老师教育学打卡超话 心无旁骛，关注自身！！ ​​​
要更努力！ ​​​
感觉好苦啊但后来也想明白了，大家都苦而且这是我自己选择的，要是说现在干脆放弃，你能做到吗？不考研你又后悔，决定了干就完了，有情绪很正常，今天就很好呀，哭完又开始学，下次记得带纸，要不然又得擦衣服上。洗完澡回去买了根烤肠就很开心🥳感觉自己瘦了hhh ​​​
丹丹老师教育学打卡超话今天忘记拍照啦呜呜呜但没偷懒！祝丹丹老师教师节快乐呀～～@教育学丹丹姐 ​​​
打卡✅ ​​​
我的姑姑—简直是我的人生导师拯救过我一次又一次希望我也可以成为她这样的人啊（我姑姑是博士后！太牛了咱就是说） ​​​
"#🐟的考研日记
# 20250907今天发现考研的同学还挺多的，一下子一开始焦虑，不知道为什么，就是感觉自己是不是太过于理想化了，太高估自己的学习效果了，好像学的没有别人好…后来又想每个人考的专业、学校都不一样，我自己也在按部就班的学习啊，考研人哪有不拼的呢，所以没事的，干好自己的事情， ​​​ ...展开"
丹丹老师教育学打卡超话  今天吃了老多好吃的hhh教原默写忘记拍了开学坏还需要适应几天 ​​​
丹丹老师教育学打卡超话  @教育学丹丹姐 今天默写了外教重量级教育家！明天回学校了收拾出了整整两大袋书 ​​​
考研日记本📓 ​​​
丹丹老师教育学打卡超话  今晚是在自习室的最后一晚啦，特地拍了一张照片，还有一点小伤感（明天早上再去半天），下午回家收拾行李，一堆东西等着我收拾晚上带了一批书回家，真的好多，本打算先整理一下，才拾掇几本就烦了，明天下午再说吧。现在很喜欢在ipad上默写，因为感觉很方 ​​​ ...展开
