刚入宅时看的番了 今夕是何年啊
转发
转发
还很好奇为啥这么多年你都不提当爷了我是在15年三专入坑的，那时他的事业已经在走下坡路了，这两年更是没啥消息，一直跟着Queen巡演，没怎么发展自己的事业，非常可惜，这次来中国就算是因为歌手节目热度高也没预料到他能🔥到这种程度，又把我整兴奋了，真的很开心他能被更多人喜爱，他值得！
肯定唱得松弛 没办法 这首对他而言太简单了所以我们都希望他唱点别的 
九年老粉表示这两天都很激动。。别是飞行嘉宾啊🙏🏻 另外如果王力宏也能来我就没遗憾了！！
直接颁奖好了 这还比啥？？ 是当今流行乐唱功TOP1、也是Queen的现任主唱，放眼世界也没几个能和他扳手腕的吧
IMAX 2D的场次太少了！今早跑远去看了，体验极度舒适
回复@丨咸鱼明天就翻身:那就是史上最强的四月了！//@丨咸鱼明天就翻身:4月一起上吧这样就可以看苍鹭与少年，间谍过家家，哈尔的移动城堡！！超级开心！！！
转发
从小到大最爱的作品之一，和哆啦一样时至今日都在看，还买了手办和漫画，一想到龙珠超与剧场版再也没有大师加持的后续了，内心有些空洞和失落，像您这样的漫画之神一定能去往美妙的天堂吧
牢师没说错啊 真没能让宿傩大人尽兴呢[交税]
务必请上IMAX大屏！！！
