早就是不悲不喜 不怕不怯任何人与事了 因为自愈能力越发强大 ​​​
已经有了离开的念头 真的感觉身心轻松了很多 很多很多 ​​​
原本是快乐的 这几年没了 ​​​
被牵动的情绪不稳定要心静 心静 ​​​
没有人能体会到我的心情 ​​​
不怨天尤人 都是自己的选择 人生就是在不断的选择中成长起来的 ​​​
我是美的没错#怪美的# 娃娃蔡吖的微博视频 ​​​
小人畏威而不畏德 ​​​
人的心情总在某个时刻是无语的 心顿时就停了一下 甚至于感觉自己死了一样 痛🤯 ​​​
做梦都想有个自己的家 ​​​
原生家庭的伤害真的让人窒息 ​​​
谁都不会在意你的感受 都只在意自己 我明明知道 但是总渴望 ​​​
对着镜子看了很久很久 我身上多了很多很多枷锁 生活不可怕 可怕的是我 ​​​
好累 过的真没意思 ​​​
