🥲同意
早睡早睡早睡！！！！
#方大同去世#我还没有去过你的演唱会呢 ​​​
一切顺利！让我工作轻松一点吧不要加班啦
#生活手记#怎么可以这么冷🥶🥶🥶🥶🥶🥶 ​​​
哥哥好帅啊啊啊啊啊啊
耶！上班最后一天 ​​​
怎么这么忙啊啊啊啊啊啊 ​​​
耶耶耶耶耶耶
啊啊啊坐等坐等！！
陈奕迅《孤独患者》 孤独患者（来自@QQ音乐 每日30首） ​​​
#嘘国王在冬眠#嘿嘿好期待欣欣子和林一的新剧 ​​​
嘿嘿接好运
#怪奇物语#啊啊啊啊啊等不及想看了 ​​​
一切顺利
好喜欢吃地瓜干 ​​​
妈耶这车也太多啦🥲🥲太堵了 ​​​
#seventeen北京#下次来青岛吧谢谢 ​​​
🎵  ​​​
根据我的微博内容，给我取十个微博ID@九型人格小行家 ​​​
#SEVENTEEN北京#就是说能来青岛吗 ​​​
新的开始🎧梦 @QQ音乐 ​​​
#XG世巡中国场#如果可以请让我抢到票 ​​​
嘿嘿期待第四季#克拉克森的农场# ​​​
嘿嘿有电影看喽//@TFBOYS-王俊凯:#电影野孩子定档暑期# 努力奔跑吧，即使生长在没有阳光的地方，7月12日，好好长大！//@新浪娱乐:如野草般生长，如家人般陪伴。7月12日，好好长大#电影野孩子定档暑期# #王俊凯新片里捡小孩了#
#刘亦菲一出场我就恋爱了#姐姐太美了啊啊啊啊 ​​​
🐺
//@徐明浩_The8:Spell
ISFP超话又是墨迹迟到的一天🌞 ​​​
🎬🎬
Md好帅
燥候
我凑炸啦炸啦
@MBTI小行家 根据我的微博，判断我的MBTI ​​​
🔂 Training Season (@网易云音乐) ​​​
猫猫
哈哈哈哈哈⁼̴̤̆ ꇴ ⁼̴̤̆
来财来财八方来财
#0713圆梦了#0713！！一直走花路 ​​​
炸了炸了
好听爱听多听
嘿嘿大橘大利大橘大利！！！
晚安 坎离xi小姐 ​​​
🪟窗外边真热闹 ​​​
