可是有些事情 自己明白就好了
翻篇吧 没缘分
太相信别人没有好下场，你教我的。我以后还是会相信别人，只是不会相信你了。 ​​​
其实我看的很明白，不愿意承认一些事情而已 ​​​。 ​​​
好累 明明也有好好对身边人
