我像海绵一样拼命吸收每一个知识点 ​​​
逻辑思维真的很重要！ ​​​
对大牛们祛魅了 大家都会犯错 ​​​
讨厌反驳型人格 贬低型人格 结果我妈全占了 ​​​
🙏
Repost
有时觉得自己一无是处 有时又觉得自己很了不起 ​​​
世事无常 ​​​
🙏🙏🙏
我同意
新的一年 事事顺意 ​​​
病去如抽丝 ​​​
又被国男吓到了 ​​​
Repost
#牢尸猴的红包#我在@牢尸猴 的红包中抽到了4.62元，你也快来试试手气吧，比比谁抢得多！ ​​​
//@折枝做梦甘露寺重生版:有急事默念一万遍这句话：
又是稀碎的一年 ​​​
#我的微博播报# @老天才 @Ixtab @千万别听我瞎说  所有趣事都要共同分享，在一起就是多巴胺制造厂2025年也请继续陪我在微博这个小天地里遨游吧。快来&gt;&gt;一年一度！我的微博播报发现你的“灵魂伴侣”吧！#微博之夜# ​​​
#我的微博播报# @老天才 @别捏我的婴儿肥喔- @Ixtab  每一次互动都欣喜不已，这一年最最关注你~快来&gt;&gt;一年一度！我的微博播报一起回顾这一年在微博闪闪发光的瞬间吧！#微博之夜# ​​​
看哭了 ​​​
从前追求华丽的词藻，现在喜欢平实的文字。 ​​​
写得太太太太太好了 一口气看完
下雪了。 ​​​
恩 ​​​
好有同感 我真的很享受一个人 但爹妈还有亲戚们都觉得我很孤独 其实一点也不 反而乐在其中
我现在是焦虑肥 过劳肥 ​​​
🙃//@S10E29:and rot in the deepest pits of hell
哈哈 每句话都被说过n次 让我怀疑性格内向是不是什么十恶不赦的大罪//@一颗眼下痣_:真理//@hap_hay_hax:所以我不想见这些人，只对这种人内向
一针见血的//@罗优秀还要做罗优秀:甚至可能负分//@这个码农不脱发:生活质量满分，情绪价值0分
扩扩
大家来看！
竞技体育真是满满的遗憾😞 ​​​
什么鬼//@猫丸酱w:哈哈哈哈笑拉了//@爱踢答人:我勒个大翻译啊！！//@维多梨鸭Victoria:在哪里捡的翻译哈哈哈哈哈哈//@心动收藏站:我勒个三十天速成世界冠军
期待
写东西要先感动自己，然后再感动别人 ​​​
吉林入夏失败 ​​​
讨厌家庭聚会不是没有原因的。每次二三十号人挤挤巴巴地坐在一张饭桌前，一个个满脸堆笑互为彼此的捧哏高谈阔论，营造出一种和和美美的家庭氛围。可下了桌转头又开始东家长西家短地对这个那个指指点点，好像酒桌上的那个人是他们分裂出来的另一个人格。我做不到分裂出来第二人格，所以我与大家格格不入 ​​​ ...展开
大家请看
夜访一集后面的insider针不戳 看到了演员们对自己角色的剖析 还是很喜欢妹宝 ​​​
申论作文更是如此哈哈
一切有为法，如梦幻泡影，如露亦如电 ​​​
家人就是这样，有时治愈有时致郁 ​​​
Marjorie Green Taylor 说地震就是上帝在深深叹息 人们需要忏悔 那完了 我今天得忏悔了 ​​​
//@柑橘是种水果:千手观音
那当然没有
一生等上岸的痛……
一切都是最好的安排 ​​​
心累 到底还要多久 ​​​
吃油油的饭让人开心  ​​​
果然 人的潜力是无限的 ​​​
没有工作是我最大的过错 ​​​
世界是一个精神病院 ​​​
我来打call
时间真是又快又慢的东西 ​​​
世界上另一个我
好不容易把过年那天的剩菜吃完了 今天家来妾又做了一桌子菜 得 继续吃新的剩菜 ​​​
现在情绪越来越稳定了 有些事搁以前肯定要吵吵几句 现在只觉得没必要 嗯 我成长了 ​​​
#小品 无聊#辽视春晚小品真是堪比老太太裹脚布 ​​​
哦豁//@Ixtab:？？？？？？？？//@微博开新年:恭喜成为今日份幸运儿，这条微博已被官方选中为接龙微博！用户转发即有机会开最高888元红包～快去引导大家互动吧！互动量增多你还可以砸金蛋抽奖，获得曝光、涨粉等官方重磅资源扶持！#转发接龙开新年# 点击查看：新年接龙大会
Repost
哈哈 ​​​
翻脸一定要趁早，这样别人就知道你的底线在哪里了 ​​​
我谨记
希望我爹妈能少说我几句 那我就会快乐一点 ​​​
//@janzgdyabag:是这样的，忍让和理解的次数多了会发现大部分（其实应该是全部）让你不舒服的人一开始就该彻底断联，免去后面的一切烦心
我才发觉自己有一个问题 如果别人让我觉得不适难受 我第一反应总是忍让而不是反击 ​​​
家庭聚会 我永远的痛
我昨天刚看完 很好看
