好看
一个月连着跑五趟宁波什么水平 ​​​
好想死 ​​​
我一直感觉自己像个孩子，并非只是为了逃避成年人所谓的责任，而是体现在各个方面。我觉得自己处事不够成熟，或者说太孩子气了，遇事只会非常着急，晕头转向，每每犯错无可挽回，最后又继续内耗，直到事情解决好就依旧会心有余悸，反复内耗，然后接着下一次继续遇事犯错内耗的死循环。我看着大家毕业以 ​​​ ...展开
水逆退退退 ​​​
11111
事事顺，关关过。 ​​​
也是成功上岸了 嘻嘻 这里先提前发一发 ​​​
于是情人节的夜晚来吃了甜品，怎么不算甜甜的呢😜 ​​​
急急急 ！求好运！求上岸！ ​​​
所以我选择了辞职
StrayKids周边超话 新春大吉 我来出卡 祝大家发发发！标价出 ​​​
水逆退退退！ ​​​
让我感到舒服的生活状态即使不发朋友圈也是很好的生活 ​​​
在年末回想起之前，24年是我参加工作的第一年，也是负面情绪完全扑向我的第一年，始终是活在痛苦中，很多事情都是第一次，也是在经历觉得角色的转变。现在也是一步步过来了，但是依旧痛苦，只希望在未来能够好好的，争取能找到一个适合自己的方向。很多事情以为毕业了之后就能实现，结果仿佛是停滞了， ​​​ ...展开
好累好疲惫勇于中断一类关系但是依旧学不会自己看衣服我总感觉所有牛仔裤都一个样怎么个事 ​​​
讨厌自己控制不住这张嘴 熟了以后吐槽乱讲话 ​​​
讨厌一切恶心的人 ​​​
苹果的实况图真的多好的没话说 ​​​
兜兜转转 已经12月了啊被工作摧残前的眼神vs工作三个月之后没有光了 ​​​
什么时候能改掉丢三落四的臭毛病 ​​​
好累啊身心俱疲 怎么工作会这么累 ​​​
睡不着。。。。。 ​​​
永远不要为说过的话，做过的事情，后悔永远不要为没有发生的事情担心因为事实上过去的没有办法改变，未来的更没有办法预料，人唯一能做的就是活在当下毕竟只活这么一次，再怎么尴尬，再怎么上头，再怎么在意，再怎么难过，终究还是会化作一捧灰逝去最近感觉真是饿了，工作到想谈恋爱什么脸红的思 ​​​ ...展开
呜呜呜呜囚于永夜太好看了啊啊啊啊小树和green迟在另一个世界也要好好的啊啊啊啊呜呜呜 ​​​
惨惨的 ​​​
牛马是这样的 ​​​
走在路上碰到学生好尴尬 喊我陈老师真的会很想笑 ​​​
每日一问 什么时候才可以辞职 ​​​
赚钱的唯一好处就是花钱买自己喜欢的东西 ​​​
毕业生勇闯私立 第一份工作从脑子一热签订合同 到现在已经好多天睡不好觉 纠结合同条款开始狗屎 当初应该学法律 现在也不至于看合同一脸懵了 啊啊啊啊啊还我妈生月薪 ​​​
狗屎人生 ​​​
我服了我自己 能不能办事情靠谱点。。。。 ​​​
萌 玩恋与深空， 做幸福女人！ ​​​
好累 ​​​
狗屎人生 天崩开局 ​​​
今天是农历生日 祝我自己生日快乐😊 ​​​
笑死了 第数不清几次教师编考试 这次是丽水 差四分进面试 招三个报了一百八 靴靴～ ​​​
本人现状如下： ​​​
现在提起考试 招聘 这些字眼我就想吐。。。 ​​​
要命 喝咖啡再次难受了 我是不是咖啡因不耐受啊啊 有点想吐 ​​​
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊心里烦闷 闷死了 好烦 ​​​
和专四专八分手喽 全都一次性通过 ​​​
决定了 我要玩不织布 这就去下单 ​​​
真好 学英语真好 天杀的报录比 还有你一句轻描淡写的考第一就好了 天杀的 但凡我能考上呢 你怎么不去成为首富？我请问呢？考编考的人心里凉凉的 真好 上辈子杀人放火 这辈子读英语师范 ​​​
答辩结束又一个人生阶段结束了其实感觉是茫然兴奋夹杂着无奈兴奋终于漫长的毕业论文结束了无奈还没找到工作听到院里90%的就业率 只想说一声 斯密马赛 拉低了就业率 接下来何去何从呢#冒个泡# ​​​
同时赶上三件事撞一起 偏偏一个比一个贵且耗钱耗时间还要准备 最终只能选择其一，很害怕竹篮打水，一场空好累好累好累 ​​​
麦香鸡老师我要做你的🐶 啊啊啊太会写了 古希腊掌管酸涩感的神 天台顾温姐一位 ​​​
回到学校有一种安定的松弛感 昨晚是这么多天来睡的最好的一次 小摊上的炒河粉好好吃 ​​​
好累啊啊啊 五一还要上课啊啊啊啊 ​​​
好累 英语语法是个玄学 什么时候才是个头 我好累 这个岸到底在哪里 ​​​
定稿了啊啊啊啊啊啊啊啊啊 Aansley的微博视频 ​​​
我请问呢 为什么标题也能标红终于轮到我说这一句 翟天临我恨你！！！艹！ ​​​
我觉得要呼吸不上来了 我大抵是病了 ​​​
毕业论文po一个苦中作乐 ​​​
拥有勇气本身就已经很有勇气。 ​​​
