有趣
图片评论 查看图片
我这几天也有同样的感受，印象里一些非常优秀女性博主对徐熙媛病逝整件事的言论让人颇为意外，完全失去了优雅和理性，甚至歇斯底里，感觉这个事件就是试金石，把平时隐藏起来的蠢和坏全都暴露了//@升值计://@我怎么哭了:这几天取关了一些女性博主，还都是我认为在各行各业有思想有头脑有见识的女性，一 ...展开
//@几苇渡://@9号Homgang:云冈石窟，北岳恒山，悬空寺，华严寺，火山群，古城，各类博物馆等都值得去。好吃的太多了，有特点的饭店特别多，刀削面、烧麦、黄糕泡肉、小米稠粥、抿豆面、抿八股、粉羊杂、兔头、凉粉、老火锅、盐煎羊肉等，消费不高就能吃好。最佳时间是5-9月，10月下旬就开始冷了，是相 ...展开
#plog#我的照片会发光超话夏天的开始 ​​​
//@lugiamax3000:Repost
//@一玶海岸:万一ai的成本也降下来了呢？//@明涛ECON:“只要我们工资足够低，AI就没兴趣替代我们”//@明涛ECON :经济的逻辑本来就是降成本啊，用便宜的工具替代贵的人才划算，用贵的技术替代便宜的人干嘛？#ai经济学#
