陈哲远超话 在线冲浪，终于遇到你啦！ ​​​
每天都在自卑容貌焦虑和被人认可后的短暂自信中来回横跳 ​​​
照顾好自己的健康和情绪 这一生 你就赢了一大半 其余的其余 人生自有安排 ​​​
永远别回头看 ​​​
通常大家得到的都是二手爱 别那么较真 ​​​
粘人才是我冷淡只是一些克制和感觉不到被需要的时刻 ​​​
可惜我脸圆圆的 好好吃饭这句话 压根轮不到我. ​​​
有时候在想我嘴巴这么厉害 但凡心有嘴巴狠一半 难过的就不会是我 ​​​
总有一天 我不会再问离开的人为什么. ​​​
讨厌搬家 所以一定要有个自己的家 ​​​
我可以接受你疯狂的爱过别人 但我不能接受你给我的爱比当初逊色半分 ​​​
一直觉得主动告别是一件特别残忍的事 后来才发现人的精力是有限的 我不可能永远都在害怕失去. ​​​
我的梦想很小 只想有个自己的小家 有一点点的存款 健康的家人 安稳的生活 可我的梦想也最难. ​​​
我的新年愿望是：                          有人把我当愿望. ​​​
