拍似锦辛苦了🌹🌹🌹
给甜宝
期待景甜似锦
期待//@A-ZI阿紫:没人闹哈期待景甜姜期待景甜主演的似锦早日开播❤️
甜宝中午好啊
恭祝甜宝澳门之行取得圆满成功
超级棒👍
亲爱的甜宝你好？网络上夸赞你那是他们说了实话，若诋毁你那是他们嫉妒你，这都能接受。唯一让人揪心[爱心]和疑惑的事 11 月 1 日刚看了你给大家发的视频，可昨天他们有说你身体不适？警官他们说的是假的，这都让人很揪心和疑惑。甜宝你的刻苦努力对事业的重视，众人有目共睹，你也是众人公认的实力派 ...展开
祝愿甜宝早日康复
甜宝的头发逐渐张长啦啦
//@景甜:祖国统一，势不可挡。#台湾自古就是中国领土#
景甜的状态更好
祝甜似锦杀青快乐
祝贺甜宝又完成了一部新剧
景甜是很善良但绝不惹从来都是赢家
太好看了
看见甜宝就开心😁
٩(◣д◢)=3⁼³₌₃⁼³₌₃⁼³₌₃ he～tui～～～٩(◣д◢)=3⁼³₌₃⁼³₌₃⁼³₌₃ he～tui～～～٩(◣д◢)=3⁼³₌₃⁼³₌₃⁼³₌₃ he～tui～～～ ​​​
给我们的文星说点啥呢？
多
甜宝可爱
威武
不知道说啥好
景甜真是太棒了，怪不得武打片拍的那么好
已经看了好几遍了
祝贺甜甜新剧即将开机
认同
甜甜回西安啦？
#微博头像挂件# 我正在使用“冬季企鹅”头像挂件，你也快戴上吧！  ​​​
哇哦~原来我的2021跨年关键词是这样的！点亮你的跨年好运头像，祝福2021好运一整年！#微博头像挂件#  ​​​
我刚刚在“会员抽抽乐”活动中抽中了【3天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt; ​​​
