//@咆哮女郎柏邦妮:伟大！！！！//@罐头辰://@颜文字君:了不起｜д•´)!!//@捶扁洋芋:特别好//@婉司姬:女科学家伟大
专注自身
笑死了
转发
转发
转发
接受失败和丢脸，承认自己并没有那么厉害，从非常小的事开始落实。
//@蕾雷枪:非常期待这样的开放关系，但基本在此地是不可能的。//@小香走奈儿:对不起又很想讲一些性别麻烦。关于一见钟情，如果是我遇到，或者大部分女性遇到，个人判断肯定会跟燕一样，会跟《世界上最糟糕的人》的女主一样，立刻回去提分手。但如果我单身，一见钟情的人是有对象的那个，哪怕我们天雷勾 ...展开
//@蕾雷枪:这篇真的写得太好了……非常touching，我尊重自己会爱上情感残疾的人。
我读完波伏娃确定自己绝不蹚婚姻这浑水//@蕾雷枪:跟离过婚的女友聊天，她说：终于确信一对一的严肃关系对任何人都是枷锁了
//@推拿熊:我直到现在也不懂啥叫社会化，但也活下来了，而且活得还行，于是我发现所谓的社会化很可能就是一群懦弱而不敢为自己伸张正义的人为了骗自己发明出来的“世故”“潜规则”“饭局规则”
转发
//@次等水货://@牯岭街少女://@todayis_RS:詹青云也说过“我们应该允许：我在行为上的选择跟自己的认知有偏差、不一致，就是我的认知可能已经往前面走了，但是我的行为还因为惯性、还因为现实，为了做一个合群的大人而留在原地。我们允许我们给自己这样的空间，让行为在慢慢的进步。”🥹🥹
//@Shytinex:唉//@十一SYSU://@九三JD ://@同位素氢 ://@狗奶直饮 ://@艾米结月厨 :再转一遍。这位同学好不容易考上研究生，自己辛苦做的实验，被导师把原始数据给别人发文章导致自己毕业无望，就在元宵节后一天在出租屋选择烧炭紫砂#大连医科大学#
转发
收藏了//@武志红:分析得透彻。👍
被讨厌的勇气
支持//@武志红:支持。//@安定郝姥爷:支持支持//@罐头辰:支持//@王太弱:非常支持的//@_Reno_挚爱FF:支持//@卡卡荷光:支持蒋胜男代表的提议，取消离婚冷静期
//@推拿熊:fantastic//@桅上鸦:怀疑一切的时代是看见自我的一架直梯。
：所谓活着的体验，源自于一个人完整且连续的持有着自己的经验，是一个人能不断将新的经验纳入到自己的核心叙事中，活着的体验来自于情感的延续和更新，它必须要在一种非防御的本真状态下才能获得，这是人天性中存在的范式，除非它被劫持、阻遏、破坏。
🙌🏻 //@崔庆龙_:如果一个人为此疼痛过，痛不欲生的那种，那么ta在某天开始承担自己生命时必然会体悟到这些话。//@赤脚踏进风里:崔老师再一次为我正在思考的课题做了更深的解析，前段时间被一句话打动：“成年人的世界就是把责任拽回到自己手中”，此刻读这段文字更是深有感触。学会把选择权握在自 ...展开
最近的议题 又被崔老师监控了！
真好
自由
笑死//@杜扬Seatory:笑鼠
才知道！太开心了！看起来！
