hhhhh//@人生数禁止顷刻分明:咱排收到的pantie和bra还不够多
外网已经讨论起来了，大国名声又打出去了//@温情grace:丢人现眼，有辱国格//@一直想梳分头的张盒子:甚至侧面也反应了有些官方的版权意识
//@免疫学L老师:哇哦，她为她的行为付出了法律的代价；但是我个人也要作为社会的一份子为她的这种反抗送上我的支持//@燃烧的雾港水手:天啊她好厉害，期待上映，今年算是国产文艺片的丰收年了，看到片方特意感谢了评审周冬雨//@文刀大土申:才知道，电影是根据赵萧泓个人的真实经历改编，她因反抗 ...展开
…//@JoannaBlue://@格兰芬多公共休息室:啧啧啧//@罐头辰://@蘸盐:“不装了！我其实是金翅大鹏鸟”//@顺顺利利健健康康2050:投标129次，中标129次，中标率100%
//@cyber沉香闭嘴中:炒冷饭，论“反跨”如何成为新时代全球极右fascist温和狗哨的：
//@叉prohibit:还有吴亦凡、蔡徐坤的妈……都觉得自己儿子无辜白莲花，都是外面坏女人勾的，都妄想把儿子的违法罪犯行为完全抹去，然后遭到更大的报应//@600607cc:很多犯罪的男宝妈就是这样，满口谎言，千错万错都是对面的错，自己的儿子是无辜的。大同强奸案的男宝妈、武汉大学图书馆事件的男宝 ...展开
………//@HeyWarWars:彭博社也报道了，真的丢人现眼 查看图片 //@納蘭尐捌://@杳杏檎:有辱国格//@EyaMMAya:丢人现眼//@afterglowanddaylight:woc恶心死了 真就自己擅自改的 别上映了
嚯 遍地都是青天大老爷//@西窗随记:丈夫被人用羊角锤打了判对方赔偿两万五，农妇不满意喊“谁这么判决，谁就没有良心”，被判罚款十万拘留十五天，好家伙
//@劳东燕2004:天生聪明抵不过信息差别。恰好看到理想国译丛序中的一段话：“此刻的中国与一个世纪前不同，但她仍面临诸多崭新的挑战。我们迫切需要他人的经验来帮助我们应对难题，保持思想的开放性是面对复杂与高速变化的时代的唯一方案。但更重要的是，我们希望保持一种非功利的兴趣：对世界的丰富性 ...展开
//@FUNNY-ANIMALS:好暖心啊//@韦嗯Wayne://@NeedAYeah:哇！这个思路//@银发的小卷子:希望国内也能逐渐推广//@蘑界生物千靥:这个路子感觉可以深入搞一下子哎，如果将来机器人更灵活互动性更好，这部分人群能做的事就更多了……//@煌豹小队长:这样的用法就挺好//@黄柯基KK:哎把机器人做成avatar是很早的 ...展开
omg//@酷囊-:dhgkkglhl//@QQ是边台:啊啊啊啊啊啊啊//@胖子很可以:顶！级！推！拉！//@晋啊卿:啊啊啊啊啊啊啊啊//@Evans_洋洋:欧米伽//@零分共同富裕圣母:喂喂喂//@_涛萱珠珠:气氛烘托到这儿了刘涛你躲什么？
挺有趣的两部
//@幻想漫游_:哇塞哇塞还以为是每个厕所门口安排一个人查ID或者是生殖器呢，结果干脆不让人上厕所了，老保在折磨人这方面已然是next level//@cyber沉香闭嘴中:啊沒没看完全文，以為是不認gender identity僅按sex at birth 分配，再一看是所有被認為是單性別空間的地方都不允許跨性別者進入。也就是說除 ...展开
🔥//@Basic_Witch://@恆星旅客:六年了诶//@海尘山下:不要遗憾，要记住。//@阶段缺位能源:awwww🥹//@阶段缺位能源:Repost 查看图片
