是的  这是我镜头里的颐和路 ​​​
看书  闲逛 健身  🍺除了爱情  别的正在慢慢变好！ ​​​ ...展开
我原本以为 能挽留的 ​​​
今天跑了五公里  游泳游了1000米  晚上还去梧桐大道转了一圈 ​​​
今天花一下午  体验了一下苏超的保安  站了五六个小时  腿也站麻了  只有身体上的疲惫才能让我不胡思乱想  又是一段新的体验   （和一个年近四旬的大哥聊天 听他讲他与南京的故事） ​​​
今天走了四万步，总是想不清楚为什么会这样。但我知道这是我该经历的南京今晚的月亮还挺圆的！ ​​​
刚刚能及格 ​​​
好在在南京不是很孤单 还是有朋友的  打球 搓澡 烧烤  yep! ​​​
以前分手 我想了想 可能是因为异地 工作也不咋样 所以被甩了这次被甩  明明在同一个城市 我觉得工作还行  结果还是被甩了家人们谁懂啊，和当初北京那次一模一样。都是去找人家，结果人家面都不见。不过没第一次那么难受了  慢慢来吧我真要黑化了        p2:  珠峰的星空  ​​​ ...展开
深蹲70做组了！ 纪念一下  进步很大啊 ​​​
政审结束了  论文盲审过了  恋爱又复燃了  毕业倒计时百分之90！ ​​​
论文送盲审  工作快要政审   恋爱快黄了加油挺过这段时间！ ​​​
十月的最后一天以悲伤结尾   十一月要开心起来  好好考试！！ ​​​
关于秋天 ​​​
可是找工作真的很难我自己也好着急 ​​​
跟不上别人的脚步  就不要抱怨 ​​​
最近 ​​​
找工作好难 ​​​
紧紧握住青花信物忍受着寂寞 ​​​
冲！ 开题答辩完了 不得烫个头！ ​​​
最近的生活状态主打一个抽象 ​​​
嘿～和我谈场恋爱吧在这个浪漫的盛夏！  ​​​
抽奖！
第二封@小白菜inn #plog# ​​​
！我练的很有感觉啊 朋友们！ ​​​
想给你们寄明星片了  我的朋友们！ ​​​
坠入爱河的感觉  和你服下迷药的感觉 本来就并无二致啊 ​​​
完了呀 完了呀  我要完了呀 ​​​
我恋爱脑要发作了  救命 ​​​
想回安大了  有点想念怎么办😭 ​​​
先放几张没有修的图！ ​​​
我又要留长头发了！ 留个半年！不要劝我 ​​​
这周末我也要去拍写真！！！！ ​​​
我又想拍vlog了，为我单调的生活增加一点乐趣。发的那个视频都6.9w点赞量啦  哈哈哈哈哈哈哈你们快去关注我 给我涨粉 快！ ​​​
补一张以前抢到手捧花的自己 ​​​
给自己配了一个👓 ​​​
