天天沉迷于互联网，不断的接受信息，彻夜不眠，信息过载。大脑头痛…我们要回归一种和谐的生活状态 ​​​
任何人的想法和看法，无论是好意或是故意，只要强加于我身，不论是指责还是嘲笑，都会加重我的精神内耗。好就是好不好就是不好。喜欢就是喜欢，讨厌就是讨厌。做法上可以温和。但态度上一定要坚决。想法还是不要轻易跟人说。但是每次都会说。 ​​​
​刚玩摄影的时候，是很容易满足的。只要有一点点进步，或者拍出了和网上很像的东西，就很开心，每天有很多随机性。也不会太焦虑。总觉得未来可期。而玩久了，之后逐渐消失了当初的热情，不在感到开心。而是焦虑，为什么我拍的还这么普通。为什么就是不如那些大佬。为什么接不到单。诸如此类的。想着 ​​​ ...展开
用了30把伞，五升水和一个模特的半条命，才拍出来的照片。  郭之该该的微博视频 ​​​
