#13岁男孩性侵8岁女童警方不予立案#小男孩只是被特殊教育，但是却改变了小女孩的一生，小女孩会从此活在阴影下，可能一生都无法治愈，当事人未成年应该考虑家长收到相应制裁。 ​​​
我参与了@新华社 发起的投票测试，我投给了“热辣滚烫”这个选项，你也快来表态吧~
时隔4年，我的微博终于正常能用了，因为太久没有登陆，号被盗，发不良信息，被封，申诉，无果。前两天无意中登陆许久未上的微博，发现居然能正常使用了！真的开心到爆，这个心情就像找到了丢失已久的老物件，记录了10年青春的微博，终于又回来了！[噬元兽] ​​​
微博是怎么了？只能放弃吗？ ​​​
