懒得喷这个世界 ​​​
感觉自己又要带上红鼻子了 不要啊小姐姐！！！！！！！！！！！！ ​​​
可千万别来我们学校我说你 ​​​
最心碎的一集 真就考了一坨 ​​​
再开一条！冷静下头 ​​​
突然之间觉得自己好没用 想争取的不去争取 只是一味的内耗 所谓内向只是你怯懦的借口罢了 ​​​
你拽啥啊哥们 我真服了 什么学长架子 笑死我了 欧 傻逼啊 ​​​
有病 ​​​
卷王消失p l s ​​​
有病 卷王去死 不想和你说话 ​​​
在此发誓：我再不上头 ​​​
这姐一会又要开始在那里装模作样地鬼叫了 你信不信吧 ​​​
感觉情绪垃圾桶回过头来看有点让人胆寒 原来我这么阴暗啊（笑 ​​​
啧 感觉这种爱随时随地炫耀自己的 也怎么说 很少见 毕竟是要冒着被蛐蛐以及失败之后前后鲜明对比的风险的 所以瑞思拜了 ​​​
wflbb 有病吧 啊啊啊啊啊刚刚为啥不走啊 好好学吧我求你了求你了啊啊啊啊啊啊啊啊啊啊啊啊啊啊 ​​​
你能不能去死 你能不能去死 我希望你明天就被车撞死 给世界节省一点资源 你去死好不好 你不是天天生病呢 什么时候病死在你的单人间啊宝宝 ​​​
笑得我 谁破防了我不说。。。 ​​​
哥们你是真下头啊 拜拜 ​​​
我真的要开始沉淀了 ​​​
宝宝你可能是不想让我陷进去吧 虽然难过 但谢谢你 祝你幸福 ​​​
你真能喜欢他一年啊。。我不信 时间会冲淡一切 但浪费的时间就不会再回来了 ​​​
你在这个班最大的贡献就是给大家垫底让大家不焦虑你懂嘛 ​​​
卧槽现在的人怎么能自我到这种程度 ​​​
鼓起勇气的一句夸赞对于别人来说只是随口捧场 暗恋真是悲催的一场大戏 ​​​
就是感觉一下子清醒了放下了 老好人罢了 很好的人 可是我不能再内耗了 所以白白 ​​​
想要专心致志学习变成很强的人 不想再为无所谓的事情花费感情了。 ​​​
哎 我要是没有情感就好了 ​​​
感觉自己好没用 ​​​
有时候会突然难受 ​​​
额啊啊啊啊 蠢货蠢货简直是蠢货。。。。我求求了为什么要打这个比赛啊有病吧操操操 感觉幸福的大学生活刚开始就戛然而止了 ​​​
Mayuan 你是真有病 ​​​
啊啊啊啊啊啊开始焦虑了 无所谓 我会退拔 ​​​
怎么又熬夜 别熬求求求求你 ​​​
会想要抽离 ​​​
我要疯了 能不能让她别扣字了。。 ​​​
捏吗是不是有病啊为什么要一个一个回答我靠总是要把我很菜的这个事实揭露给大家吗啊啊啊啊啊啊啊啊啊啊有病吧 ​​​
哎 为什么要把我和这么强搞到一块 让我每天怀疑自己就是在瞎高兴。。 ​​​
额 我是一个绝望的文盲 ​​​
深不可测的人还是保持距离 ​​​
我是废物 谁能替我上学 我求求了 ​​​
#龙年第一条微博#他祝我所得皆所愿 可是我最想得到的就是他啊。。 ​​​
真的变圆了 减肥减肥呜呜呜 ​​​
感觉自己真的是一个太拧巴太阴暗的人 多读书吧 别懒惰了 ​​​
小女孩少胡思乱想少焦虑好不好 ​​​
大海再等等我 ​​​
先看海 然后回家看雪 ​​​
哥们我是真想把你手机砸了 你他妈能不能学一会啊 装你妈啊装我服了爸爸 别人怎么看你很重要吗我请问 明天就考了您不能清醒一点吗 我靠他真的不喜欢你我求求你别想了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊有病吧 ​​​
我觉得自己很搞笑很狼狈 我再也不会在意你了 ​​​
