到点下班 我真是爱 ​​​
别搞我啊哈哈哈哈哈哈哈领导来问我项目上有没有怀孕的同学我问是不是要撤项退工了领导说刚开完会晚点给我电话哈哈哈哈别搞我啊哈哈哈哈我刚拒绝前领导那边的机会哈哈哈哈不会这么快就失业了吧哈哈哈命好苦 ​​​
终于上了一辆味道好闻的车  ​​​
讨厌拍一拍 ​​​
什么时候批完我的报销 什么时候跑路 真是服了 ​​​
无语无语无语无语无语啊真无语啊啊啊啊啊啊啊啊 ​​​
我发誓我再也不熬夜了今晚开始必早睡！！！ ​​​
头好痛啊 睡了两小时起来还是痛 ​​​
滚啊 这班谁爱加谁加 ​​​
无大语无大语无大语无大语无大语 ​​​
成都的春天什么时候来呢，虽然我喜欢雨天但是我不喜欢雨天上班好冷啊 期待春天 ​​​
太超过了太超过了啊啊啊
周五下班 风是软软的 果冻柠檬块的微博视频 ​​​
恨上班 ​​​
杀了 都杀了 ​​​
铺天盖地的大明星！ ​​​
靠 帅我一脸🩸 ​​​
讨厌感冒讨厌嗓子疼讨厌生理期讨厌周末一直昏睡睡得我难受汗淋淋烦人啊 莫名其妙又感冒 ​​​
我的周末莫名其妙感冒，又碰上生理期昨天好像只清醒了几个小时晚饭还没吃完呢就昏昏沉沉睡到这个点啊补药啊这个点醒了我能干啥 ​​​
好累 ​​​
不想上班不想上班不想上班 谁敢信就我这样的明要去开庭了哈哈哈 ​​​
天天遇傻逼   真是又蠢又坏从来没遇到这么无语的跟有病的人张着嘴胡说八道污蔑人倒是有一套我请问啊大姐周五晚上8点多我还在外面吃饭呢，给我来个电话扯薪资有问题，没挂你电话都算我善良。是不是跟你讲清楚了绩效不是我算？是不是也讲清楚了周一的时候给你回复我那会儿没办法用电脑 ​​​ ...展开
遇到了超级大傻逼 ​​​
我真的要崩溃了 ​​​
想要杀人 ​​​
跟我爸吵了一架情绪不好 ​​​
真的是很生气啊啊啊 ​​​
每日推荐越来越不喜欢了 ​​​
感觉要昏过去了眼睛都睁不开 ​​​
干饭礼仪 ​​​
牛马的自觉就是回家加班算薪结果就是完全没法静下心来算只好先睡两小时定闹钟起来继续为什么一定要明天下午核对完 这么赶是干嘛！！ ​​​
算薪哈哈还要算南昌的哈哈 ​​​
为什么要上班 ​​​
上班发疯  算南昌转成都的考勤哈哈哈哈哈哈还好只是四个人哈哈哈哈哈哈哈哈 ​​​
闹钟响了  我好懵  我好想请假 ​​​
停电了  头发还没吹干呢 ​​​
又又又又剪头发了💇🏻‍♀️我的头发跟指甲一样留不长趁着理发店吹的造型 狠狠自拍一波 ​​​
我今晚势必要把在晋江充的钱看回本！！！ ​​​
