太敏感的人 注定被情绪凌迟 ​​​
删除的照片在云端继续褪色 ​​​
失眠时数你呼吸声的秒数 ​​​
后来连心动都像系统漏洞 第一时间点杀防止崩溃 ​​​
年龄不仅带走了莽撞 也悄悄收缴了不怕输的勇气 ​​​
爱而不得是常态 得而不惜才是荒谬 ​​​
原谅不等于忘记 只是放过了被困住的自己 ​​​
自调女頭小集？！🤯 ​​​
删除比保存更需要力气 ​​​
后来连失望都懒得解释  沉默不是无话可说 是知道说了也改变不了那种疲惫的默契 ​​​
我们都在练习把期待值调到最低 怕希望落空时摔得太疼却忘了太低的底线连幸福都接不住 ​​​
空白比文字更有穿透力 ​​​
𝐒𝐡𝐚𝐫𝐞 ‘无风格女頭集. ​​​
我们之间最后默契是互相不拆穿 ​​​
𝐒𝐡𝐚𝐫𝐞锁屏壁纸集。、 ​​​
钱包和体重总有一个在膨胀 但膨胀的方向从不商量 ​​​
孤独没有保质期 ​​​
(´-﹏-`；)ゞ盆友圈背景图！ ​​​
εïз-真人情頭𝐒𝐡𝐚𝐫𝐞 ​​​
枯萎从不发出辞职信 ​​​
Sʜᴀʀᴇ女頭⁼³₌₃ ​​​
未被命名的情绪在黄昏自焚 ​​​
缺口比圆满拥有更锋利的边缘 ​​​
仙人掌拒绝成为隐喻 ​​​
说“钱买不到快乐”的人 可能没试过清空购物车时的手速 ​​​
确定性是一种温柔的暴力 ​​​
孤独是心里有盏永不响铃的电话🎧ᯓ ​​​
玻璃窗收集叹息声 ​​​
「Wᴀᴛᴄʜ 𓂂𓏸自喜背景圖🫙 ​​​
回声在提问前消失 ​​​
骨骼记得拥抱的弧度 却在触碰陌生人时突然生锈 ​​​
成年人的遗憾不是没得到 而是得到时才发现 那个想要的自己已经被岁月抵押了 ​​​
『𝘀𝗵𝗮𝗿𝗲👋🏿小眾男頭 ​​​
☨‘𝐀𝐦𝐞𝐫𝐢𝐜𝐚𝐧 𝐬𝐭𝐲𝐥𝐞女頭🦷 ​​​
࣪˖🫠𝗠𝗮𝗸𝗲 𝘆𝗼𝘂𝗿 𝗼𝘄𝗻 𝗲𝗺𝗼𝗷𝗶 𝗽𝗮𝗰𝗸•⩊•｛做自己的表情包｝ ​​​
『 无风格女頭小集』⋆｡˚女生头像超话 ​​​
微信删了三年 输入法还没删女生头像超话 ​​​
𝑆ℎ𝑎𝑟𝑒 。ｏ゜♡自用女頭像小集｡o#女生头像# ​​​
Sʜᴀʀᴇ.𝐢𝐏𝐡𝐨𝐧𝐞鎖屏壁紙集.ᐟ #女生头像# ​​​
我们要接受这世上突如其来的失去 #女生头像# ​​​
𝗪𝗲𝗖𝗵𝗮𝘁°无风格背景图集🪮 ​​​
有些眼淚 流過了 心就清了 ​​​
🛟ˊ구덩이가 가득 차면 모두 길이다܆ ͙⋆｡ ​​​
𝐖𝐚𝐭𝐜𝐡 ✘ 搞怪情頭🩰⸝ ​​​
",,🐦‍⬛ ​​​"
答えは明日にある 毎日の明日 ​​​
没什么擅长的事 除了懒 摆烂 添堵 浪费时间 混吃等死 已读不回 全年静音和睡觉 ​​​
𝑫𝒐𝒈和 𝒄𝒂𝒕🐈🦮 ​​​
爱是 在看不见的地方忠诚 ​​​
有人嫩得一掐就出水 我却怂得一掐就出鼻涕泡儿 ​​​
你那么的不小心 我又何必痴情 ​​​
心如果跟嘴一样硬的话我早就无敌了 ​​​
小眾自喜𝐢𝐏𝐡𝐨𝐧𝐞壁纸集. ​​​
爱有什么用 ​​​
小眾壁纸 ​​​
长这么大 没学到别的本事 就掌握了一项特殊技能：白天不用安眠药也能安眠 晚上不用兴奋剂也能兴奋 ​​​
失去是相互的 别人都不遗憾 你遗憾什么 ​​​
互通一千条短信 是否有一刻心跳共鸣 ​​​
现在的人吃饱了没事干就找对象 我就不一样 我压根吃不饱 ​​​
不上班的症状：穷上班的症状：穷 累 犯困 心烦 怨气重 面色苍白 精神失常 ​​​
人际交往技巧：热情大方 一问三不知 ​​​
好朋友是那种 可以一起做傻事 然后互相捅嘴皮子又笑得停不下来的人 ​​​
前两天没理你是我不对 今天我上班了可以跟我聊天吗 ​​​
总是睡眠不好 医生说建议睡在八块腹肌上 ​​​
以我目前的社交状态 先不说结婚能不能坐满一桌手机一响都知道谁找我 ​​​
每次我看你吃猪肉都万分感慨 本是同根生 相煎何太急 ​​​
本来挺想你的 后来玩手机忘了 ​​​
以为翻完你的朋友圈就能了解你 翻了半天没想到才翻到昨天 ​​​
所以柏林冷了吗 意思就是：你现在开心吗 ​​​
没有什么特别快乐的事 一直都在比较快乐和巨大失落之间摇摆 ​​​
纯爱就像扑克牌里的joker 一个人是小丑 两个人就是王炸 ​​​
