//@TREASURE-金秋天:你们其中有五个人很丑
分享视频 kitty-06o7的微博视频 ​​​
//@假装纯情iuk:她的人生就是从遇见金秀贤开始走下坡路的 查看图片
 ​​​
这个是真的好吃 ​​​
#方大同去世# 🕯️ ​​​
是这样 ​​​
 ​​​
想找人倾诉都不知道要找谁… ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍二，解锁他的限定直播福利！ !  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍二，解锁他的限定直播福利！ ~  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍二，解锁他的限定直播福利！ .  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍二，解锁他的限定直播福利！ ~~  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍一，解锁他的限定直播福利！ ！  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍一，解锁他的限定直播福利！ ~  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍二，解锁他的限定直播福利！ 。  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-THI-O 在队伍一，解锁他的限定直播福利！ ^^  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-DORN 在队伍一，解锁他的限定直播福利！ ~  ​​​
我在#创造营亚洲#第二季限定“创”意直播活动中，推荐我喜爱的学员@创造营亚洲2-Kohi李正贤 在队伍一，解锁他的限定直播福利！ ~  ​​​
分享图片 ​​​
翻收藏翻到这个… ​​​
发现自己是个特别矛盾的人 ​​​
老秋身上有股女人香 ​​​
Justin Bieber《That Should Be Me》That Should Be Me（@网易云音乐） ​​​
嗯对 ​​​
黄小琥《没那么简单 (电视剧《左手亲情右手爱》主题曲)》没那么简单 (电视剧《左手亲情右手爱》主题曲)（@网易云音乐） ​​​
终于放假了… ​​​
我最近一直在清相册 ​​​
…
我每天都在祈求ibe快回归… ​​​
最近 ​​​
我就是那种泪点很低的人 ​​​
纪念一下我打完没两天就摘了的唇钉 ​​​
我真的好讨厌双标的人 ​​​
好喜欢这个眼镜呢 ​​​
ibe咋还不回归 ​​​
特别喜欢毛茸茸的外套！ ​​​
笑死我了
体重终于掉到47了 ​​​
🥹🥹🥹
求ibe回归 ​​​
她好漂亮 ​​​
我好幸福 ​​​
#微博头像挂件# 送你一顶圣诞帽！我正在使用“圣诞帽”会员专属头像挂件，等你一起换上呦！  ​​​
🥹🥹
好听哭 ​​​
补药下雨！ ​​​
我要听这两首一辈子！ ​​​
今天又活了一天太厉害了
我讨厌感冒😷 ​​​
对
宝宝呀
